# data/ber-fec-hard/ber_g2412.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c g2412 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_g2412.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Golay(24,12)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   3.3115e-01   1.0000e+00      1325174      4001792         1954         1954
   -8.50000000  -5.4897e+00   3.2166e-01   1.0000e+00      1287199      4001792         1954         1954
   -8.00000000  -4.9897e+00   3.1116e-01   1.0000e+00      1245200      4001792         1954         1954
   -7.50000000  -4.4897e+00   2.9910e-01   1.0000e+00      1196940      4001792         1954         1954
   -7.00000000  -3.9897e+00   2.8703e-01   1.0000e+00      1148636      4001792         1954         1954
   -6.50000000  -3.4897e+00   2.7280e-01   1.0000e+00      1091675      4001792         1954         1954
   -6.00000000  -2.9897e+00   2.5744e-01   1.0000e+00      1030229      4001792         1954         1954
   -5.50000000  -2.4897e+00   2.4156e-01   1.0000e+00       966662      4001792         1954         1954
   -5.00000000  -1.9897e+00   2.2381e-01   1.0000e+00       895644      4001792         1954         1954
   -4.50000000  -1.4897e+00   2.0465e-01   1.0000e+00       818947      4001792         1954         1954
   -4.00000000  -9.8970e-01   1.8317e-01   1.0000e+00       733014      4001792         1954         1954
   -3.50000000  -4.8970e-01   1.6161e-01   1.0000e+00       646719      4001792         1954         1954
   -3.00000000   1.0300e-02   1.3861e-01   1.0000e+00       554701      4001792         1954         1954
   -2.50000000   5.1030e-01   1.1624e-01   1.0000e+00       465183      4001792         1954         1954
   -2.00000000   1.0103e+00   9.2893e-02   1.0000e+00       371740      4001792         1954         1954
   -1.50000000   1.5103e+00   7.2304e-02   1.0000e+00       289346      4001792         1954         1954
   -1.00000000   2.0103e+00   5.3285e-02   1.0000e+00       213235      4001792         1954         1954
   -0.50000000   2.5103e+00   3.7490e-02   1.0000e+00       150028      4001792         1954         1954
    0.00000000   3.0103e+00   2.4653e-02   1.0000e+00        98658      4001792         1954         1954
    0.50000000   3.5103e+00   1.5455e-02   1.0000e+00        61849      4001792         1954         1954
    1.00000000   4.0103e+00   8.6786e-03   9.9898e-01        34730      4001792         1952         1954
    1.50000000   4.5103e+00   4.6554e-03   9.8618e-01        18630      4001792         1927         1954
    2.00000000   5.0103e+00   2.2288e-03   8.5312e-01         8919      4001792         1667         1954
    2.50000000   5.5103e+00   9.4633e-04   5.7114e-01         3787      4001792         1116         1954
    3.00000000   6.0103e+00   3.8083e-04   2.8403e-01         1524      4001792          555         1954
    3.50000000   6.5103e+00   1.2617e-04   1.1151e-01         1001      7933952          432         3874
    4.00000000   7.0103e+00   3.8079e-05   3.5327e-02         1000     26261504          453        12823
    4.50000000   7.5103e+00   1.0077e-05   9.1834e-03         1000     99239936          445        48457
