# data/ber-fec-hard/ber_h128.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c h128 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_h128.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(12,8)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.66666669   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.2391e+00   3.2903e-01   1.0000e+00      1316716      4001792         1954         1954
   -8.50000000  -6.7391e+00   3.1942e-01   1.0000e+00      1278240      4001792         1954         1954
   -8.00000000  -6.2391e+00   3.0819e-01   1.0000e+00      1233302      4001792         1954         1954
   -7.50000000  -5.7391e+00   2.9753e-01   1.0000e+00      1190654      4001792         1954         1954
   -7.00000000  -5.2391e+00   2.8560e-01   1.0000e+00      1142918      4001792         1954         1954
   -6.50000000  -4.7391e+00   2.7366e-01   1.0000e+00      1095133      4001792         1954         1954
   -6.00000000  -4.2391e+00   2.6020e-01   1.0000e+00      1041273      4001792         1954         1954
   -5.50000000  -3.7391e+00   2.4625e-01   1.0000e+00       985437      4001792         1954         1954
   -5.00000000  -3.2391e+00   2.3116e-01   1.0000e+00       925059      4001792         1954         1954
   -4.50000000  -2.7391e+00   2.1573e-01   1.0000e+00       863290      4001792         1954         1954
   -4.00000000  -2.2391e+00   1.9948e-01   1.0000e+00       798270      4001792         1954         1954
   -3.50000000  -1.7391e+00   1.8268e-01   1.0000e+00       731039      4001792         1954         1954
   -3.00000000  -1.2391e+00   1.6495e-01   1.0000e+00       660096      4001792         1954         1954
   -2.50000000  -7.3909e-01   1.4673e-01   1.0000e+00       587174      4001792         1954         1954
   -2.00000000  -2.3909e-01   1.2844e-01   1.0000e+00       513983      4001792         1954         1954
   -1.50000000   2.6091e-01   1.1100e-01   1.0000e+00       444196      4001792         1954         1954
   -1.00000000   7.6091e-01   9.3100e-02   1.0000e+00       372566      4001792         1954         1954
   -0.50000000   1.2609e+00   7.6564e-02   1.0000e+00       306395      4001792         1954         1954
    0.00000000   1.7609e+00   6.0758e-02   1.0000e+00       243140      4001792         1954         1954
    0.50000000   2.2609e+00   4.7208e-02   1.0000e+00       188918      4001792         1954         1954
    1.00000000   2.7609e+00   3.5237e-02   1.0000e+00       141013      4001792         1954         1954
    1.50000000   3.2609e+00   2.5205e-02   1.0000e+00       100866      4001792         1954         1954
    2.00000000   3.7609e+00   1.7394e-02   1.0000e+00        69608      4001792         1954         1954
    2.50000000   4.2609e+00   1.1270e-02   1.0000e+00        45102      4001792         1954         1954
    3.00000000   4.7609e+00   6.9204e-03   1.0000e+00        27694      4001792         1954         1954
    3.50000000   5.2609e+00   4.0419e-03   9.9181e-01        16175      4001792         1938         1954
    4.00000000   5.7609e+00   2.2058e-03   9.1812e-01         8827      4001792         1794         1954
    4.50000000   6.2609e+00   1.1262e-03   7.0778e-01         4507      4001792         1383         1954
    5.00000000   6.7609e+00   5.3026e-04   4.5189e-01         2122      4001792          883         1954
    5.50000000   7.2609e+00   2.1789e-04   2.1865e-01         1000      4589568          490         2241
    6.00000000   7.7609e+00   8.3892e-05   8.7106e-02         1002     11943936          508         5832
    6.50000000   8.2609e+00   3.1208e-05   3.4450e-02         1000     32043008          539        15646
    7.00000000   8.7609e+00   8.7188e-06   9.9439e-03         1002    114923520          558        56115
