# data/ber/ber_rep3.dat : auto-generated file
# invoked as: ./src/simulate_ber -c rep3 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_rep3.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(3)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -4.2288e+00   2.2677e-01   1.0000e+00        18345        80896           79           79
   -8.50000000  -3.7288e+00   2.1078e-01   1.0000e+00        17051        80896           79           79
   -8.00000000  -3.2288e+00   2.0064e-01   1.0000e+00        16231        80896           79           79
   -7.50000000  -2.7288e+00   1.8817e-01   1.0000e+00        15222        80896           79           79
   -7.00000000  -2.2288e+00   1.7000e-01   1.0000e+00        13752        80896           79           79
   -6.50000000  -1.7288e+00   1.6043e-01   1.0000e+00        12978        80896           79           79
   -6.00000000  -1.2288e+00   1.4524e-01   1.0000e+00        11749        80896           79           79
   -5.50000000  -7.2879e-01   1.3218e-01   1.0000e+00        10693        80896           79           79
   -5.00000000  -2.2879e-01   1.1687e-01   1.0000e+00         9454        80896           79           79
   -4.50000000   2.7121e-01   1.0525e-01   1.0000e+00         8514        80896           79           79
   -4.00000000   7.7121e-01   9.3243e-02   1.0000e+00         7543        80896           79           79
   -3.50000000   1.2712e+00   7.9967e-02   1.0000e+00         6469        80896           79           79
   -3.00000000   1.7712e+00   6.7655e-02   1.0000e+00         5473        80896           79           79
   -2.50000000   2.2712e+00   5.7073e-02   1.0000e+00         4617        80896           79           79
   -2.00000000   2.7712e+00   4.6220e-02   1.0000e+00         3739        80896           79           79
   -1.50000000   3.2712e+00   3.8444e-02   1.0000e+00         3110        80896           79           79
   -1.00000000   3.7712e+00   3.0817e-02   1.0000e+00         2493        80896           79           79
   -0.50000000   4.2712e+00   2.4328e-02   1.0000e+00         1968        80896           79           79
    0.00000000   4.7712e+00   1.7084e-02   1.0000e+00         1382        80896           79           79
    0.50000000   5.2712e+00   1.3017e-02   1.0000e+00         1053        80896           79           79
    1.00000000   5.7712e+00   8.9498e-03   1.0000e+00          724        80896           79           79
    1.50000000   6.2712e+00   6.4404e-03   1.0000e+00          521        80896           79           79
    2.00000000   6.7712e+00   4.4165e-03   9.8198e-01          502       113664          109          111
    2.50000000   7.2712e+00   2.4962e-03   9.1837e-01          501       200704          180          196
    3.00000000   7.7712e+00   1.5070e-03   7.9012e-01          500       331776          256          324
    3.50000000   8.2712e+00   8.2064e-04   5.7311e-01          500       609280          341          595
    4.00000000   8.7712e+00   4.9271e-04   4.0282e-01          501      1016832          400          993
    4.50000000   9.2712e+00   2.3554e-04   2.1756e-01          500      2122752          451         2073
    5.00000000   9.7712e+00   1.0546e-04   1.0410e-01          500      4741120          482         4630
    5.50000000   1.0271e+01   4.4490e-05   4.6469e-02          500     11238400          510        10975
    6.00000000   1.0771e+01   1.6771e-05   1.7449e-02          500     29812736          508        29114
    6.50000000   1.1271e+01   6.0036e-06   6.3321e-03          500     83283968          515        81332
