# data/ber-fec-hard/ber_rep5.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c rep5 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_rep5.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(5)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.20000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -2.0103e+00   1.7338e-01   1.0000e+00       693811      4001792         1954         1954
   -8.50000000  -1.5103e+00   1.5974e-01   1.0000e+00       639238      4001792         1954         1954
   -8.00000000  -1.0103e+00   1.4601e-01   1.0000e+00       584299      4001792         1954         1954
   -7.50000000  -5.1030e-01   1.3211e-01   1.0000e+00       528687      4001792         1954         1954
   -7.00000000  -1.0300e-02   1.1876e-01   1.0000e+00       475245      4001792         1954         1954
   -6.50000000   4.8970e-01   1.0547e-01   1.0000e+00       422070      4001792         1954         1954
   -6.00000000   9.8970e-01   9.2307e-02   1.0000e+00       369395      4001792         1954         1954
   -5.50000000   1.4897e+00   8.0129e-02   1.0000e+00       320660      4001792         1954         1954
   -5.00000000   1.9897e+00   6.8480e-02   1.0000e+00       274041      4001792         1954         1954
   -4.50000000   2.4897e+00   5.7764e-02   1.0000e+00       231161      4001792         1954         1954
   -4.00000000   2.9897e+00   4.7742e-02   1.0000e+00       191054      4001792         1954         1954
   -3.50000000   3.4897e+00   3.8732e-02   1.0000e+00       154996      4001792         1954         1954
   -3.00000000   3.9897e+00   3.0948e-02   1.0000e+00       123849      4001792         1954         1954
   -2.50000000   4.4897e+00   2.4037e-02   1.0000e+00        96190      4001792         1954         1954
   -2.00000000   4.9897e+00   1.8175e-02   1.0000e+00        72732      4001792         1954         1954
   -1.50000000   5.4897e+00   1.3296e-02   1.0000e+00        53206      4001792         1954         1954
   -1.00000000   5.9897e+00   9.4907e-03   1.0000e+00        37980      4001792         1954         1954
   -0.50000000   6.4897e+00   6.5428e-03   1.0000e+00        26183      4001792         1954         1954
    0.00000000   6.9897e+00   4.3356e-03   1.0000e+00        17350      4001792         1954         1954
    0.50000000   7.4897e+00   2.7225e-03   9.9693e-01        10895      4001792         1948         1954
    1.00000000   7.9897e+00   1.6393e-03   9.6520e-01         6560      4001792         1886         1954
    1.50000000   8.4897e+00   9.1834e-04   8.3623e-01         3675      4001792         1634         1954
    2.00000000   8.9897e+00   4.9778e-04   6.4278e-01         1992      4001792         1256         1954
    2.50000000   9.4897e+00   2.5738e-04   4.0583e-01         1030      4001792          793         1954
    3.00000000   9.9897e+00   1.1707e-04   2.1242e-01         1000      8542208          886         4171
    3.50000000   1.0490e+01   5.1414e-05   9.9084e-02         1000     19449856          941         9497
    4.00000000   1.0990e+01   1.8859e-05   3.7619e-02         1000     53024768          974        25891
    4.50000000   1.1490e+01   6.5592e-06   1.3286e-02         1000    152457216          989        74442
