# data/ber-fec-hard/ber_rs8.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c rs8 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_rs8.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Reed-Solomon, 223/255
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87450981   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4176e+00   3.0847e-01   1.0000e+00        25270        81920           40           40
   -8.50000000  -7.9176e+00   2.9960e-01   1.0000e+00        24543        81920           40           40
   -8.00000000  -7.4176e+00   2.8694e-01   1.0000e+00        23506        81920           40           40
   -7.50000000  -6.9176e+00   2.7771e-01   1.0000e+00        22750        81920           40           40
   -7.00000000  -6.4176e+00   2.6345e-01   1.0000e+00        21582        81920           40           40
   -6.50000000  -5.9176e+00   2.5348e-01   1.0000e+00        20765        81920           40           40
   -6.00000000  -5.4176e+00   2.3955e-01   1.0000e+00        19624        81920           40           40
   -5.50000000  -4.9176e+00   2.2794e-01   1.0000e+00        18673        81920           40           40
   -5.00000000  -4.4176e+00   2.1527e-01   1.0000e+00        17635        81920           40           40
   -4.50000000  -3.9176e+00   1.9862e-01   1.0000e+00        16271        81920           40           40
   -4.00000000  -3.4176e+00   1.8881e-01   1.0000e+00        15467        81920           40           40
   -3.50000000  -2.9176e+00   1.7162e-01   1.0000e+00        14059        81920           40           40
   -3.00000000  -2.4176e+00   1.5735e-01   1.0000e+00        12890        81920           40           40
   -2.50000000  -1.9176e+00   1.4304e-01   1.0000e+00        11718        81920           40           40
   -2.00000000  -1.4176e+00   1.2947e-01   1.0000e+00        10606        81920           40           40
   -1.50000000  -9.1765e-01   1.1737e-01   1.0000e+00         9615        81920           40           40
   -1.00000000  -4.1765e-01   1.0392e-01   1.0000e+00         8513        81920           40           40
   -0.50000000   8.2353e-02   9.0332e-02   1.0000e+00         7400        81920           40           40
    0.00000000   5.8235e-01   7.8613e-02   1.0000e+00         6440        81920           40           40
    0.50000000   1.0824e+00   6.7273e-02   1.0000e+00         5511        81920           40           40
    1.00000000   1.5824e+00   5.6958e-02   1.0000e+00         4666        81920           40           40
    1.50000000   2.0824e+00   4.6143e-02   1.0000e+00         3780        81920           40           40
    2.00000000   2.5824e+00   3.7756e-02   1.0000e+00         3093        81920           40           40
    2.50000000   3.0824e+00   2.9443e-02   1.0000e+00         2412        81920           40           40
    3.00000000   3.5824e+00   2.2498e-02   1.0000e+00         1843        81920           40           40
    3.50000000   4.0824e+00   1.4868e-02   9.5000e-01         1218        81920           38           40
    4.00000000   4.5824e+00   5.2360e-03   5.9574e-01          504        96256           28           47
    4.50000000   5.0824e+00   9.8422e-04   1.3333e-01          514       522240           34          255
    5.00000000   5.5824e+00   1.7557e-05   2.4724e-03          509     28991488           35        14156
