# data/ber-fec-hard/ber_secded2216.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c secded2216 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_secded2216.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   SEC-DEC(22,16)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.66666669   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.2391e+00   3.1439e-01   1.0000e+00        25755        81920           40           40
   -8.50000000  -6.7391e+00   3.0421e-01   1.0000e+00        24921        81920           40           40
   -8.00000000  -6.2391e+00   2.9370e-01   1.0000e+00        24060        81920           40           40
   -7.50000000  -5.7391e+00   2.8335e-01   1.0000e+00        23212        81920           40           40
   -7.00000000  -5.2391e+00   2.7003e-01   1.0000e+00        22121        81920           40           40
   -6.50000000  -4.7391e+00   2.5940e-01   1.0000e+00        21250        81920           40           40
   -6.00000000  -4.2391e+00   2.4387e-01   1.0000e+00        19978        81920           40           40
   -5.50000000  -3.7391e+00   2.3549e-01   1.0000e+00        19291        81920           40           40
   -5.00000000  -3.2391e+00   2.2023e-01   1.0000e+00        18041        81920           40           40
   -4.50000000  -2.7391e+00   2.0984e-01   1.0000e+00        17190        81920           40           40
   -4.00000000  -2.2391e+00   1.9191e-01   1.0000e+00        15721        81920           40           40
   -3.50000000  -1.7391e+00   1.7739e-01   1.0000e+00        14532        81920           40           40
   -3.00000000  -1.2391e+00   1.6456e-01   1.0000e+00        13481        81920           40           40
   -2.50000000  -7.3909e-01   1.4725e-01   1.0000e+00        12063        81920           40           40
   -2.00000000  -2.3909e-01   1.3623e-01   1.0000e+00        11160        81920           40           40
   -1.50000000   2.6091e-01   1.1780e-01   1.0000e+00         9650        81920           40           40
   -1.00000000   7.6091e-01   9.8572e-02   1.0000e+00         8075        81920           40           40
   -0.50000000   1.2609e+00   8.3521e-02   1.0000e+00         6842        81920           40           40
    0.00000000   1.7609e+00   6.9128e-02   1.0000e+00         5663        81920           40           40
    0.50000000   2.2609e+00   5.6616e-02   1.0000e+00         4638        81920           40           40
    1.00000000   2.7609e+00   4.3030e-02   1.0000e+00         3525        81920           40           40
    1.50000000   3.2609e+00   3.2800e-02   1.0000e+00         2687        81920           40           40
    2.00000000   3.7609e+00   2.1790e-02   1.0000e+00         1785        81920           40           40
    2.50000000   4.2609e+00   1.4026e-02   1.0000e+00         1149        81920           40           40
    3.00000000   4.7609e+00   7.9956e-03   1.0000e+00          655        81920           40           40
    3.50000000   5.2609e+00   5.8477e-03   1.0000e+00          503        86016           42           42
    4.00000000   5.7609e+00   3.1707e-03   9.8701e-01          500       157696           76           77
    4.50000000   6.2609e+00   1.7107e-03   8.8112e-01          501       292864          126          143
    5.00000000   6.7609e+00   7.1739e-04   6.2463e-01          501       698368          213          341
    5.50000000   7.2609e+00   2.7248e-04   2.8460e-01          500      1835008          255          896
    6.00000000   7.7609e+00   1.0851e-04   1.3111e-01          500      4608000          295         2250
    6.50000000   8.2609e+00   3.8217e-05   4.9367e-02          501     13109248          316         6401
    7.00000000   8.7609e+00   1.3092e-05   1.7589e-02          500     38191104          328        18648
    7.50000000   9.2609e+00   3.9760e-06   5.1035e-03          501    126005248          314        61526
