# data/ber-fec-hard/ber_secded3932.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c secded3932 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_secded3932.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   SEC-DEC(39,32)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.80000001   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.0309e+00   3.1113e-01   1.0000e+00      1245069      4001792         1954         1954
   -8.50000000  -7.5309e+00   3.0072e-01   1.0000e+00      1203432      4001792         1954         1954
   -8.00000000  -7.0309e+00   2.9008e-01   1.0000e+00      1160824      4001792         1954         1954
   -7.50000000  -6.5309e+00   2.7906e-01   1.0000e+00      1116729      4001792         1954         1954
   -7.00000000  -6.0309e+00   2.6753e-01   1.0000e+00      1070588      4001792         1954         1954
   -6.50000000  -5.5309e+00   2.5546e-01   1.0000e+00      1022281      4001792         1954         1954
   -6.00000000  -5.0309e+00   2.4309e-01   1.0000e+00       972776      4001792         1954         1954
   -5.50000000  -4.5309e+00   2.3073e-01   1.0000e+00       923331      4001792         1954         1954
   -5.00000000  -4.0309e+00   2.1761e-01   1.0000e+00       870814      4001792         1954         1954
   -4.50000000  -3.5309e+00   2.0433e-01   1.0000e+00       817670      4001792         1954         1954
   -4.00000000  -3.0309e+00   1.9107e-01   1.0000e+00       764622      4001792         1954         1954
   -3.50000000  -2.5309e+00   1.7710e-01   1.0000e+00       708714      4001792         1954         1954
   -3.00000000  -2.0309e+00   1.6341e-01   1.0000e+00       653946      4001792         1954         1954
   -2.50000000  -1.5309e+00   1.4948e-01   1.0000e+00       598189      4001792         1954         1954
   -2.00000000  -1.0309e+00   1.3526e-01   1.0000e+00       541272      4001792         1954         1954
   -1.50000000  -5.3090e-01   1.2167e-01   1.0000e+00       486881      4001792         1954         1954
   -1.00000000  -3.0900e-02   1.0803e-01   1.0000e+00       432321      4001792         1954         1954
   -0.50000000   4.6910e-01   9.4051e-02   1.0000e+00       376372      4001792         1954         1954
    0.00000000   9.6910e-01   8.0161e-02   1.0000e+00       320789      4001792         1954         1954
    0.50000000   1.4691e+00   6.6648e-02   1.0000e+00       266713      4001792         1954         1954
    1.00000000   1.9691e+00   5.3758e-02   1.0000e+00       215127      4001792         1954         1954
    1.50000000   2.4691e+00   4.1732e-02   1.0000e+00       167002      4001792         1954         1954
    2.00000000   2.9691e+00   3.0815e-02   1.0000e+00       123317      4001792         1954         1954
    2.50000000   3.4691e+00   2.1493e-02   1.0000e+00        86010      4001792         1954         1954
    3.00000000   3.9691e+00   1.4225e-02   1.0000e+00        56927      4001792         1954         1954
    3.50000000   4.4691e+00   8.6486e-03   1.0000e+00        34610      4001792         1954         1954
    4.00000000   4.9691e+00   4.9008e-03   9.9744e-01        19612      4001792         1949         1954
    4.50000000   5.4691e+00   2.5609e-03   9.5292e-01        10248      4001792         1862         1954
    5.00000000   5.9691e+00   1.2729e-03   7.7021e-01         5094      4001792         1505         1954
    5.50000000   6.4691e+00   5.1952e-04   4.5599e-01         2079      4001792          891         1954
    6.00000000   6.9691e+00   1.9535e-04   2.0384e-01         1001      5124096          510         2502
    6.50000000   7.4691e+00   6.9685e-05   7.9413e-02         1001     14364672          557         7014
    7.00000000   7.9691e+00   2.2114e-05   2.6359e-02         1000     45219840          582        22080
    7.50000000   8.4691e+00   5.8943e-06   7.1101e-03         1000    169656320          589        82840
