# data/ber/ber_v27.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v27 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_v27.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/2 K=7
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   4.9628e-01   1.0000e+00        40147        80896           79           79
   -8.50000000  -5.4897e+00   5.0012e-01   1.0000e+00        40458        80896           79           79
   -8.00000000  -4.9897e+00   4.9807e-01   1.0000e+00        40292        80896           79           79
   -7.50000000  -4.4897e+00   4.9899e-01   1.0000e+00        40366        80896           79           79
   -7.00000000  -3.9897e+00   4.9959e-01   1.0000e+00        40415        80896           79           79
   -6.50000000  -3.4897e+00   4.9085e-01   1.0000e+00        39708        80896           79           79
   -6.00000000  -2.9897e+00   4.9021e-01   1.0000e+00        39656        80896           79           79
   -5.50000000  -2.4897e+00   4.8287e-01   1.0000e+00        39062        80896           79           79
   -5.00000000  -1.9897e+00   4.7587e-01   1.0000e+00        38496        80896           79           79
   -4.50000000  -1.4897e+00   4.6413e-01   1.0000e+00        37546        80896           79           79
   -4.00000000  -9.8970e-01   4.4091e-01   1.0000e+00        35668        80896           79           79
   -3.50000000  -4.8970e-01   4.1222e-01   1.0000e+00        33347        80896           79           79
   -3.00000000   1.0300e-02   3.7578e-01   1.0000e+00        30399        80896           79           79
   -2.50000000   5.1030e-01   3.2103e-01   1.0000e+00        25970        80896           79           79
   -2.00000000   1.0103e+00   2.5247e-01   1.0000e+00        20424        80896           79           79
   -1.50000000   1.5103e+00   1.7498e-01   1.0000e+00        14155        80896           79           79
   -1.00000000   2.0103e+00   1.1674e-01   1.0000e+00         9444        80896           79           79
   -0.50000000   2.5103e+00   6.4861e-02   1.0000e+00         5247        80896           79           79
    0.00000000   3.0103e+00   3.2672e-02   9.7468e-01         2643        80896           77           79
    0.50000000   3.5103e+00   1.5254e-02   8.1013e-01         1234        80896           64           79
    1.00000000   4.0103e+00   4.7201e-03   5.0926e-01          522       110592           55          108
    1.50000000   4.5103e+00   1.8746e-03   2.8736e-01          501       267264           75          261
    2.00000000   5.0103e+00   5.6366e-04   1.1290e-01          501       888832           98          868
    2.50000000   5.5103e+00   1.5732e-04   3.6656e-02          501      3184640          114         3110
    3.00000000   6.0103e+00   3.9714e-05   1.0411e-02          500     12590080          128        12295
    3.50000000   6.5103e+00   8.9930e-06   2.6049e-03          502     55821312          142        54513
