# data/ber/ber_v27p56.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v27p56 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_v27p56.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r5/6 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.83333331   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.2082e+00   4.9998e-01   1.0000e+00        40446        80896           79           79
   -8.50000000  -7.7082e+00   5.0049e-01   1.0000e+00        40488        80896           79           79
   -8.00000000  -7.2082e+00   5.0289e-01   1.0000e+00        40682        80896           79           79
   -7.50000000  -6.7082e+00   4.9939e-01   1.0000e+00        40399        80896           79           79
   -7.00000000  -6.2082e+00   4.9863e-01   1.0000e+00        40337        80896           79           79
   -6.50000000  -5.7082e+00   4.9800e-01   1.0000e+00        40286        80896           79           79
   -6.00000000  -5.2082e+00   4.9923e-01   1.0000e+00        40386        80896           79           79
   -5.50000000  -4.7082e+00   4.9796e-01   1.0000e+00        40283        80896           79           79
   -5.00000000  -4.2082e+00   4.9583e-01   1.0000e+00        40111        80896           79           79
   -4.50000000  -3.7082e+00   4.9750e-01   1.0000e+00        40246        80896           79           79
   -4.00000000  -3.2082e+00   4.9796e-01   1.0000e+00        40283        80896           79           79
   -3.50000000  -2.7082e+00   4.9142e-01   1.0000e+00        39754        80896           79           79
   -3.00000000  -2.2082e+00   4.9276e-01   1.0000e+00        39862        80896           79           79
   -2.50000000  -1.7082e+00   4.9119e-01   1.0000e+00        39735        80896           79           79
   -2.00000000  -1.2082e+00   4.8491e-01   1.0000e+00        39227        80896           79           79
   -1.50000000  -7.0819e-01   4.7989e-01   1.0000e+00        38821        80896           79           79
   -1.00000000  -2.0819e-01   4.6948e-01   1.0000e+00        37979        80896           79           79
   -0.50000000   2.9181e-01   4.5723e-01   1.0000e+00        36988        80896           79           79
    0.00000000   7.9181e-01   4.3481e-01   1.0000e+00        35174        80896           79           79
    0.50000000   1.2918e+00   4.1555e-01   1.0000e+00        33616        80896           79           79
    1.00000000   1.7918e+00   3.7850e-01   1.0000e+00        30619        80896           79           79
    1.50000000   2.2918e+00   3.0800e-01   1.0000e+00        24916        80896           79           79
    2.00000000   2.7918e+00   2.3216e-01   1.0000e+00        18781        80896           79           79
    2.50000000   3.2918e+00   1.5289e-01   1.0000e+00        12368        80896           79           79
    3.00000000   3.7918e+00   9.8262e-02   9.8734e-01         7949        80896           78           79
    3.50000000   4.2918e+00   4.8878e-02   9.3671e-01         3954        80896           74           79
    4.00000000   4.7918e+00   2.1435e-02   7.8481e-01         1734        80896           62           79
    4.50000000   5.2918e+00   8.9992e-03   5.0633e-01          728        80896           40           79
    5.00000000   5.7918e+00   4.7619e-03   3.4286e-01          512       107520           36          105
    5.50000000   6.2918e+00   1.2978e-03   1.0705e-01          509       392192           41          383
    6.00000000   6.7918e+00   3.9561e-04   4.7847e-02          508      1284096           60         1254
    6.50000000   7.2918e+00   1.1598e-04   1.4523e-02          507      4371456           62         4269
    7.00000000   7.7918e+00   3.3538e-05   5.0141e-03          500     14908416           73        14559
    7.50000000   8.2918e+00   7.8992e-06   1.3052e-03          502     63550464           81        62061
