# data/ber-fec-hard/ber_v27p78.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c v27p78 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_v27p78.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r7/8 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87500000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4201e+00   5.0001e-01   1.0000e+00      2000948      4001792         1954         1954
   -8.50000000  -7.9201e+00   4.9998e-01   1.0000e+00      2000816      4001792         1954         1954
   -8.00000000  -7.4201e+00   4.9937e-01   1.0000e+00      1998386      4001792         1954         1954
   -7.50000000  -6.9201e+00   4.9964e-01   1.0000e+00      1999468      4001792         1954         1954
   -7.00000000  -6.4201e+00   4.9950e-01   1.0000e+00      1998907      4001792         1954         1954
   -6.50000000  -5.9201e+00   4.9940e-01   1.0000e+00      1998501      4001792         1954         1954
   -6.00000000  -5.4201e+00   4.9920e-01   1.0000e+00      1997692      4001792         1954         1954
   -5.50000000  -4.9201e+00   4.9875e-01   1.0000e+00      1995889      4001792         1954         1954
   -5.00000000  -4.4201e+00   4.9861e-01   1.0000e+00      1995333      4001792         1954         1954
   -4.50000000  -3.9201e+00   4.9787e-01   1.0000e+00      1992385      4001792         1954         1954
   -4.00000000  -3.4201e+00   4.9755e-01   1.0000e+00      1991075      4001792         1954         1954
   -3.50000000  -2.9201e+00   4.9594e-01   1.0000e+00      1984662      4001792         1954         1954
   -3.00000000  -2.4201e+00   4.9556e-01   1.0000e+00      1983133      4001792         1954         1954
   -2.50000000  -1.9201e+00   4.9342e-01   1.0000e+00      1974554      4001792         1954         1954
   -2.00000000  -1.4201e+00   4.9134e-01   1.0000e+00      1966230      4001792         1954         1954
   -1.50000000  -9.2008e-01   4.8825e-01   1.0000e+00      1953891      4001792         1954         1954
   -1.00000000  -4.2008e-01   4.8485e-01   1.0000e+00      1940272      4001792         1954         1954
   -0.50000000   7.9919e-02   4.7792e-01   1.0000e+00      1912527      4001792         1954         1954
    0.00000000   5.7992e-01   4.6667e-01   1.0000e+00      1867533      4001792         1954         1954
    0.50000000   1.0799e+00   4.5124e-01   1.0000e+00      1805753      4001792         1954         1954
    1.00000000   1.5799e+00   4.2455e-01   1.0000e+00      1698973      4001792         1954         1954
    1.50000000   2.0799e+00   3.8483e-01   1.0000e+00      1540004      4001792         1954         1954
    2.00000000   2.5799e+00   3.2761e-01   1.0000e+00      1311032      4001792         1954         1954
    2.50000000   3.0799e+00   2.5625e-01   1.0000e+00      1025441      4001792         1954         1954
    3.00000000   3.5799e+00   1.7722e-01   1.0000e+00       709186      4001792         1954         1954
    3.50000000   4.0799e+00   1.0702e-01   1.0000e+00       428263      4001792         1954         1954
    4.00000000   4.5799e+00   5.5383e-02   9.9437e-01       221630      4001792         1943         1954
    4.50000000   5.0799e+00   2.4703e-02   9.2375e-01        98857      4001792         1805         1954
    5.00000000   5.5799e+00   1.0123e-02   6.9243e-01        40512      4001792         1353         1954
    5.50000000   6.0799e+00   3.5667e-03   3.7206e-01        14273      4001792          727         1954
    6.00000000   6.5799e+00   1.1915e-03   1.6018e-01         4768      4001792          313         1954
    6.50000000   7.0799e+00   3.9582e-04   6.4483e-02         1584      4001792          126         1954
    7.00000000   7.5799e+00   1.1090e-04   2.0895e-02         1000      9017344           92         4403
    7.50000000   8.0799e+00   2.7110e-05   4.7637e-03         1014     37402624           87        18263
    8.00000000   8.5799e+00   6.3137e-06   1.3315e-03         1010    159969280          104        78110
