# data/ber-fec-hard/ber_v615.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c v615 -s-9.75 -d0.25 -e200 -n200000 -t4000000 -o data/ber-fec-hard/ber_v615.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/6 K=15
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.16666667   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   200000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   4000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.75000000  -1.9685e+00   4.9189e-01   1.0000e+00        98724       200704           98           98
   -9.50000000  -1.7185e+00   4.8842e-01   1.0000e+00        98028       200704           98           98
   -9.25000000  -1.4685e+00   4.8494e-01   1.0000e+00        97330       200704           98           98
   -9.00000000  -1.2185e+00   4.7598e-01   1.0000e+00        95531       200704           98           98
   -8.75000000  -9.6849e-01   4.6384e-01   1.0000e+00        93095       200704           98           98
   -8.50000000  -7.1849e-01   4.4846e-01   1.0000e+00        90007       200704           98           98
   -8.25000000  -4.6849e-01   4.2377e-01   1.0000e+00        85052       200704           98           98
   -8.00000000  -2.1849e-01   3.9436e-01   1.0000e+00        79149       200704           98           98
   -7.75000000   3.1512e-02   3.3954e-01   1.0000e+00        68147       200704           98           98
   -7.50000000   2.8151e-01   3.0459e-01   1.0000e+00        61132       200704           98           98
   -7.25000000   5.3151e-01   2.2133e-01   1.0000e+00        44421       200704           98           98
   -7.00000000   7.8151e-01   1.8037e-01   1.0000e+00        36201       200704           98           98
   -6.75000000   1.0315e+00   1.2132e-01   1.0000e+00        24350       200704           98           98
   -6.50000000   1.2815e+00   7.1025e-02   1.0000e+00        14255       200704           98           98
   -6.25000000   1.5315e+00   3.2904e-02   9.5918e-01         6604       200704           94           98
   -6.00000000   1.7815e+00   2.1136e-02   8.6735e-01         4242       200704           85           98
   -5.75000000   2.0315e+00   7.4587e-03   5.7143e-01         1497       200704           56           98
   -5.50000000   2.2815e+00   3.2336e-03   3.4694e-01          649       200704           34           98
   -5.25000000   2.5315e+00   2.3019e-03   2.8571e-01          462       200704           28           98
   -5.00000000   2.7815e+00   4.1097e-04   8.3333e-02          202       491520           20          240
   -4.75000000   3.0315e+00   2.1914e-04   5.0109e-02          206       940032           23          459
   -4.50000000   3.2815e+00   1.2345e-04   2.2642e-02          201      1628160           18          795
