# data/ber-fec-soft/ber_h128.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c h128 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_h128.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(12,8)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.66666669   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.2391e+00   3.3442e-01   1.0000e+00        27396        81920           40           40
   -8.50000000  -6.7391e+00   3.2484e-01   1.0000e+00        26611        81920           40           40
   -8.00000000  -6.2391e+00   3.1167e-01   1.0000e+00        25532        81920           40           40
   -7.50000000  -5.7391e+00   3.0126e-01   1.0000e+00        24679        81920           40           40
   -7.00000000  -5.2391e+00   2.9248e-01   1.0000e+00        23960        81920           40           40
   -6.50000000  -4.7391e+00   2.7390e-01   1.0000e+00        22438        81920           40           40
   -6.00000000  -4.2391e+00   2.6249e-01   1.0000e+00        21503        81920           40           40
   -5.50000000  -3.7391e+00   2.4446e-01   1.0000e+00        20026        81920           40           40
   -5.00000000  -3.2391e+00   2.3071e-01   1.0000e+00        18900        81920           40           40
   -4.50000000  -2.7391e+00   2.1178e-01   1.0000e+00        17349        81920           40           40
   -4.00000000  -2.2391e+00   1.9602e-01   1.0000e+00        16058        81920           40           40
   -3.50000000  -1.7391e+00   1.7468e-01   1.0000e+00        14310        81920           40           40
   -3.00000000  -1.2391e+00   1.5298e-01   1.0000e+00        12532        81920           40           40
   -2.50000000  -7.3909e-01   1.3500e-01   1.0000e+00        11059        81920           40           40
   -2.00000000  -2.3909e-01   1.1426e-01   1.0000e+00         9360        81920           40           40
   -1.50000000   2.6091e-01   9.3103e-02   1.0000e+00         7627        81920           40           40
   -1.00000000   7.6091e-01   7.9309e-02   1.0000e+00         6497        81920           40           40
   -0.50000000   1.2609e+00   5.9900e-02   1.0000e+00         4907        81920           40           40
    0.00000000   1.7609e+00   4.3665e-02   1.0000e+00         3577        81920           40           40
    0.50000000   2.2609e+00   3.1860e-02   1.0000e+00         2610        81920           40           40
    1.00000000   2.7609e+00   2.4805e-02   1.0000e+00         2032        81920           40           40
    1.50000000   3.2609e+00   1.5759e-02   1.0000e+00         1291        81920           40           40
    2.00000000   3.7609e+00   8.7524e-03   1.0000e+00          717        81920           40           40
    2.50000000   4.2609e+00   5.6485e-03   9.3182e-01          509        90112           41           44
    3.00000000   4.7609e+00   3.3578e-03   9.5890e-01          502       149504           70           73
    3.50000000   5.2609e+00   1.4978e-03   7.4233e-01          500       333824          121          163
    4.00000000   5.7609e+00   1.0366e-03   5.2966e-01          501       483328          125          236
    4.50000000   6.2609e+00   3.8289e-04   2.7019e-01          505      1318912          174          644
    5.00000000   6.7609e+00   1.6940e-04   1.3131e-01          502      2963456          190         1447
    5.50000000   7.2609e+00   5.6029e-05   4.3854e-02          505      9013248          193         4401
    6.00000000   7.7609e+00   2.4310e-05   1.9217e-02          500     20568064          193        10043
    6.50000000   8.2609e+00   7.0438e-06   5.5174e-03          502     71268352          192        34799
