# data/ber-fec-soft/ber_none.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c none -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_none.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.0786e-01   1.0000e+00      1231988      4001792         1954         1954
   -8.50000000  -8.5000e+00   2.9745e-01   1.0000e+00      1190350      4001792         1954         1954
   -8.00000000  -8.0000e+00   2.8671e-01   1.0000e+00      1147353      4001792         1954         1954
   -7.50000000  -7.5000e+00   2.7528e-01   1.0000e+00      1101599      4001792         1954         1954
   -7.00000000  -7.0000e+00   2.6358e-01   1.0000e+00      1054795      4001792         1954         1954
   -6.50000000  -6.5000e+00   2.5170e-01   1.0000e+00      1007256      4001792         1954         1954
   -6.00000000  -6.0000e+00   2.3910e-01   1.0000e+00       956840      4001792         1954         1954
   -5.50000000  -5.5000e+00   2.2660e-01   1.0000e+00       906804      4001792         1954         1954
   -5.00000000  -5.0000e+00   2.1315e-01   1.0000e+00       852966      4001792         1954         1954
   -4.50000000  -4.5000e+00   1.9974e-01   1.0000e+00       799315      4001792         1954         1954
   -4.00000000  -4.0000e+00   1.8583e-01   1.0000e+00       743652      4001792         1954         1954
   -3.50000000  -3.5000e+00   1.7205e-01   1.0000e+00       688519      4001792         1954         1954
   -3.00000000  -3.0000e+00   1.5814e-01   1.0000e+00       632857      4001792         1954         1954
   -2.50000000  -2.5000e+00   1.4439e-01   1.0000e+00       577838      4001792         1954         1954
   -2.00000000  -2.0000e+00   1.3059e-01   1.0000e+00       522575      4001792         1954         1954
   -1.50000000  -1.5000e+00   1.1688e-01   1.0000e+00       467738      4001792         1954         1954
   -1.00000000  -1.0000e+00   1.0369e-01   1.0000e+00       414933      4001792         1954         1954
   -0.50000000  -5.0000e-01   9.0941e-02   1.0000e+00       363926      4001792         1954         1954
    0.00000000   0.0000e+00   7.8513e-02   1.0000e+00       314192      4001792         1954         1954
    0.50000000   5.0000e-01   6.6977e-02   1.0000e+00       268029      4001792         1954         1954
    1.00000000   1.0000e+00   5.6039e-02   1.0000e+00       224257      4001792         1954         1954
    1.50000000   1.5000e+00   4.6638e-02   1.0000e+00       186636      4001792         1954         1954
    2.00000000   2.0000e+00   3.7612e-02   1.0000e+00       150515      4001792         1954         1954
    2.50000000   2.5000e+00   2.9639e-02   1.0000e+00       118608      4001792         1954         1954
    3.00000000   3.0000e+00   2.2929e-02   1.0000e+00        91759      4001792         1954         1954
    3.50000000   3.5000e+00   1.7226e-02   1.0000e+00        68935      4001792         1954         1954
    4.00000000   4.0000e+00   1.2457e-02   1.0000e+00        49851      4001792         1954         1954
    4.50000000   4.5000e+00   8.7868e-03   1.0000e+00        35163      4001792         1954         1954
    5.00000000   5.0000e+00   5.9901e-03   1.0000e+00        23971      4001792         1954         1954
    5.50000000   5.5000e+00   3.8460e-03   1.0000e+00        15391      4001792         1954         1954
    6.00000000   6.0000e+00   2.3692e-03   9.9284e-01         9481      4001792         1940         1954
    6.50000000   6.5000e+00   1.3834e-03   9.4166e-01         5536      4001792         1840         1954
    7.00000000   7.0000e+00   7.3742e-04   7.7943e-01         2951      4001792         1523         1954
    7.50000000   7.5000e+00   4.0907e-04   5.6346e-01         1637      4001792         1101         1954
    8.00000000   8.0000e+00   1.9292e-04   3.2556e-01         1000      5183488          824         2531
    8.50000000   8.5000e+00   8.5945e-05   1.6300e-01         1001     11646976          927         5687
    9.00000000   9.0000e+00   3.3845e-05   6.7512e-02         1000     29546496          974        14427
    9.50000000   9.5000e+00   1.2233e-05   2.4777e-02         1000     81747968          989        39916
   10.00000000   1.0000e+01   4.0357e-06   8.2404e-03         1000    247785472          997       120989
