# data/ber-fec-soft/ber_rep3.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c rep3 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_rep3.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(3)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -4.2288e+00   2.1508e-01   1.0000e+00        17619        81920           40           40
   -8.50000000  -3.7288e+00   2.0166e-01   1.0000e+00        16520        81920           40           40
   -8.00000000  -3.2288e+00   1.8427e-01   1.0000e+00        15095        81920           40           40
   -7.50000000  -2.7288e+00   1.7292e-01   1.0000e+00        14166        81920           40           40
   -7.00000000  -2.2288e+00   1.5656e-01   1.0000e+00        12825        81920           40           40
   -6.50000000  -1.7288e+00   1.3993e-01   1.0000e+00        11463        81920           40           40
   -6.00000000  -1.2288e+00   1.2614e-01   1.0000e+00        10333        81920           40           40
   -5.50000000  -7.2879e-01   1.1141e-01   1.0000e+00         9127        81920           40           40
   -5.00000000  -2.2879e-01   9.7510e-02   1.0000e+00         7988        81920           40           40
   -4.50000000   2.7121e-01   8.2642e-02   1.0000e+00         6770        81920           40           40
   -4.00000000   7.7121e-01   6.9910e-02   1.0000e+00         5727        81920           40           40
   -3.50000000   1.2712e+00   6.0120e-02   1.0000e+00         4925        81920           40           40
   -3.00000000   1.7712e+00   4.9182e-02   1.0000e+00         4029        81920           40           40
   -2.50000000   2.2712e+00   3.8550e-02   1.0000e+00         3158        81920           40           40
   -2.00000000   2.7712e+00   3.0066e-02   1.0000e+00         2463        81920           40           40
   -1.50000000   3.2712e+00   2.1924e-02   1.0000e+00         1796        81920           40           40
   -1.00000000   3.7712e+00   1.6309e-02   1.0000e+00         1336        81920           40           40
   -0.50000000   4.2712e+00   1.1121e-02   1.0000e+00          911        81920           40           40
    0.00000000   4.7712e+00   7.9102e-03   1.0000e+00          648        81920           40           40
    0.50000000   5.2712e+00   5.4905e-03   1.0000e+00          506        92160           45           45
    1.00000000   5.7712e+00   2.9709e-03   1.0000e+00          505       169984           83           83
    1.50000000   6.2712e+00   1.9648e-03   9.5200e-01          503       256000          119          125
    2.00000000   6.7712e+00   1.1069e-03   9.3213e-01          501       452608          206          221
    2.50000000   7.2712e+00   5.7310e-04   6.9249e-01          500       872448          295          426
    3.00000000   7.7712e+00   2.7618e-04   4.3665e-01          500      1810432          386          884
    3.50000000   8.2712e+00   1.3225e-04   2.3781e-01          500      3780608          439         1846
    4.00000000   8.7712e+00   5.1703e-05   9.9746e-02          500      9670656          471         4722
    4.50000000   9.2712e+00   1.8451e-05   3.7183e-02          500     27099136          492        13232
    5.00000000   9.7712e+00   6.3562e-06   1.2965e-02          500     78663680          498        38410
