# data/ber-fec-soft/ber_v27.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v27 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_v27.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/2 K=7
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   4.9792e-01   1.0000e+00      1992586      4001792         1954         1954
   -8.50000000  -5.4897e+00   4.9650e-01   1.0000e+00      1986877      4001792         1954         1954
   -8.00000000  -4.9897e+00   4.9491e-01   1.0000e+00      1980524      4001792         1954         1954
   -7.50000000  -4.4897e+00   4.9268e-01   1.0000e+00      1971620      4001792         1954         1954
   -7.00000000  -3.9897e+00   4.8824e-01   1.0000e+00      1953835      4001792         1954         1954
   -6.50000000  -3.4897e+00   4.8230e-01   1.0000e+00      1930073      4001792         1954         1954
   -6.00000000  -2.9897e+00   4.7312e-01   1.0000e+00      1893310      4001792         1954         1954
   -5.50000000  -2.4897e+00   4.5666e-01   1.0000e+00      1827461      4001792         1954         1954
   -5.00000000  -1.9897e+00   4.3217e-01   1.0000e+00      1729438      4001792         1954         1954
   -4.50000000  -1.4897e+00   3.9502e-01   1.0000e+00      1580795      4001792         1954         1954
   -4.00000000  -9.8970e-01   3.4122e-01   1.0000e+00      1365472      4001792         1954         1954
   -3.50000000  -4.8970e-01   2.7187e-01   1.0000e+00      1087964      4001792         1954         1954
   -3.00000000   1.0300e-02   1.9122e-01   1.0000e+00       765220      4001792         1954         1954
   -2.50000000   5.1030e-01   1.1517e-01   1.0000e+00       460902      4001792         1954         1954
   -2.00000000   1.0103e+00   5.7036e-02   1.0000e+00       228246      4001792         1954         1954
   -1.50000000   1.5103e+00   2.3433e-02   9.9232e-01        93773      4001792         1939         1954
   -1.00000000   2.0103e+00   8.2293e-03   8.8076e-01        32932      4001792         1721         1954
   -0.50000000   2.5103e+00   2.2427e-03   5.0716e-01         8975      4001792          991         1954
    0.00000000   3.0103e+00   5.6800e-04   1.9038e-01         2273      4001792          372         1954
    0.50000000   3.5103e+00   1.4204e-04   5.8875e-02         1003      7061504          203         3448
    1.00000000   4.0103e+00   2.4882e-05   1.2765e-02         1002     40269824          251        19663
    1.50000000   4.5103e+00   5.3321e-06   3.0358e-03         1000    187543552          278        91574
