# data/ber-fec-soft/ber_v27p34.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v27p34 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_v27p34.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r3/4 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.75000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.7506e+00   4.9996e-01   1.0000e+00      2000739      4001792         1954         1954
   -8.50000000  -7.2506e+00   4.9916e-01   1.0000e+00      1997549      4001792         1954         1954
   -8.00000000  -6.7506e+00   4.9957e-01   1.0000e+00      1999195      4001792         1954         1954
   -7.50000000  -6.2506e+00   4.9931e-01   1.0000e+00      1998150      4001792         1954         1954
   -7.00000000  -5.7506e+00   4.9858e-01   1.0000e+00      1995215      4001792         1954         1954
   -6.50000000  -5.2506e+00   4.9872e-01   1.0000e+00      1995791      4001792         1954         1954
   -6.00000000  -4.7506e+00   4.9748e-01   1.0000e+00      1990815      4001792         1954         1954
   -5.50000000  -4.2506e+00   4.9657e-01   1.0000e+00      1987162      4001792         1954         1954
   -5.00000000  -3.7506e+00   4.9534e-01   1.0000e+00      1982266      4001792         1954         1954
   -4.50000000  -3.2506e+00   4.9218e-01   1.0000e+00      1969607      4001792         1954         1954
   -4.00000000  -2.7506e+00   4.9075e-01   1.0000e+00      1963891      4001792         1954         1954
   -3.50000000  -2.2506e+00   4.8438e-01   1.0000e+00      1938402      4001792         1954         1954
   -3.00000000  -1.7506e+00   4.7710e-01   1.0000e+00      1909259      4001792         1954         1954
   -2.50000000  -1.2506e+00   4.6404e-01   1.0000e+00      1857002      4001792         1954         1954
   -2.00000000  -7.5061e-01   4.4443e-01   1.0000e+00      1778501      4001792         1954         1954
   -1.50000000  -2.5061e-01   4.0922e-01   1.0000e+00      1637632      4001792         1954         1954
   -1.00000000   2.4939e-01   3.5740e-01   1.0000e+00      1430232      4001792         1954         1954
   -0.50000000   7.4939e-01   2.7761e-01   1.0000e+00      1110939      4001792         1954         1954
    0.00000000   1.2494e+00   1.8624e-01   1.0000e+00       745287      4001792         1954         1954
    0.50000000   1.7494e+00   9.9972e-02   1.0000e+00       400069      4001792         1954         1954
    1.00000000   2.2494e+00   4.1356e-02   9.9386e-01       165497      4001792         1942         1954
    1.50000000   2.7494e+00   1.3570e-02   8.5056e-01        54305      4001792         1662         1954
    2.00000000   3.2494e+00   3.8588e-03   4.9284e-01        15442      4001792          963         1954
    2.50000000   3.7494e+00   9.0659e-04   1.8577e-01         3628      4001792          363         1954
    3.00000000   4.2494e+00   2.3949e-04   5.5637e-02         1005      4196352          114         2049
    3.50000000   4.7494e+00   5.5616e-05   1.7506e-02         1002     18016256          154         8797
    4.00000000   5.2494e+00   9.3830e-06   3.2855e-03         1006    107214848          172        52351
