# data/ber-fec-soft/ber_v27p78.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v27p78 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_v27p78.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r7/8 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87500000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4201e+00   5.0100e-01   1.0000e+00        41042        81920           40           40
   -8.50000000  -7.9201e+00   4.9689e-01   1.0000e+00        40705        81920           40           40
   -8.00000000  -7.4201e+00   5.0116e-01   1.0000e+00        41055        81920           40           40
   -7.50000000  -6.9201e+00   4.9562e-01   1.0000e+00        40601        81920           40           40
   -7.00000000  -6.4201e+00   4.9951e-01   1.0000e+00        40920        81920           40           40
   -6.50000000  -5.9201e+00   4.9774e-01   1.0000e+00        40775        81920           40           40
   -6.00000000  -5.4201e+00   4.9827e-01   1.0000e+00        40818        81920           40           40
   -5.50000000  -4.9201e+00   4.9774e-01   1.0000e+00        40775        81920           40           40
   -5.00000000  -4.4201e+00   4.9885e-01   1.0000e+00        40866        81920           40           40
   -4.50000000  -3.9201e+00   4.9686e-01   1.0000e+00        40703        81920           40           40
   -4.00000000  -3.4201e+00   4.9807e-01   1.0000e+00        40802        81920           40           40
   -3.50000000  -2.9201e+00   4.9072e-01   1.0000e+00        40200        81920           40           40
   -3.00000000  -2.4201e+00   4.9539e-01   1.0000e+00        40582        81920           40           40
   -2.50000000  -1.9201e+00   4.8826e-01   1.0000e+00        39998        81920           40           40
   -2.00000000  -1.4201e+00   4.8600e-01   1.0000e+00        39813        81920           40           40
   -1.50000000  -9.2008e-01   4.8414e-01   1.0000e+00        39661        81920           40           40
   -1.00000000  -4.2008e-01   4.7734e-01   1.0000e+00        39104        81920           40           40
   -0.50000000   7.9919e-02   4.6372e-01   1.0000e+00        37988        81920           40           40
    0.00000000   5.7992e-01   4.4550e-01   1.0000e+00        36495        81920           40           40
    0.50000000   1.0799e+00   4.1189e-01   1.0000e+00        33742        81920           40           40
    1.00000000   1.5799e+00   3.6304e-01   1.0000e+00        29740        81920           40           40
    1.50000000   2.0799e+00   2.5123e-01   1.0000e+00        20581        81920           40           40
    2.00000000   2.5799e+00   1.6481e-01   1.0000e+00        13501        81920           40           40
    2.50000000   3.0799e+00   7.7112e-02   1.0000e+00         6317        81920           40           40
    3.00000000   3.5799e+00   2.3669e-02   8.2500e-01         1939        81920           33           40
    3.50000000   4.0799e+00   6.7993e-03   4.2500e-01          557        81920           17           40
    4.00000000   4.5799e+00   1.1889e-03   1.4010e-01          504       423936           29          207
    4.50000000   5.0799e+00   2.6961e-04   4.4257e-02          524      1943552           42          949
    5.00000000   5.5799e+00   4.9220e-05   1.2224e-02          503     10219520           61         4990
    5.50000000   6.0799e+00   1.1192e-05   3.2417e-03          502     44855296           71        21902
    6.00000000   6.5799e+00   2.6286e-06   8.1827e-04          500    190216192           76        92879
