# data/ber-fec-soft/ber_v615.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v615 -s-9.75 -d0.25 -e50 -n50000 -t3000000 -o data/ber-fec-soft/ber_v615.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/6 K=15
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.16666667   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   50
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   3000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.75000000  -1.9685e+00   4.7051e-01   1.0000e+00        24090        51200           25           25
   -9.50000000  -1.7185e+00   4.5588e-01   1.0000e+00        23341        51200           25           25
   -9.25000000  -1.4685e+00   4.1621e-01   1.0000e+00        21310        51200           25           25
   -9.00000000  -1.2185e+00   3.9666e-01   1.0000e+00        20309        51200           25           25
   -8.75000000  -9.6849e-01   3.6666e-01   1.0000e+00        18773        51200           25           25
   -8.50000000  -7.1849e-01   3.0475e-01   1.0000e+00        15603        51200           25           25
   -8.25000000  -4.6849e-01   2.4967e-01   1.0000e+00        12783        51200           25           25
   -8.00000000  -2.1849e-01   1.7400e-01   1.0000e+00         8909        51200           25           25
   -7.75000000   3.1512e-02   1.0457e-01   1.0000e+00         5354        51200           25           25
   -7.50000000   2.8151e-01   5.4961e-02   1.0000e+00         2814        51200           25           25
   -7.25000000   5.3151e-01   2.7969e-02   8.0000e-01         1432        51200           20           25
   -7.00000000   7.8151e-01   7.8125e-03   6.4000e-01          400        51200           16           25
   -6.75000000   1.0315e+00   4.4531e-03   4.4000e-01          228        51200           11           25
   -6.50000000   1.2815e+00   2.4609e-03   2.4000e-01          126        51200            6           25
   -6.25000000   1.5315e+00   9.0027e-04   1.2500e-01           59        65536            4           32
   -6.00000000   1.7815e+00   3.2552e-04   4.7619e-02           56       172032            4           84
   -5.75000000   2.0315e+00   6.1895e-05   1.6432e-02           54       872448            7          426
