# data/ber-modem/ber_V29.dat : auto-generated file
# invoked as: ./src/simulate_ber -m V29 -p 4 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_V29.dat 
#
#  modulation scheme   :   V.29
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.3472e-01   1.0000e+00         8903        20480           10           10
   -8.00000000  -1.4021e+01   4.1997e-01   1.0000e+00         8601        20480           10           10
   -7.00000000  -1.3021e+01   4.1729e-01   1.0000e+00         8546        20480           10           10
   -6.00000000  -1.2021e+01   3.9658e-01   1.0000e+00         8122        20480           10           10
   -5.00000000  -1.1021e+01   3.8804e-01   1.0000e+00         7947        20480           10           10
   -4.00000000  -1.0021e+01   3.6865e-01   1.0000e+00         7550        20480           10           10
   -3.00000000  -9.0206e+00   3.5503e-01   1.0000e+00         7271        20480           10           10
   -2.00000000  -8.0206e+00   3.3140e-01   1.0000e+00         6787        20480           10           10
   -1.00000000  -7.0206e+00   3.1772e-01   1.0000e+00         6507        20480           10           10
    0.00000000  -6.0206e+00   2.8872e-01   1.0000e+00         5913        20480           10           10
    1.00000000  -5.0206e+00   2.7187e-01   1.0000e+00         5568        20480           10           10
    2.00000000  -4.0206e+00   2.5229e-01   1.0000e+00         5167        20480           10           10
    3.00000000  -3.0206e+00   2.2461e-01   1.0000e+00         4600        20480           10           10
    4.00000000  -2.0206e+00   2.0347e-01   1.0000e+00         4167        20480           10           10
    5.00000000  -1.0206e+00   1.7705e-01   1.0000e+00         3626        20480           10           10
    6.00000000  -2.0600e-02   1.5659e-01   1.0000e+00         3207        20480           10           10
    7.00000000   9.7940e-01   1.3750e-01   1.0000e+00         2816        20480           10           10
    8.00000000   1.9794e+00   1.1055e-01   1.0000e+00         2264        20480           10           10
    9.00000000   2.9794e+00   8.9697e-02   1.0000e+00         1837        20480           10           10
   10.00000000   3.9794e+00   7.2314e-02   1.0000e+00         1481        20480           10           10
   11.00000000   4.9794e+00   5.4688e-02   1.0000e+00         1120        20480           10           10
   12.00000000   5.9794e+00   3.5205e-02   1.0000e+00          721        20480           10           10
   13.00000000   6.9794e+00   2.2510e-02   1.0000e+00          461        20480           10           10
   14.00000000   7.9794e+00   1.4160e-02   1.0000e+00          290        20480           10           10
   15.00000000   8.9794e+00   6.5104e-03   1.0000e+00          200        30720           15           15
   16.00000000   9.9794e+00   3.6169e-03   1.0000e+00          200        55296           27           27
   17.00000000   1.0979e+01   1.6837e-03   9.3103e-01          200       118784           54           58
   18.00000000   1.1979e+01   5.0572e-04   5.3571e-01          203       401408          105          196
   19.00000000   1.2979e+01   1.2161e-04   1.6189e-01          200      1644544          130          803
   20.00000000   1.3979e+01   2.5202e-05   3.5613e-02          200      7936000          138         3875
