# data/ber-modem/ber_apsk16.dat : auto-generated file
# invoked as: ./src/simulate_ber -m apsk -p 4 -cnone -knone -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_apsk16.dat 
#
#  modulation scheme   :   amplitude/phase-shift keying
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.2904e-01   1.0000e+00        35147        81920           40           40
   -8.00000000  -1.4021e+01   4.2297e-01   1.0000e+00        34650        81920           40           40
   -7.00000000  -1.3021e+01   4.1034e-01   1.0000e+00        33615        81920           40           40
   -6.00000000  -1.2021e+01   4.0020e-01   1.0000e+00        32784        81920           40           40
   -5.00000000  -1.1021e+01   3.8400e-01   1.0000e+00        31457        81920           40           40
   -4.00000000  -1.0021e+01   3.7123e-01   1.0000e+00        30411        81920           40           40
   -3.00000000  -9.0206e+00   3.5747e-01   1.0000e+00        29284        81920           40           40
   -2.00000000  -8.0206e+00   3.3557e-01   1.0000e+00        27490        81920           40           40
   -1.00000000  -7.0206e+00   3.1536e-01   1.0000e+00        25834        81920           40           40
    0.00000000  -6.0206e+00   2.8643e-01   1.0000e+00        23464        81920           40           40
    1.00000000  -5.0206e+00   2.6827e-01   1.0000e+00        21977        81920           40           40
    2.00000000  -4.0206e+00   2.4670e-01   1.0000e+00        20210        81920           40           40
    3.00000000  -3.0206e+00   2.2284e-01   1.0000e+00        18255        81920           40           40
    4.00000000  -2.0206e+00   2.0039e-01   1.0000e+00        16416        81920           40           40
    5.00000000  -1.0206e+00   1.7584e-01   1.0000e+00        14405        81920           40           40
    6.00000000  -2.0600e-02   1.5391e-01   1.0000e+00        12608        81920           40           40
    7.00000000   9.7940e-01   1.3237e-01   1.0000e+00        10844        81920           40           40
    8.00000000   1.9794e+00   1.0658e-01   1.0000e+00         8731        81920           40           40
    9.00000000   2.9794e+00   8.9221e-02   1.0000e+00         7309        81920           40           40
   10.00000000   3.9794e+00   6.6248e-02   1.0000e+00         5427        81920           40           40
   11.00000000   4.9794e+00   4.8450e-02   1.0000e+00         3969        81920           40           40
   12.00000000   5.9794e+00   3.2983e-02   1.0000e+00         2702        81920           40           40
   13.00000000   6.9794e+00   2.0593e-02   1.0000e+00         1687        81920           40           40
   14.00000000   7.9794e+00   1.2317e-02   1.0000e+00         1009        81920           40           40
   15.00000000   8.9794e+00   5.5447e-03   1.0000e+00          511        92160           45           45
   16.00000000   9.9794e+00   2.5219e-03   1.0000e+00          501       198656           97           97
   17.00000000   1.0979e+01   8.8457e-04   8.6232e-01          500       565248          238          276
   18.00000000   1.1979e+01   2.5780e-04   3.9493e-01          500      1939456          374          947
   19.00000000   1.2979e+01   5.4653e-05   1.0657e-01          501      9166848          477         4476
   20.00000000   1.3979e+01   7.9858e-06   1.6388e-02          500     62611456          501        30572
