# data/ber-modem/ber_apsk8.dat : auto-generated file
# invoked as: ./src/simulate_ber -m apsk -p 3 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_apsk8.dat 
#
#  modulation scheme   :   apsk
#  modulation depth    :   3 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   3.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.3771e+01   4.1060e-01   1.0000e+00         8409        20480           10           10
   -8.00000000  -1.2771e+01   3.9551e-01   1.0000e+00         8100        20480           10           10
   -7.00000000  -1.1771e+01   3.8618e-01   1.0000e+00         7909        20480           10           10
   -6.00000000  -1.0771e+01   3.7012e-01   1.0000e+00         7580        20480           10           10
   -5.00000000  -9.7712e+00   3.5991e-01   1.0000e+00         7371        20480           10           10
   -4.00000000  -8.7712e+00   3.3901e-01   1.0000e+00         6943        20480           10           10
   -3.00000000  -7.7712e+00   3.2480e-01   1.0000e+00         6652        20480           10           10
   -2.00000000  -6.7712e+00   3.0771e-01   1.0000e+00         6302        20480           10           10
   -1.00000000  -5.7712e+00   2.8110e-01   1.0000e+00         5757        20480           10           10
    0.00000000  -4.7712e+00   2.5967e-01   1.0000e+00         5318        20480           10           10
    1.00000000  -3.7712e+00   2.3857e-01   1.0000e+00         4886        20480           10           10
    2.00000000  -2.7712e+00   2.1353e-01   1.0000e+00         4373        20480           10           10
    3.00000000  -1.7712e+00   1.8477e-01   1.0000e+00         3784        20480           10           10
    4.00000000  -7.7121e-01   1.5356e-01   1.0000e+00         3145        20480           10           10
    5.00000000   2.2879e-01   1.2856e-01   1.0000e+00         2633        20480           10           10
    6.00000000   1.2288e+00   9.3115e-02   1.0000e+00         1907        20480           10           10
    7.00000000   2.2288e+00   7.5391e-02   1.0000e+00         1544        20480           10           10
    8.00000000   3.2288e+00   5.4834e-02   1.0000e+00         1123        20480           10           10
    9.00000000   4.2288e+00   3.4375e-02   1.0000e+00          704        20480           10           10
   10.00000000   5.2288e+00   1.7969e-02   1.0000e+00          368        20480           10           10
   11.00000000   6.2288e+00   1.0303e-02   1.0000e+00          211        20480           10           10
   12.00000000   7.2288e+00   5.1398e-03   1.0000e+00          200        38912           19           19
   13.00000000   8.2288e+00   1.4720e-03   8.8235e-01          205       139264           60           68
   14.00000000   9.2288e+00   4.6503e-04   5.4286e-01          200       430080          114          210
   15.00000000   1.0229e+01   8.9347e-05   1.4364e-01          200      2238464          157         1093
