# data/ber-modem/ber_arb256opt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb256opt -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb256opt.dat 
#
#  modulation scheme   :   arb256opt (optimal 256-qam)
#  modulation depth    :   8 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   8.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.8031e+01   4.7140e-01   1.0000e+00       151571       321536          157          157
   -8.00000000  -1.7031e+01   4.6781e-01   1.0000e+00       150417       321536          157          157
   -7.00000000  -1.6031e+01   4.6159e-01   1.0000e+00       148419       321536          157          157
   -6.00000000  -1.5031e+01   4.5893e-01   1.0000e+00       147564       321536          157          157
   -5.00000000  -1.4031e+01   4.5117e-01   1.0000e+00       145067       321536          157          157
   -4.00000000  -1.3031e+01   4.4284e-01   1.0000e+00       142389       321536          157          157
   -3.00000000  -1.2031e+01   4.3570e-01   1.0000e+00       140092       321536          157          157
   -2.00000000  -1.1031e+01   4.2828e-01   1.0000e+00       137708       321536          157          157
   -1.00000000  -1.0031e+01   4.1833e-01   1.0000e+00       134508       321536          157          157
    0.00000000  -9.0309e+00   4.0535e-01   1.0000e+00       130334       321536          157          157
    1.00000000  -8.0309e+00   3.9439e-01   1.0000e+00       126812       321536          157          157
    2.00000000  -7.0309e+00   3.8187e-01   1.0000e+00       122785       321536          157          157
    3.00000000  -6.0309e+00   3.6935e-01   1.0000e+00       118760       321536          157          157
    4.00000000  -5.0309e+00   3.5526e-01   1.0000e+00       114230       321536          157          157
    5.00000000  -4.0309e+00   3.4026e-01   1.0000e+00       109405       321536          157          157
    6.00000000  -3.0309e+00   3.2628e-01   1.0000e+00       104912       321536          157          157
    7.00000000  -2.0309e+00   3.0994e-01   1.0000e+00        99656       321536          157          157
    8.00000000  -1.0309e+00   2.9446e-01   1.0000e+00        94678       321536          157          157
    9.00000000  -3.0900e-02   2.7661e-01   1.0000e+00        88939       321536          157          157
   10.00000000   9.6910e-01   2.6151e-01   1.0000e+00        84086       321536          157          157
   11.00000000   1.9691e+00   2.4350e-01   1.0000e+00        78294       321536          157          157
   12.00000000   2.9691e+00   2.2859e-01   1.0000e+00        73499       321536          157          157
   13.00000000   3.9691e+00   2.1161e-01   1.0000e+00        68040       321536          157          157
   14.00000000   4.9691e+00   1.9528e-01   1.0000e+00        62788       321536          157          157
   15.00000000   5.9691e+00   1.7760e-01   1.0000e+00        57104       321536          157          157
   16.00000000   6.9691e+00   1.6082e-01   1.0000e+00        51710       321536          157          157
   17.00000000   7.9691e+00   1.4418e-01   1.0000e+00        46360       321536          157          157
   18.00000000   8.9691e+00   1.2653e-01   1.0000e+00        40684       321536          157          157
   19.00000000   9.9691e+00   1.0957e-01   1.0000e+00        35230       321536          157          157
   20.00000000   1.0969e+01   9.1442e-02   1.0000e+00        29402       321536          157          157
   21.00000000   1.1969e+01   7.3217e-02   1.0000e+00        23542       321536          157          157
   22.00000000   1.2969e+01   5.6112e-02   1.0000e+00        18042       321536          157          157
   23.00000000   1.3969e+01   4.0708e-02   1.0000e+00        13089       321536          157          157
   24.00000000   1.4969e+01   2.6837e-02   1.0000e+00         8629       321536          157          157
   25.00000000   1.5969e+01   1.6157e-02   1.0000e+00         5195       321536          157          157
   26.00000000   1.6969e+01   8.2759e-03   1.0000e+00         2661       321536          157          157
   27.00000000   1.7969e+01   3.7321e-03   9.9363e-01         1200       321536          156          157
   28.00000000   1.8969e+01   1.4068e-03   8.8525e-01          703       499712          216          244
   29.00000000   1.9969e+01   3.9560e-04   4.2361e-01          700      1769472          366          864
   30.00000000   2.0969e+01   8.5758e-05   1.1258e-01          702      8185856          450         3997
   31.00000000   2.1969e+01   1.3312e-05   1.8306e-02          700     52582400          470        25675
   32.00000000   2.2969e+01   1.3158e-06   1.8787e-03          700    531990528          488       259761
