# data/ber-modem/ber_arb32opt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb32opt -p 5 -cnone -knone -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb32opt.dat 
#
#  modulation scheme   :   arb32opt (optimal 32-qam)
#  modulation depth    :   5 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   5.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5990e+01   4.4858e-01   1.0000e+00        36748        81920           40           40
   -8.00000000  -1.4990e+01   4.3896e-01   1.0000e+00        35960        81920           40           40
   -7.00000000  -1.3990e+01   4.3538e-01   1.0000e+00        35666        81920           40           40
   -6.00000000  -1.2990e+01   4.2484e-01   1.0000e+00        34803        81920           40           40
   -5.00000000  -1.1990e+01   4.1388e-01   1.0000e+00        33905        81920           40           40
   -4.00000000  -1.0990e+01   3.9924e-01   1.0000e+00        32706        81920           40           40
   -3.00000000  -9.9897e+00   3.8671e-01   1.0000e+00        31679        81920           40           40
   -2.00000000  -8.9897e+00   3.7518e-01   1.0000e+00        30735        81920           40           40
   -1.00000000  -7.9897e+00   3.5828e-01   1.0000e+00        29350        81920           40           40
    0.00000000  -6.9897e+00   3.3936e-01   1.0000e+00        27800        81920           40           40
    1.00000000  -5.9897e+00   3.2032e-01   1.0000e+00        26241        81920           40           40
    2.00000000  -4.9897e+00   3.0123e-01   1.0000e+00        24677        81920           40           40
    3.00000000  -3.9897e+00   2.7969e-01   1.0000e+00        22912        81920           40           40
    4.00000000  -2.9897e+00   2.5795e-01   1.0000e+00        21131        81920           40           40
    5.00000000  -1.9897e+00   2.3834e-01   1.0000e+00        19525        81920           40           40
    6.00000000  -9.8970e-01   2.1775e-01   1.0000e+00        17838        81920           40           40
    7.00000000   1.0300e-02   1.9656e-01   1.0000e+00        16102        81920           40           40
    8.00000000   1.0103e+00   1.7610e-01   1.0000e+00        14426        81920           40           40
    9.00000000   2.0103e+00   1.5181e-01   1.0000e+00        12436        81920           40           40
   10.00000000   3.0103e+00   1.2928e-01   1.0000e+00        10591        81920           40           40
   11.00000000   4.0103e+00   1.0919e-01   1.0000e+00         8945        81920           40           40
   12.00000000   5.0103e+00   8.6914e-02   1.0000e+00         7120        81920           40           40
   13.00000000   6.0103e+00   6.6479e-02   1.0000e+00         5446        81920           40           40
   14.00000000   7.0103e+00   4.6729e-02   1.0000e+00         3828        81920           40           40
   15.00000000   8.0103e+00   3.1958e-02   1.0000e+00         2618        81920           40           40
   16.00000000   9.0103e+00   1.8530e-02   1.0000e+00         1518        81920           40           40
   17.00000000   1.0010e+01   9.1431e-03   1.0000e+00          749        81920           40           40
   18.00000000   1.1010e+01   4.1380e-03   1.0000e+00          500       120832           59           59
   19.00000000   1.2010e+01   1.6708e-03   9.2517e-01          503       301056          136          147
   20.00000000   1.3010e+01   4.2983e-04   4.9648e-01          500      1163264          282          568
   21.00000000   1.4010e+01   9.0523e-05   1.3793e-01          500      5523456          372         2697
   22.00000000   1.5010e+01   1.2808e-05   2.0944e-02          501     39114752          400        19099
