# data/ber-modem/ber_arb64vt.dat : auto-generated file
# invoked as: ./src/simulate_ber -m arb64vt -p 6 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_arb64vt.dat 
#
#  modulation scheme   :   arb64vt (64-qam vt logo)
#  modulation depth    :   6 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   6.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.6782e+01   4.5947e-01   1.0000e+00         9410        20480           10           10
   -8.00000000  -1.5782e+01   4.4937e-01   1.0000e+00         9203        20480           10           10
   -7.00000000  -1.4782e+01   4.3623e-01   1.0000e+00         8934        20480           10           10
   -6.00000000  -1.3782e+01   4.3784e-01   1.0000e+00         8967        20480           10           10
   -5.00000000  -1.2782e+01   4.2642e-01   1.0000e+00         8733        20480           10           10
   -4.00000000  -1.1782e+01   4.1890e-01   1.0000e+00         8579        20480           10           10
   -3.00000000  -1.0782e+01   3.9985e-01   1.0000e+00         8189        20480           10           10
   -2.00000000  -9.7815e+00   3.9355e-01   1.0000e+00         8060        20480           10           10
   -1.00000000  -8.7815e+00   3.8076e-01   1.0000e+00         7798        20480           10           10
    0.00000000  -7.7815e+00   3.7407e-01   1.0000e+00         7661        20480           10           10
    1.00000000  -6.7815e+00   3.5928e-01   1.0000e+00         7358        20480           10           10
    2.00000000  -5.7815e+00   3.4097e-01   1.0000e+00         6983        20480           10           10
    3.00000000  -4.7815e+00   3.2749e-01   1.0000e+00         6707        20480           10           10
    4.00000000  -3.7815e+00   3.1201e-01   1.0000e+00         6390        20480           10           10
    5.00000000  -2.7815e+00   2.8682e-01   1.0000e+00         5874        20480           10           10
    6.00000000  -1.7815e+00   2.7368e-01   1.0000e+00         5605        20480           10           10
    7.00000000  -7.8151e-01   2.5918e-01   1.0000e+00         5308        20480           10           10
    8.00000000   2.1849e-01   2.4229e-01   1.0000e+00         4962        20480           10           10
    9.00000000   1.2185e+00   2.2466e-01   1.0000e+00         4601        20480           10           10
   10.00000000   2.2185e+00   1.9751e-01   1.0000e+00         4045        20480           10           10
   11.00000000   3.2185e+00   1.8086e-01   1.0000e+00         3704        20480           10           10
   12.00000000   4.2185e+00   1.6343e-01   1.0000e+00         3347        20480           10           10
   13.00000000   5.2185e+00   1.3984e-01   1.0000e+00         2864        20480           10           10
   14.00000000   6.2185e+00   1.2461e-01   1.0000e+00         2552        20480           10           10
   15.00000000   7.2185e+00   1.0356e-01   1.0000e+00         2121        20480           10           10
   16.00000000   8.2185e+00   9.2871e-02   1.0000e+00         1902        20480           10           10
   17.00000000   9.2185e+00   7.5049e-02   1.0000e+00         1537        20480           10           10
   18.00000000   1.0218e+01   6.3965e-02   1.0000e+00         1310        20480           10           10
   19.00000000   1.1218e+01   5.4932e-02   1.0000e+00         1125        20480           10           10
   20.00000000   1.2218e+01   3.7695e-02   1.0000e+00          772        20480           10           10
   21.00000000   1.3218e+01   2.9883e-02   1.0000e+00          612        20480           10           10
   22.00000000   1.4218e+01   2.1826e-02   1.0000e+00          447        20480           10           10
   23.00000000   1.5218e+01   1.4795e-02   1.0000e+00          303        20480           10           10
   24.00000000   1.6218e+01   9.4993e-03   1.0000e+00          214        22528           11           11
   25.00000000   1.7218e+01   6.1466e-03   1.0000e+00          214        34816           17           17
   26.00000000   1.8218e+01   3.5924e-03   1.0000e+00          206        57344           28           28
   27.00000000   1.9218e+01   1.5734e-03   9.2063e-01          203       129024           58           63
   28.00000000   2.0218e+01   8.2760e-04   7.7119e-01          200       241664           91          118
   29.00000000   2.1218e+01   3.1817e-04   4.2258e-01          202       634880          131          310
   30.00000000   2.2218e+01   9.2206e-05   1.5442e-01          203      2201600          166         1075
