# data/ber-modem/ber_ask16.dat : auto-generated file
# invoked as: ./src/simulate_ber -m ask -p 4 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_ask16.dat 
#
#  modulation scheme   :   ask
#  modulation depth    :   4 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   4.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5021e+01   4.4810e-01   1.0000e+00         9177        20480           10           10
   -8.00000000  -1.4021e+01   4.4326e-01   1.0000e+00         9078        20480           10           10
   -7.00000000  -1.3021e+01   4.2822e-01   1.0000e+00         8770        20480           10           10
   -6.00000000  -1.2021e+01   4.2256e-01   1.0000e+00         8654        20480           10           10
   -5.00000000  -1.1021e+01   4.1938e-01   1.0000e+00         8589        20480           10           10
   -4.00000000  -1.0021e+01   4.1157e-01   1.0000e+00         8429        20480           10           10
   -3.00000000  -9.0206e+00   3.9106e-01   1.0000e+00         8009        20480           10           10
   -2.00000000  -8.0206e+00   3.7876e-01   1.0000e+00         7757        20480           10           10
   -1.00000000  -7.0206e+00   3.7061e-01   1.0000e+00         7590        20480           10           10
    0.00000000  -6.0206e+00   3.5786e-01   1.0000e+00         7329        20480           10           10
    1.00000000  -5.0206e+00   3.4331e-01   1.0000e+00         7031        20480           10           10
    2.00000000  -4.0206e+00   3.1963e-01   1.0000e+00         6546        20480           10           10
    3.00000000  -3.0206e+00   3.1079e-01   1.0000e+00         6365        20480           10           10
    4.00000000  -2.0206e+00   2.9219e-01   1.0000e+00         5984        20480           10           10
    5.00000000  -1.0206e+00   2.7300e-01   1.0000e+00         5591        20480           10           10
    6.00000000  -2.0600e-02   2.5679e-01   1.0000e+00         5259        20480           10           10
    7.00000000   9.7940e-01   2.3823e-01   1.0000e+00         4879        20480           10           10
    8.00000000   1.9794e+00   2.2012e-01   1.0000e+00         4508        20480           10           10
    9.00000000   2.9794e+00   2.0010e-01   1.0000e+00         4098        20480           10           10
   10.00000000   3.9794e+00   1.7783e-01   1.0000e+00         3642        20480           10           10
   11.00000000   4.9794e+00   1.5913e-01   1.0000e+00         3259        20480           10           10
   12.00000000   5.9794e+00   1.3970e-01   1.0000e+00         2861        20480           10           10
   13.00000000   6.9794e+00   1.2456e-01   1.0000e+00         2551        20480           10           10
   14.00000000   7.9794e+00   1.0513e-01   1.0000e+00         2153        20480           10           10
   15.00000000   8.9794e+00   9.4678e-02   1.0000e+00         1939        20480           10           10
   16.00000000   9.9794e+00   7.7539e-02   1.0000e+00         1588        20480           10           10
   17.00000000   1.0979e+01   6.5430e-02   1.0000e+00         1340        20480           10           10
   18.00000000   1.1979e+01   5.2539e-02   1.0000e+00         1076        20480           10           10
   19.00000000   1.2979e+01   3.9600e-02   1.0000e+00          811        20480           10           10
   20.00000000   1.3979e+01   2.8467e-02   1.0000e+00          583        20480           10           10
   21.00000000   1.4979e+01   1.6992e-02   1.0000e+00          348        20480           10           10
   22.00000000   1.5979e+01   1.2500e-02   1.0000e+00          256        20480           10           10
   23.00000000   1.6979e+01   6.8034e-03   1.0000e+00          209        30720           15           15
   24.00000000   1.7979e+01   3.6531e-03   1.0000e+00          202        55296           27           27
   25.00000000   1.8979e+01   1.6921e-03   9.6552e-01          201       118784           56           58
   26.00000000   1.9979e+01   5.6777e-04   6.8023e-01          200       352256          117          172
   27.00000000   2.0979e+01   1.2472e-04   2.2478e-01          200      1603584          176          783
   28.00000000   2.1979e+01   2.5801e-05   5.1519e-02          200      7751680          195         3785
