# data/ber-modem/ber_ask2.dat : auto-generated file
# invoked as: ./src/simulate_ber -m ask -p 1 -cnone -knone -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_ask2.dat 
#
#  modulation scheme   :   amplitude-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.1000e-01   1.0000e+00        25395        81920           40           40
   -8.00000000  -8.0000e+00   2.8733e-01   1.0000e+00        23538        81920           40           40
   -7.00000000  -7.0000e+00   2.6459e-01   1.0000e+00        21675        81920           40           40
   -6.00000000  -6.0000e+00   2.3867e-01   1.0000e+00        19552        81920           40           40
   -5.00000000  -5.0000e+00   2.1348e-01   1.0000e+00        17488        81920           40           40
   -4.00000000  -4.0000e+00   1.8896e-01   1.0000e+00        15480        81920           40           40
   -3.00000000  -3.0000e+00   1.5873e-01   1.0000e+00        13003        81920           40           40
   -2.00000000  -2.0000e+00   1.2784e-01   1.0000e+00        10473        81920           40           40
   -1.00000000  -1.0000e+00   1.0322e-01   1.0000e+00         8456        81920           40           40
    0.00000000   0.0000e+00   7.7966e-02   1.0000e+00         6387        81920           40           40
    1.00000000   1.0000e+00   5.6104e-02   1.0000e+00         4596        81920           40           40
    2.00000000   2.0000e+00   3.7732e-02   1.0000e+00         3091        81920           40           40
    3.00000000   3.0000e+00   2.3315e-02   1.0000e+00         1910        81920           40           40
    4.00000000   4.0000e+00   1.2390e-02   1.0000e+00         1015        81920           40           40
    5.00000000   5.0000e+00   6.2622e-03   1.0000e+00          513        81920           40           40
    6.00000000   6.0000e+00   2.4858e-03   9.8990e-01          504       202752           98           99
    7.00000000   7.0000e+00   7.8250e-04   8.0128e-01          500       638976          250          312
    8.00000000   8.0000e+00   1.8999e-04   3.2918e-01          500      2631680          423         1285
    9.00000000   9.0000e+00   3.1793e-05   6.3420e-02          500     15726592          487         7679
   10.00000000   1.0000e+01   4.0938e-06   8.5183e-03          500    122134528          508        59636
