# data/ber-modem/ber_bpsk.dat : auto-generated file
# invoked as: ./src/simulate_ber -m bpsk -p 1 -cnone -knone -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_bpsk.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.0854e-01   1.0000e+00        25276        81920           40           40
   -8.00000000  -8.0000e+00   2.8770e-01   1.0000e+00        23568        81920           40           40
   -7.00000000  -7.0000e+00   2.6498e-01   1.0000e+00        21707        81920           40           40
   -6.00000000  -6.0000e+00   2.3831e-01   1.0000e+00        19522        81920           40           40
   -5.00000000  -5.0000e+00   2.1292e-01   1.0000e+00        17442        81920           40           40
   -4.00000000  -4.0000e+00   1.8403e-01   1.0000e+00        15076        81920           40           40
   -3.00000000  -3.0000e+00   1.5715e-01   1.0000e+00        12874        81920           40           40
   -2.00000000  -2.0000e+00   1.3018e-01   1.0000e+00        10664        81920           40           40
   -1.00000000  -1.0000e+00   1.0419e-01   1.0000e+00         8535        81920           40           40
    0.00000000   0.0000e+00   7.6855e-02   1.0000e+00         6296        81920           40           40
    1.00000000   1.0000e+00   5.5176e-02   1.0000e+00         4520        81920           40           40
    2.00000000   2.0000e+00   3.8135e-02   1.0000e+00         3124        81920           40           40
    3.00000000   3.0000e+00   2.2681e-02   1.0000e+00         1858        81920           40           40
    4.00000000   4.0000e+00   1.3696e-02   1.0000e+00         1122        81920           40           40
    5.00000000   5.0000e+00   6.5308e-03   1.0000e+00          535        81920           40           40
    6.00000000   6.0000e+00   2.4759e-03   9.8990e-01          502       202752           98           99
    7.00000000   7.0000e+00   7.7505e-04   8.1905e-01          500       645120          258          315
    8.00000000   8.0000e+00   2.0707e-04   3.5623e-01          500      2414592          420         1179
    9.00000000   9.0000e+00   3.2431e-05   6.5090e-02          500     15417344          490         7528
   10.00000000   1.0000e+01   3.6971e-06   7.6172e-03          500    135239680          503        66035
