# data/ber-modem/ber_dpsk8.dat : auto-generated file
# invoked as: ./src/simulate_ber -m dpsk8 -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_dpsk8.dat 
#
#  modulation scheme   :   differential phase-shift keying
#  modulation depth    :   3 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   3.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.3771e+01   4.7593e-01   1.0000e+00       153028       321536          157          157
   -8.00000000  -1.2771e+01   4.6876e-01   1.0000e+00       150723       321536          157          157
   -7.00000000  -1.1771e+01   4.5965e-01   1.0000e+00       147793       321536          157          157
   -6.00000000  -1.0771e+01   4.4833e-01   1.0000e+00       144153       321536          157          157
   -5.00000000  -9.7712e+00   4.3894e-01   1.0000e+00       141135       321536          157          157
   -4.00000000  -8.7712e+00   4.2244e-01   1.0000e+00       135831       321536          157          157
   -3.00000000  -7.7712e+00   4.0735e-01   1.0000e+00       130978       321536          157          157
   -2.00000000  -6.7712e+00   3.8721e-01   1.0000e+00       124501       321536          157          157
   -1.00000000  -5.7712e+00   3.6193e-01   1.0000e+00       116374       321536          157          157
    0.00000000  -4.7712e+00   3.3877e-01   1.0000e+00       108928       321536          157          157
    1.00000000  -3.7712e+00   3.1083e-01   1.0000e+00        99943       321536          157          157
    2.00000000  -2.7712e+00   2.7879e-01   1.0000e+00        89640       321536          157          157
    3.00000000  -1.7712e+00   2.4980e-01   1.0000e+00        80320       321536          157          157
    4.00000000  -7.7121e-01   2.1842e-01   1.0000e+00        70230       321536          157          157
    5.00000000   2.2879e-01   1.9023e-01   1.0000e+00        61167       321536          157          157
    6.00000000   1.2288e+00   1.6278e-01   1.0000e+00        52340       321536          157          157
    7.00000000   2.2288e+00   1.3779e-01   1.0000e+00        44306       321536          157          157
    8.00000000   3.2288e+00   1.1543e-01   1.0000e+00        37114       321536          157          157
    9.00000000   4.2288e+00   9.4024e-02   1.0000e+00        30232       321536          157          157
   10.00000000   5.2288e+00   7.4088e-02   1.0000e+00        23822       321536          157          157
   11.00000000   6.2288e+00   5.7459e-02   1.0000e+00        18475       321536          157          157
   12.00000000   7.2288e+00   4.0851e-02   1.0000e+00        13135       321536          157          157
   13.00000000   8.2288e+00   2.7941e-02   1.0000e+00         8984       321536          157          157
   14.00000000   9.2288e+00   1.7398e-02   1.0000e+00         5594       321536          157          157
   15.00000000   1.0229e+01   9.3738e-03   1.0000e+00         3014       321536          157          157
   16.00000000   1.1229e+01   4.5811e-03   1.0000e+00         1473       321536          157          157
   17.00000000   1.2229e+01   1.8780e-03   9.7253e-01          700       372736          177          182
   18.00000000   1.3229e+01   6.5951e-04   6.8979e-01          701      1062912          358          519
   19.00000000   1.4229e+01   1.7448e-04   2.8892e-01          700      4012032          566         1959
   20.00000000   1.5229e+01   3.2824e-05   6.3862e-02          700     21325824          665        10413
   21.00000000   1.6229e+01   4.3287e-06   8.7766e-03          700    161710080          693        78960
