# data/ber-modem/ber_ook.dat : auto-generated file
# invoked as: ./src/simulate_ber -m ook -p 1 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_ook.dat 
#
#  modulation scheme   :   ook (on/off keying)
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.6082e-01   1.0000e+00       116017       321536          157          157
   -8.00000000  -8.0000e+00   3.4454e-01   1.0000e+00       110783       321536          157          157
   -7.00000000  -7.0000e+00   3.2837e-01   1.0000e+00       105583       321536          157          157
   -6.00000000  -6.0000e+00   3.0819e-01   1.0000e+00        99093       321536          157          157
   -5.00000000  -5.0000e+00   2.8697e-01   1.0000e+00        92272       321536          157          157
   -4.00000000  -4.0000e+00   2.6312e-01   1.0000e+00        84603       321536          157          157
   -3.00000000  -3.0000e+00   2.3996e-01   1.0000e+00        77157       321536          157          157
   -2.00000000  -2.0000e+00   2.1180e-01   1.0000e+00        68101       321536          157          157
   -1.00000000  -1.0000e+00   1.8684e-01   1.0000e+00        60077       321536          157          157
    0.00000000   0.0000e+00   1.5854e-01   1.0000e+00        50977       321536          157          157
    1.00000000   1.0000e+00   1.3110e-01   1.0000e+00        42152       321536          157          157
    2.00000000   2.0000e+00   1.0499e-01   1.0000e+00        33757       321536          157          157
    3.00000000   3.0000e+00   7.8243e-02   1.0000e+00        25158       321536          157          157
    4.00000000   4.0000e+00   5.6597e-02   1.0000e+00        18198       321536          157          157
    5.00000000   5.0000e+00   3.8036e-02   1.0000e+00        12230       321536          157          157
    6.00000000   6.0000e+00   2.2878e-02   1.0000e+00         7356       321536          157          157
    7.00000000   7.0000e+00   1.2459e-02   1.0000e+00         4006       321536          157          157
    8.00000000   8.0000e+00   5.9962e-03   1.0000e+00         1928       321536          157          157
    9.00000000   9.0000e+00   2.3979e-03   9.9363e-01          771       321536          156          157
   10.00000000   1.0000e+01   8.2560e-04   8.0435e-01          700       847872          333          414
   11.00000000   1.1000e+01   1.8297e-04   3.1745e-01          700      3825664          593         1868
   12.00000000   1.2000e+01   3.5869e-05   7.2306e-02          700     19515392          689         9529
   13.00000000   1.3000e+01   3.8268e-06   7.9268e-03          700    182921216          708        89317
