# data/ber-modem/ber_psk32.dat : auto-generated file
# invoked as: ./src/simulate_ber -m psk -p 5 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_psk32.dat 
#
#  modulation scheme   :   psk
#  modulation depth    :   5 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   5.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5990e+01   4.4077e-01   1.0000e+00         9027        20480           10           10
   -8.00000000  -1.4990e+01   4.4033e-01   1.0000e+00         9018        20480           10           10
   -7.00000000  -1.3990e+01   4.2871e-01   1.0000e+00         8780        20480           10           10
   -6.00000000  -1.2990e+01   4.2085e-01   1.0000e+00         8619        20480           10           10
   -5.00000000  -1.1990e+01   4.1353e-01   1.0000e+00         8469        20480           10           10
   -4.00000000  -1.0990e+01   3.9531e-01   1.0000e+00         8096        20480           10           10
   -3.00000000  -9.9897e+00   3.8242e-01   1.0000e+00         7832        20480           10           10
   -2.00000000  -8.9897e+00   3.7397e-01   1.0000e+00         7659        20480           10           10
   -1.00000000  -7.9897e+00   3.5815e-01   1.0000e+00         7335        20480           10           10
    0.00000000  -6.9897e+00   3.4746e-01   1.0000e+00         7116        20480           10           10
    1.00000000  -5.9897e+00   3.3130e-01   1.0000e+00         6785        20480           10           10
    2.00000000  -4.9897e+00   3.2168e-01   1.0000e+00         6588        20480           10           10
    3.00000000  -3.9897e+00   3.0234e-01   1.0000e+00         6192        20480           10           10
    4.00000000  -2.9897e+00   2.7900e-01   1.0000e+00         5714        20480           10           10
    5.00000000  -1.9897e+00   2.5898e-01   1.0000e+00         5304        20480           10           10
    6.00000000  -9.8970e-01   2.4390e-01   1.0000e+00         4995        20480           10           10
    7.00000000   1.0300e-02   2.2368e-01   1.0000e+00         4581        20480           10           10
    8.00000000   1.0103e+00   2.0762e-01   1.0000e+00         4252        20480           10           10
    9.00000000   2.0103e+00   1.9043e-01   1.0000e+00         3900        20480           10           10
   10.00000000   3.0103e+00   1.7368e-01   1.0000e+00         3557        20480           10           10
   11.00000000   4.0103e+00   1.5313e-01   1.0000e+00         3136        20480           10           10
   12.00000000   5.0103e+00   1.3833e-01   1.0000e+00         2833        20480           10           10
   13.00000000   6.0103e+00   1.2183e-01   1.0000e+00         2495        20480           10           10
   14.00000000   7.0103e+00   1.0347e-01   1.0000e+00         2119        20480           10           10
   15.00000000   8.0103e+00   9.2139e-02   1.0000e+00         1887        20480           10           10
   16.00000000   9.0103e+00   8.1250e-02   1.0000e+00         1664        20480           10           10
   17.00000000   1.0010e+01   6.3672e-02   1.0000e+00         1304        20480           10           10
   18.00000000   1.1010e+01   5.3223e-02   1.0000e+00         1090        20480           10           10
   19.00000000   1.2010e+01   4.3799e-02   1.0000e+00          897        20480           10           10
   20.00000000   1.3010e+01   3.2178e-02   1.0000e+00          659        20480           10           10
   21.00000000   1.4010e+01   2.2998e-02   1.0000e+00          471        20480           10           10
   22.00000000   1.5010e+01   1.7139e-02   1.0000e+00          351        20480           10           10
   23.00000000   1.6010e+01   9.6768e-03   1.0000e+00          218        22528           11           11
   24.00000000   1.7010e+01   6.1951e-03   1.0000e+00          203        32768           16           16
   25.00000000   1.8010e+01   2.5040e-03   1.0000e+00          200        79872           39           39
   26.00000000   1.9010e+01   9.4370e-04   8.7500e-01          201       212992           91          104
   27.00000000   2.0010e+01   4.1065e-04   5.4812e-01          201       489472          131          239
   28.00000000   2.1010e+01   9.4263e-05   1.8629e-01          200      2121728          193         1036
