# data/ber-modem/ber_qam32.dat : auto-generated file
# invoked as: ./src/simulate_ber -m qam32 -cnone -knone -b1e-5 -e 700 -n320000 -t640000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_qam32.dat 
#
#  modulation scheme   :   quadrature amplitude-shift keying
#  modulation depth    :   5 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   5.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   640000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.5990e+01   4.4909e-01   1.0000e+00       144400       321536          157          157
   -8.00000000  -1.4990e+01   4.4217e-01   1.0000e+00       142174       321536          157          157
   -7.00000000  -1.3990e+01   4.3483e-01   1.0000e+00       139814       321536          157          157
   -6.00000000  -1.2990e+01   4.2499e-01   1.0000e+00       136650       321536          157          157
   -5.00000000  -1.1990e+01   4.1412e-01   1.0000e+00       133155       321536          157          157
   -4.00000000  -1.0990e+01   4.0126e-01   1.0000e+00       129019       321536          157          157
   -3.00000000  -9.9897e+00   3.8974e-01   1.0000e+00       125315       321536          157          157
   -2.00000000  -8.9897e+00   3.7627e-01   1.0000e+00       120985       321536          157          157
   -1.00000000  -7.9897e+00   3.5952e-01   1.0000e+00       115599       321536          157          157
    0.00000000  -6.9897e+00   3.4379e-01   1.0000e+00       110541       321536          157          157
    1.00000000  -5.9897e+00   3.2276e-01   1.0000e+00       103780       321536          157          157
    2.00000000  -4.9897e+00   3.0333e-01   1.0000e+00        97532       321536          157          157
    3.00000000  -3.9897e+00   2.8238e-01   1.0000e+00        90794       321536          157          157
    4.00000000  -2.9897e+00   2.5826e-01   1.0000e+00        83039       321536          157          157
    5.00000000  -1.9897e+00   2.3583e-01   1.0000e+00        75829       321536          157          157
    6.00000000  -9.8970e-01   2.1158e-01   1.0000e+00        68031       321536          157          157
    7.00000000   1.0300e-02   1.8891e-01   1.0000e+00        60742       321536          157          157
    8.00000000   1.0103e+00   1.6720e-01   1.0000e+00        53761       321536          157          157
    9.00000000   2.0103e+00   1.4579e-01   1.0000e+00        46877       321536          157          157
   10.00000000   3.0103e+00   1.2556e-01   1.0000e+00        40371       321536          157          157
   11.00000000   4.0103e+00   1.0645e-01   1.0000e+00        34229       321536          157          157
   12.00000000   5.0103e+00   8.7810e-02   1.0000e+00        28234       321536          157          157
   13.00000000   6.0103e+00   6.9899e-02   1.0000e+00        22475       321536          157          157
   14.00000000   7.0103e+00   5.3384e-02   1.0000e+00        17165       321536          157          157
   15.00000000   8.0103e+00   3.8854e-02   1.0000e+00        12493       321536          157          157
   16.00000000   9.0103e+00   2.6243e-02   1.0000e+00         8438       321536          157          157
   17.00000000   1.0010e+01   1.6126e-02   1.0000e+00         5185       321536          157          157
   18.00000000   1.1010e+01   8.9477e-03   1.0000e+00         2877       321536          157          157
   19.00000000   1.2010e+01   4.4256e-03   1.0000e+00         1423       321536          157          157
   20.00000000   1.3010e+01   1.7563e-03   9.8469e-01          705       401408          193          196
   21.00000000   1.4010e+01   6.3062e-04   7.2694e-01          700      1110016          394          542
   22.00000000   1.5010e+01   1.5679e-04   2.7110e-01          700      4464640          591         2180
   23.00000000   1.6010e+01   2.9161e-05   5.8357e-02          700     24004608          684        11721
   24.00000000   1.7010e+01   3.3387e-06   6.8278e-03          700    209664000          699       102375
