# data/ber-modem/ber_qam64.dat : auto-generated file
# invoked as: ./src/simulate_ber -m qam -p 6 -cnone -knone -b1e-4 -e 200 -n20000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_qam64.dat 
#
#  modulation scheme   :   qam
#  modulation depth    :   6 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   6.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   20000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.6782e+01   4.6191e-01   1.0000e+00         9460        20480           10           10
   -8.00000000  -1.5782e+01   4.5112e-01   1.0000e+00         9239        20480           10           10
   -7.00000000  -1.4782e+01   4.4761e-01   1.0000e+00         9167        20480           10           10
   -6.00000000  -1.3782e+01   4.3091e-01   1.0000e+00         8825        20480           10           10
   -5.00000000  -1.2782e+01   4.2451e-01   1.0000e+00         8694        20480           10           10
   -4.00000000  -1.1782e+01   4.1528e-01   1.0000e+00         8505        20480           10           10
   -3.00000000  -1.0782e+01   4.0605e-01   1.0000e+00         8316        20480           10           10
   -2.00000000  -9.7815e+00   3.9067e-01   1.0000e+00         8001        20480           10           10
   -1.00000000  -8.7815e+00   3.7593e-01   1.0000e+00         7699        20480           10           10
    0.00000000  -7.7815e+00   3.5840e-01   1.0000e+00         7340        20480           10           10
    1.00000000  -6.7815e+00   3.4873e-01   1.0000e+00         7142        20480           10           10
    2.00000000  -5.7815e+00   3.2080e-01   1.0000e+00         6570        20480           10           10
    3.00000000  -4.7815e+00   3.0708e-01   1.0000e+00         6289        20480           10           10
    4.00000000  -3.7815e+00   2.8481e-01   1.0000e+00         5833        20480           10           10
    5.00000000  -2.7815e+00   2.6318e-01   1.0000e+00         5390        20480           10           10
    6.00000000  -1.7815e+00   2.3979e-01   1.0000e+00         4911        20480           10           10
    7.00000000  -7.8151e-01   2.1689e-01   1.0000e+00         4442        20480           10           10
    8.00000000   2.1849e-01   1.8970e-01   1.0000e+00         3885        20480           10           10
    9.00000000   1.2185e+00   1.6689e-01   1.0000e+00         3418        20480           10           10
   10.00000000   2.2185e+00   1.5322e-01   1.0000e+00         3138        20480           10           10
   11.00000000   3.2185e+00   1.3398e-01   1.0000e+00         2744        20480           10           10
   12.00000000   4.2185e+00   1.1152e-01   1.0000e+00         2284        20480           10           10
   13.00000000   5.2185e+00   9.8486e-02   1.0000e+00         2017        20480           10           10
   14.00000000   6.2185e+00   7.9395e-02   1.0000e+00         1626        20480           10           10
   15.00000000   7.2185e+00   6.5918e-02   1.0000e+00         1350        20480           10           10
   16.00000000   8.2185e+00   4.8096e-02   1.0000e+00          985        20480           10           10
   17.00000000   9.2185e+00   3.6426e-02   1.0000e+00          746        20480           10           10
   18.00000000   1.0218e+01   2.3486e-02   1.0000e+00          481        20480           10           10
   19.00000000   1.1218e+01   1.5771e-02   1.0000e+00          323        20480           10           10
   20.00000000   1.2218e+01   7.5871e-03   1.0000e+00          202        26624           13           13
   21.00000000   1.3218e+01   3.7073e-03   1.0000e+00          205        55296           27           27
   22.00000000   1.4218e+01   1.9629e-03   9.8000e-01          201       102400           49           50
   23.00000000   1.5218e+01   5.6777e-04   6.9186e-01          200       352256          119          172
   24.00000000   1.6218e+01   1.5550e-04   2.7866e-01          200      1286144          175          628
   25.00000000   1.7218e+01   2.9090e-05   5.7790e-02          200      6875136          194         3357
