# data/ber-modem/ber_qpsk.dat : auto-generated file
# invoked as: ./src/simulate_ber -m qpsk -p 2 -cnone -knone -b1e-5 -e 700 -n320000 -t480000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_qpsk.dat 
#
#  modulation scheme   :   quaternary phase-shift keying
#  modulation depth    :   2 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   2.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   700
#  min packet trials   :   0
#  min bit trials      :   320000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   480000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.2010e+01   3.6156e-01   1.0000e+00       116253       321536          157          157
   -8.00000000  -1.1010e+01   3.4535e-01   1.0000e+00       111044       321536          157          157
   -7.00000000  -1.0010e+01   3.2729e-01   1.0000e+00       105235       321536          157          157
   -6.00000000  -9.0103e+00   3.0753e-01   1.0000e+00        98883       321536          157          157
   -5.00000000  -8.0103e+00   2.8743e-01   1.0000e+00        92419       321536          157          157
   -4.00000000  -7.0103e+00   2.6485e-01   1.0000e+00        85158       321536          157          157
   -3.00000000  -6.0103e+00   2.3927e-01   1.0000e+00        76935       321536          157          157
   -2.00000000  -5.0103e+00   2.1283e-01   1.0000e+00        68434       321536          157          157
   -1.00000000  -4.0103e+00   1.8748e-01   1.0000e+00        60283       321536          157          157
    0.00000000  -3.0103e+00   1.5884e-01   1.0000e+00        51073       321536          157          157
    1.00000000  -2.0103e+00   1.3120e-01   1.0000e+00        42187       321536          157          157
    2.00000000  -1.0103e+00   1.0387e-01   1.0000e+00        33397       321536          157          157
    3.00000000  -1.0300e-02   7.8632e-02   1.0000e+00        25283       321536          157          157
    4.00000000   9.8970e-01   5.7378e-02   1.0000e+00        18449       321536          157          157
    5.00000000   1.9897e+00   3.7231e-02   1.0000e+00        11971       321536          157          157
    6.00000000   2.9897e+00   2.2924e-02   1.0000e+00         7371       321536          157          157
    7.00000000   3.9897e+00   1.2739e-02   1.0000e+00         4096       321536          157          157
    8.00000000   4.9897e+00   6.0211e-03   1.0000e+00         1936       321536          157          157
    9.00000000   5.9897e+00   2.5192e-03   1.0000e+00          810       321536          157          157
   10.00000000   6.9897e+00   7.7948e-04   8.2313e-01          704       903168          363          441
   11.00000000   7.9897e+00   2.0956e-04   3.4641e-01          700      3340288          565         1631
   12.00000000   8.9897e+00   3.4310e-05   6.8962e-02          700     20402176          687         9962
   13.00000000   9.9897e+00   3.9966e-06   8.2553e-03          700    175147008          706        85521
