# data/ber-modem/ber_sqam128.dat : auto-generated file
# invoked as: ./src/simulate_ber -m sqam128 -p7 -cnone -knone -b1e-5 -e 500 -n160000 -t200000000 -s-9 -d1.0 -x60 -o data/ber-modem/ber_sqam128.dat 
#
#  modulation scheme   :   'square' 128-QAM
#  modulation depth    :   7 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   7.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   160000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -1.7451e+01   4.6466e-01   1.0000e+00        75179       161792           79           79
   -8.00000000  -1.6451e+01   4.6025e-01   1.0000e+00        74464       161792           79           79
   -7.00000000  -1.5451e+01   4.5503e-01   1.0000e+00        73621       161792           79           79
   -6.00000000  -1.4451e+01   4.5204e-01   1.0000e+00        73136       161792           79           79
   -5.00000000  -1.3451e+01   4.4574e-01   1.0000e+00        72117       161792           79           79
   -4.00000000  -1.2451e+01   4.3707e-01   1.0000e+00        70715       161792           79           79
   -3.00000000  -1.1451e+01   4.2961e-01   1.0000e+00        69508       161792           79           79
   -2.00000000  -1.0451e+01   4.1926e-01   1.0000e+00        67833       161792           79           79
   -1.00000000  -9.4510e+00   4.1098e-01   1.0000e+00        66494       161792           79           79
    0.00000000  -8.4510e+00   4.0030e-01   1.0000e+00        64765       161792           79           79
    1.00000000  -7.4510e+00   3.8703e-01   1.0000e+00        62618       161792           79           79
    2.00000000  -6.4510e+00   3.7594e-01   1.0000e+00        60824       161792           79           79
    3.00000000  -5.4510e+00   3.6145e-01   1.0000e+00        58480       161792           79           79
    4.00000000  -4.4510e+00   3.4903e-01   1.0000e+00        56470       161792           79           79
    5.00000000  -3.4510e+00   3.3256e-01   1.0000e+00        53805       161792           79           79
    6.00000000  -2.4510e+00   3.1747e-01   1.0000e+00        51364       161792           79           79
    7.00000000  -1.4510e+00   2.9876e-01   1.0000e+00        48337       161792           79           79
    8.00000000  -4.5098e-01   2.7822e-01   1.0000e+00        45013       161792           79           79
    9.00000000   5.4902e-01   2.5669e-01   1.0000e+00        41530       161792           79           79
   10.00000000   1.5490e+00   2.3583e-01   1.0000e+00        38155       161792           79           79
   11.00000000   2.5490e+00   2.1334e-01   1.0000e+00        34517       161792           79           79
   12.00000000   3.5490e+00   1.8963e-01   1.0000e+00        30680       161792           79           79
   13.00000000   4.5490e+00   1.6940e-01   1.0000e+00        27407       161792           79           79
   14.00000000   5.5490e+00   1.4724e-01   1.0000e+00        23822       161792           79           79
   15.00000000   6.5490e+00   1.2620e-01   1.0000e+00        20418       161792           79           79
   16.00000000   7.5490e+00   1.0772e-01   1.0000e+00        17429       161792           79           79
   17.00000000   8.5490e+00   9.0283e-02   1.0000e+00        14607       161792           79           79
   18.00000000   9.5490e+00   7.2896e-02   1.0000e+00        11794       161792           79           79
   19.00000000   1.0549e+01   5.4879e-02   1.0000e+00         8879       161792           79           79
   20.00000000   1.1549e+01   4.0379e-02   1.0000e+00         6533       161792           79           79
   21.00000000   1.2549e+01   2.6621e-02   1.0000e+00         4307       161792           79           79
   22.00000000   1.3549e+01   1.6490e-02   1.0000e+00         2668       161792           79           79
   23.00000000   1.4549e+01   8.9127e-03   1.0000e+00         1442       161792           79           79
   24.00000000   1.5549e+01   4.6479e-03   1.0000e+00          752       161792           79           79
   25.00000000   1.6549e+01   1.8496e-03   9.7727e-01          500       270336          129          132
   26.00000000   1.7549e+01   6.6475e-04   6.7391e-01          501       753664          248          368
   27.00000000   1.8549e+01   1.5525e-04   2.1745e-01          503      3239936          344         1582
   28.00000000   1.9549e+01   3.1048e-05   4.7849e-02          501     16136192          377         7879
   29.00000000   2.0549e+01   3.6476e-06   5.9165e-03          500    137074688          396        66931
