# data/ber-modem/modem_snr_req.dat : auto-generated file (do not edit)
# invoked as : ./src/estimate_snr_modem -odata/ber-modem/modem_snr_req.dat -B -e1e-5 -n1024 -x8000000
#
# options:
#  min. packet errors  :   0
#  min. bit errors     :   50
#  min. packet trials  :   0
#  min. bit trials     :   5000
#  max. packet trials  :   18446744073709551615
#  max. bit trials     :   8000000
#  estimate on BER|PER :   BER
#  estimate SNR|Eb/N0  :   SNR
#  target error rate   :   1.0000e-05  
#  frame length        :   1024 bytes
#  fec (inner)         :   none
#  fec (outer)         :   none
#
# modem          id  b/s   rate [b/s]     SNR [dB]   Eb/N0 [dB]
 "psk2"           1    1     1.000000     9.589730     9.589730
 "psk4"           1    2     2.000000    12.575193     9.564894
 "psk8"           1    3     3.000000    17.840933    13.069720
 "psk16"          1    4     4.000000    23.430035    17.409435
 "psk32"          1    5     5.000000    29.373543    22.383842
 "psk64"          1    6     6.000000    35.319874    27.538361
 "psk128"         1    7     7.000000    41.205921    32.754940
 "psk256"         1    8     8.000000    47.140789    38.109890
 "dpsk2"          2    1     1.000000    10.459703    10.459703
 "dpsk4"          2    2     2.000000    14.928496    11.918196
 "dpsk8"          2    3     3.000000    20.622454    15.851241
 "dpsk16"         2    4     4.000000    26.426483    20.405884
 "dpsk32"         2    5     5.000000    32.376060    25.386360
 "dpsk64"         2    6     6.000000    38.281898    30.500385
 "dpsk128"        2    7     7.000000    44.091988    35.641006
 "dpsk256"        2    8     8.000000    49.777161    40.746262
 "ask2"           3    1     1.000000     9.591938     9.591938
 "ask4"           3    2     2.000000    16.588274    13.577974
 "ask8"           3    3     3.000000    22.608335    17.837124
 "ask16"          3    4     4.000000    28.538731    22.518131
 "ask32"          3    5     5.000000    34.552235    27.562534
 "ask64"          3    6     6.000000    40.438705    32.657192
 "ask128"         3    7     7.000000    46.352283    37.901302
 "ask256"         3    8     8.000000    49.808422    40.777523
 "qam4"           4    2     2.000000    12.592233     9.581932
 "qam8"           4    3     3.000000    17.280670    12.509458
 "qam16"          4    4     4.000000    19.566589    13.545989
 "qam32"          4    5     5.000000    23.585354    16.595654
 "qam64"          4    6     6.000000    25.495754    17.714241
 "qam128"         4    7     7.000000    29.602156    21.151176
 "qam256"         4    8     8.000000    31.560200    22.529301
 "apsk4"          5    2     2.000000    14.761660    11.751360
 "apsk8"          5    3     3.000000    16.123920    11.352708
 "apsk16"         5    4     4.000000    19.917870    13.897269
 "apsk32"         5    5     5.000000    23.434498    16.444798
 "apsk64"         5    6     6.000000    27.057384    19.275871
 "apsk128"        5    7     7.000000    30.552076    22.101097
 "apsk256"        5    8     8.000000    33.095863    24.064964
 "bpsk"           7    1     1.000000     9.607804     9.607804
 "qpsk"           8    2     2.000000    12.572586     9.562286
 "ook"            9    1     1.000000    12.613796    12.613796
 "sqam32"        10    5     5.000000    22.563370    15.573669
 "sqam128"       11    7     7.000000    28.423243    19.972263
 "V29"           12    4     4.000000    20.475031    14.454431
 "arb16opt"      13    4     4.000000    19.150251    13.129651
 "arb32opt"      14    5     5.000000    22.105831    15.116131
 "arb64vt"       15    6     6.000000    31.669991    23.888477
