# data/ber/ber_h74.dat : auto-generated file
# invoked as: ./src/simulate_ber -c h74 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_h74.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(7,4)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.57142860   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -6.5696e+00   3.3330e-01   1.0000e+00        26963        80896           79           79
   -8.50000000  -6.0696e+00   3.1723e-01   1.0000e+00        25663        80896           79           79
   -8.00000000  -5.5696e+00   3.0662e-01   1.0000e+00        24804        80896           79           79
   -7.50000000  -5.0696e+00   2.9282e-01   1.0000e+00        23688        80896           79           79
   -7.00000000  -4.5696e+00   2.7684e-01   1.0000e+00        22395        80896           79           79
   -6.50000000  -4.0696e+00   2.5917e-01   1.0000e+00        20966        80896           79           79
   -6.00000000  -3.5696e+00   2.4817e-01   1.0000e+00        20076        80896           79           79
   -5.50000000  -3.0696e+00   2.3043e-01   1.0000e+00        18641        80896           79           79
   -5.00000000  -2.5696e+00   2.1437e-01   1.0000e+00        17342        80896           79           79
   -4.50000000  -2.0696e+00   1.9474e-01   1.0000e+00        15754        80896           79           79
   -4.00000000  -1.5696e+00   1.7668e-01   1.0000e+00        14293        80896           79           79
   -3.50000000  -1.0696e+00   1.5917e-01   1.0000e+00        12876        80896           79           79
   -3.00000000  -5.6962e-01   1.4064e-01   1.0000e+00        11377        80896           79           79
   -2.50000000  -6.9620e-02   1.1960e-01   1.0000e+00         9675        80896           79           79
   -2.00000000   4.3038e-01   1.0444e-01   1.0000e+00         8449        80896           79           79
   -1.50000000   9.3038e-01   8.5591e-02   1.0000e+00         6924        80896           79           79
   -1.00000000   1.4304e+00   7.2661e-02   1.0000e+00         5878        80896           79           79
   -0.50000000   1.9304e+00   5.6245e-02   1.0000e+00         4550        80896           79           79
    0.00000000   2.4304e+00   4.3105e-02   1.0000e+00         3487        80896           79           79
    0.50000000   2.9304e+00   3.3450e-02   1.0000e+00         2706        80896           79           79
    1.00000000   3.4304e+00   2.3969e-02   1.0000e+00         1939        80896           79           79
    1.50000000   3.9304e+00   1.6330e-02   1.0000e+00         1321        80896           79           79
    2.00000000   4.4304e+00   1.1719e-02   1.0000e+00          948        80896           79           79
    2.50000000   4.9304e+00   7.7878e-03   1.0000e+00          630        80896           79           79
    3.00000000   5.4304e+00   4.5302e-03   9.0741e-01          501       110592           98          108
    3.50000000   5.9304e+00   2.3935e-03   7.7451e-01          500       208896          158          204
    4.00000000   6.4304e+00   1.4100e-03   5.5908e-01          501       355328          194          347
    4.50000000   6.9304e+00   6.5846e-04   3.3244e-01          503       763904          248          746
    5.00000000   7.4304e+00   3.3081e-04   1.9106e-01          500      1511424          282         1476
    5.50000000   7.9304e+00   1.4352e-04   8.1842e-02          501      3490816          279         3409
    6.00000000   8.4304e+00   4.7937e-05   2.9256e-02          500     10430464          298        10186
    6.50000000   8.9304e+00   1.5474e-05   9.5828e-03          501     32377856          303        31619
    7.00000000   9.4304e+00   5.4412e-06   3.3320e-03          500     91890688          299        89737
