# data/ber/ber_h84.dat : auto-generated file
# invoked as: ./src/simulate_ber -c h84 -b1e-4 -e 100 -n50000 -t20000000 -d0.5 -o data/ber/ber_h84.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(8,4)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   100
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   20000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -5.00000000  -1.9897e+00   2.1337e-01   1.0000e+00        10706        50176           49           49
   -4.50000000  -1.4897e+00   1.9665e-01   1.0000e+00         9867        50176           49           49
   -4.00000000  -9.8970e-01   1.8210e-01   1.0000e+00         9137        50176           49           49
   -3.50000000  -4.8970e-01   1.6145e-01   1.0000e+00         8101        50176           49           49
   -3.00000000   1.0300e-02   1.3925e-01   1.0000e+00         6987        50176           49           49
   -2.50000000   5.1030e-01   1.2281e-01   1.0000e+00         6162        50176           49           49
   -2.00000000   1.0103e+00   1.0405e-01   1.0000e+00         5221        50176           49           49
   -1.50000000   1.5103e+00   8.5898e-02   1.0000e+00         4310        50176           49           49
   -1.00000000   2.0103e+00   7.0671e-02   1.0000e+00         3546        50176           49           49
   -0.50000000   2.5103e+00   5.4169e-02   1.0000e+00         2718        50176           49           49
    0.00000000   3.0103e+00   4.6397e-02   1.0000e+00         2328        50176           49           49
    0.50000000   3.5103e+00   3.5714e-02   1.0000e+00         1792        50176           49           49
    1.00000000   4.0103e+00   2.4434e-02   1.0000e+00         1226        50176           49           49
    1.50000000   4.5103e+00   1.6861e-02   1.0000e+00          846        50176           49           49
    2.00000000   5.0103e+00   1.0045e-02   1.0000e+00          504        50176           49           49
    2.50000000   5.5103e+00   7.2545e-03   9.7959e-01          364        50176           48           49
    3.00000000   6.0103e+00   4.3846e-03   9.3878e-01          220        50176           46           49
    3.50000000   6.5103e+00   2.4713e-03   8.9796e-01          124        50176           44           49
    4.00000000   7.0103e+00   1.3151e-03   6.2667e-01          101        76800           47           75
    4.50000000   7.5103e+00   6.8226e-04   3.9726e-01          102       149504           58          146
    5.00000000   8.0103e+00   3.7705e-04   2.1236e-01          100       265216           55          259
    5.50000000   8.5103e+00   1.2770e-04   6.7949e-02          102       798720           53          780
    6.00000000   9.0103e+00   4.0707e-05   2.7511e-02          100      2456576           66         2399
