# data/ber/ber_none.dat : auto-generated file
# invoked as: ./src/simulate_ber -c none -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_none.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.1005e-01   1.0000e+00        25082        80896           79           79
   -8.50000000  -8.5000e+00   2.9835e-01   1.0000e+00        24135        80896           79           79
   -8.00000000  -8.0000e+00   2.8743e-01   1.0000e+00        23252        80896           79           79
   -7.50000000  -7.5000e+00   2.7279e-01   1.0000e+00        22068        80896           79           79
   -7.00000000  -7.0000e+00   2.6438e-01   1.0000e+00        21387        80896           79           79
   -6.50000000  -6.5000e+00   2.5041e-01   1.0000e+00        20257        80896           79           79
   -6.00000000  -6.0000e+00   2.3637e-01   1.0000e+00        19121        80896           79           79
   -5.50000000  -5.5000e+00   2.2886e-01   1.0000e+00        18514        80896           79           79
   -5.00000000  -5.0000e+00   2.1476e-01   1.0000e+00        17373        80896           79           79
   -4.50000000  -4.5000e+00   1.9882e-01   1.0000e+00        16084        80896           79           79
   -4.00000000  -4.0000e+00   1.8813e-01   1.0000e+00        15219        80896           79           79
   -3.50000000  -3.5000e+00   1.7323e-01   1.0000e+00        14014        80896           79           79
   -3.00000000  -3.0000e+00   1.5901e-01   1.0000e+00        12863        80896           79           79
   -2.50000000  -2.5000e+00   1.4535e-01   1.0000e+00        11758        80896           79           79
   -2.00000000  -2.0000e+00   1.2799e-01   1.0000e+00        10354        80896           79           79
   -1.50000000  -1.5000e+00   1.1700e-01   1.0000e+00         9465        80896           79           79
   -1.00000000  -1.0000e+00   1.0412e-01   1.0000e+00         8423        80896           79           79
   -0.50000000  -5.0000e-01   9.0079e-02   1.0000e+00         7287        80896           79           79
    0.00000000   0.0000e+00   7.8001e-02   1.0000e+00         6310        80896           79           79
    0.50000000   5.0000e-01   6.6369e-02   1.0000e+00         5369        80896           79           79
    1.00000000   1.0000e+00   5.6740e-02   1.0000e+00         4590        80896           79           79
    1.50000000   1.5000e+00   4.7369e-02   1.0000e+00         3832        80896           79           79
    2.00000000   2.0000e+00   3.7332e-02   1.0000e+00         3020        80896           79           79
    2.50000000   2.5000e+00   2.9272e-02   1.0000e+00         2368        80896           79           79
    3.00000000   3.0000e+00   2.2943e-02   1.0000e+00         1856        80896           79           79
    3.50000000   3.5000e+00   1.7479e-02   1.0000e+00         1414        80896           79           79
    4.00000000   4.0000e+00   1.2250e-02   1.0000e+00          991        80896           79           79
    4.50000000   4.5000e+00   8.1586e-03   1.0000e+00          660        80896           79           79
    5.00000000   5.0000e+00   6.0402e-03   1.0000e+00          501        82944           81           81
    5.50000000   5.5000e+00   4.1032e-03   9.7479e-01          500       121856          116          119
    6.00000000   6.0000e+00   2.5750e-03   9.0526e-01          501       194560          172          190
    6.50000000   6.5000e+00   1.4432e-03   7.6696e-01          501       347136          260          339
    7.00000000   7.0000e+00   7.7752e-04   5.7484e-01          500       643072          361          628
    7.50000000   7.5000e+00   4.5762e-04   3.7957e-01          500      1092608          405         1067
    8.00000000   8.0000e+00   1.9673e-04   1.9057e-01          500      2541568          473         2482
    8.50000000   8.5000e+00   8.4013e-05   8.5169e-02          500      5951488          495         5812
    9.00000000   9.0000e+00   3.3478e-05   3.4967e-02          500     14935040          510        14585
    9.50000000   9.5000e+00   1.2709e-05   1.3248e-02          500     39343104          509        38421
   10.00000000   1.0000e+01   3.7865e-06   4.0092e-03          500    132047872          517       128953
