# data/ber/ber_r3.dat : auto-generated file
# invoked as: ./src/simulate_ber -c r3 -b1e-4 -e 100 -n50000 -t20000000 -d0.5 -o data/ber/ber_r3.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(3)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   100
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   20000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -5.00000000  -2.2879e-01   1.1846e-01   1.0000e+00         5944        50176           49           49
   -4.50000000   2.7121e-01   1.0128e-01   1.0000e+00         5082        50176           49           49
   -4.00000000   7.7121e-01   9.0800e-02   1.0000e+00         4556        50176           49           49
   -3.50000000   1.2712e+00   7.9540e-02   1.0000e+00         3991        50176           49           49
   -3.00000000   1.7712e+00   6.6944e-02   1.0000e+00         3359        50176           49           49
   -2.50000000   2.2712e+00   5.5724e-02   1.0000e+00         2796        50176           49           49
   -2.00000000   2.7712e+00   4.7094e-02   1.0000e+00         2363        50176           49           49
   -1.50000000   3.2712e+00   3.8963e-02   1.0000e+00         1955        50176           49           49
   -1.00000000   3.7712e+00   2.9177e-02   1.0000e+00         1464        50176           49           49
   -0.50000000   4.2712e+00   2.2899e-02   1.0000e+00         1149        50176           49           49
    0.00000000   4.7712e+00   1.8575e-02   1.0000e+00          932        50176           49           49
    0.50000000   5.2712e+00   1.2476e-02   1.0000e+00          626        50176           49           49
    1.00000000   5.7712e+00   9.1677e-03   1.0000e+00          460        50176           49           49
    1.50000000   6.2712e+00   6.0786e-03   1.0000e+00          305        50176           49           49
    2.00000000   6.7712e+00   3.9262e-03   1.0000e+00          197        50176           49           49
    2.50000000   7.2712e+00   2.1923e-03   8.7755e-01          110        50176           43           49
    3.00000000   7.7712e+00   1.6717e-03   8.1356e-01          101        60416           48           59
    3.50000000   8.2712e+00   8.1380e-04   5.5833e-01          100       122880           67          120
    4.00000000   8.7712e+00   5.7445e-04   4.1765e-01          100       174080           71          170
    4.50000000   9.2712e+00   2.1276e-04   1.9608e-01          100       470016           90          459
    5.00000000   9.7712e+00   1.0226e-04   1.0366e-01          100       977920           99          955
    5.50000000   1.0271e+01   4.4128e-05   4.5188e-02          100      2266112          100         2213
