# data/ber/ber_v27.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v27 -b1e-4 -e 100 -n50000 -t20000000 -d0.5 -o data/ber/ber_v27.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/2 K=7
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   100
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   20000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -5.00000000  -1.9897e+00   4.7525e-01   1.0000e+00        23846        50176           49           49
   -4.50000000  -1.4897e+00   4.5849e-01   1.0000e+00        23005        50176           49           49
   -4.00000000  -9.8970e-01   4.3477e-01   1.0000e+00        21815        50176           49           49
   -3.50000000  -4.8970e-01   4.1410e-01   1.0000e+00        20778        50176           49           49
   -3.00000000   1.0300e-02   3.7669e-01   1.0000e+00        18901        50176           49           49
   -2.50000000   5.1030e-01   3.3006e-01   1.0000e+00        16561        50176           49           49
   -2.00000000   1.0103e+00   2.4813e-01   1.0000e+00        12450        50176           49           49
   -1.50000000   1.5103e+00   1.6159e-01   1.0000e+00         8108        50176           49           49
   -1.00000000   2.0103e+00   1.1099e-01   1.0000e+00         5569        50176           49           49
   -0.50000000   2.5103e+00   6.2042e-02   1.0000e+00         3113        50176           49           49
    0.00000000   3.0103e+00   2.4374e-02   1.0000e+00         1223        50176           49           49
    0.50000000   3.5103e+00   1.2217e-02   8.5714e-01          613        50176           42           49
    1.00000000   4.0103e+00   6.8160e-03   6.5306e-01          342        50176           32           49
    1.50000000   4.5103e+00   1.2001e-03   2.2892e-01          102        84992           19           83
    2.00000000   5.0103e+00   4.8588e-04   1.1823e-01          101       207872           24          203
    2.50000000   5.5103e+00   1.6574e-04   3.4942e-02          102       615424           21          601
    3.00000000   6.0103e+00   3.2900e-05   7.6718e-03          101      3069952           23         2998
