# data/ber/ber_v27p45.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v27p45 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_v27p45.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r4/5 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.80000001   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.0309e+00   5.0289e-01   1.0000e+00        40682        80896           79           79
   -8.50000000  -7.5309e+00   5.0215e-01   1.0000e+00        40622        80896           79           79
   -8.00000000  -7.0309e+00   5.0188e-01   1.0000e+00        40600        80896           79           79
   -7.50000000  -6.5309e+00   4.9849e-01   1.0000e+00        40326        80896           79           79
   -7.00000000  -6.0309e+00   5.0016e-01   1.0000e+00        40461        80896           79           79
   -6.50000000  -5.5309e+00   4.9522e-01   1.0000e+00        40061        80896           79           79
   -6.00000000  -5.0309e+00   5.0446e-01   1.0000e+00        40809        80896           79           79
   -5.50000000  -4.5309e+00   4.9603e-01   1.0000e+00        40127        80896           79           79
   -5.00000000  -4.0309e+00   4.9659e-01   1.0000e+00        40172        80896           79           79
   -4.50000000  -3.5309e+00   4.9459e-01   1.0000e+00        40010        80896           79           79
   -4.00000000  -3.0309e+00   4.9807e-01   1.0000e+00        40292        80896           79           79
   -3.50000000  -2.5309e+00   4.9773e-01   1.0000e+00        40264        80896           79           79
   -3.00000000  -2.0309e+00   4.9367e-01   1.0000e+00        39936        80896           79           79
   -2.50000000  -1.5309e+00   4.9210e-01   1.0000e+00        39809        80896           79           79
   -2.00000000  -1.0309e+00   4.8156e-01   1.0000e+00        38956        80896           79           79
   -1.50000000  -5.3090e-01   4.8237e-01   1.0000e+00        39022        80896           79           79
   -1.00000000  -3.0900e-02   4.7452e-01   1.0000e+00        38387        80896           79           79
   -0.50000000   4.6910e-01   4.5261e-01   1.0000e+00        36614        80896           79           79
    0.00000000   9.6910e-01   4.2207e-01   1.0000e+00        34144        80896           79           79
    0.50000000   1.4691e+00   3.8472e-01   1.0000e+00        31122        80896           79           79
    1.00000000   1.9691e+00   3.2855e-01   1.0000e+00        26578        80896           79           79
    1.50000000   2.4691e+00   2.4905e-01   1.0000e+00        20147        80896           79           79
    2.00000000   2.9691e+00   1.7115e-01   1.0000e+00        13845        80896           79           79
    2.50000000   3.4691e+00   1.1235e-01   9.8734e-01         9089        80896           78           79
    3.00000000   3.9691e+00   4.9656e-02   9.4937e-01         4017        80896           75           79
    3.50000000   4.4691e+00   2.6503e-02   8.3544e-01         2144        80896           66           79
    4.00000000   4.9691e+00   7.2439e-03   4.1772e-01          586        80896           33           79
    4.50000000   5.4691e+00   2.5691e-03   2.8205e-01          513       199680           55          195
    5.00000000   5.9691e+00   8.9003e-04   1.2658e-01          504       566272           70          553
    5.50000000   6.4691e+00   3.3012e-04   5.1178e-02          502      1520640           76         1485
    6.00000000   6.9691e+00   1.3594e-04   1.6982e-02          500      3678208           61         3592
    6.50000000   7.4691e+00   3.2125e-05   6.0460e-03          506     15751168           93        15382
    7.00000000   7.9691e+00   6.3721e-06   1.4094e-03          500     78467072          108        76628
