# data/ber/ber_v27p56.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v27p56 -b1e-4 -e 100 -n50000 -t20000000 -d0.5 -o data/ber/ber_v27p56.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r5/6 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.83333331   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   100
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   20000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -5.00000000  -4.2082e+00   4.9992e-01   1.0000e+00        25084        50176           49           49
   -4.50000000  -3.7082e+00   4.9974e-01   1.0000e+00        25075        50176           49           49
   -4.00000000  -3.2082e+00   4.9595e-01   1.0000e+00        24885        50176           49           49
   -3.50000000  -2.7082e+00   4.9171e-01   1.0000e+00        24672        50176           49           49
   -3.00000000  -2.2082e+00   4.9372e-01   1.0000e+00        24773        50176           49           49
   -2.50000000  -1.7082e+00   4.9338e-01   1.0000e+00        24756        50176           49           49
   -2.00000000  -1.2082e+00   4.8876e-01   1.0000e+00        24524        50176           49           49
   -1.50000000  -7.0819e-01   4.7985e-01   1.0000e+00        24077        50176           49           49
   -1.00000000  -2.0819e-01   4.6963e-01   1.0000e+00        23564        50176           49           49
   -0.50000000   2.9181e-01   4.5163e-01   1.0000e+00        22661        50176           49           49
    0.00000000   7.9181e-01   4.4589e-01   1.0000e+00        22373        50176           49           49
    0.50000000   1.2918e+00   4.0854e-01   1.0000e+00        20499        50176           49           49
    1.00000000   1.7918e+00   3.7273e-01   1.0000e+00        18702        50176           49           49
    1.50000000   2.2918e+00   3.0375e-01   1.0000e+00        15241        50176           49           49
    2.00000000   2.7918e+00   2.4081e-01   1.0000e+00        12083        50176           49           49
    2.50000000   3.2918e+00   1.4732e-01   1.0000e+00         7392        50176           49           49
    3.00000000   3.7918e+00   8.4403e-02   1.0000e+00         4235        50176           49           49
    3.50000000   4.2918e+00   4.6995e-02   9.7959e-01         2358        50176           48           49
    4.00000000   4.7918e+00   1.7180e-02   6.7347e-01          862        50176           33           49
    4.50000000   5.2918e+00   7.9520e-03   5.9184e-01          399        50176           29           49
    5.00000000   5.7918e+00   5.3811e-03   3.4694e-01          270        50176           17           49
    5.50000000   6.2918e+00   8.1905e-04   1.2903e-01          104       126976           16          124
    6.00000000   6.7918e+00   5.5804e-04   5.6122e-02          112       200704           11          196
    6.50000000   7.2918e+00   1.4153e-04   1.5942e-02          100       706560           11          690
    7.00000000   7.7918e+00   7.3096e-05   9.7305e-03          100      1368064           13         1336
