# data/ber/ber_v39.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v39 -b1e-5 -e 500 -n80000 -t200000000 -s-9 -d0.5 -x40 -o data/ber/ber_v39.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/3 K=9
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   500
#  min packet trials   :   0
#  min bit trials      :   80000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   200000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -4.2288e+00   4.9761e-01   1.0000e+00        40255        80896           79           79
   -8.50000000  -3.7288e+00   4.9297e-01   1.0000e+00        39879        80896           79           79
   -8.00000000  -3.2288e+00   4.9515e-01   1.0000e+00        40056        80896           79           79
   -7.50000000  -2.7288e+00   4.9062e-01   1.0000e+00        39689        80896           79           79
   -7.00000000  -2.2288e+00   4.7910e-01   1.0000e+00        38757        80896           79           79
   -6.50000000  -1.7288e+00   4.7133e-01   1.0000e+00        38129        80896           79           79
   -6.00000000  -1.2288e+00   4.5128e-01   1.0000e+00        36507        80896           79           79
   -5.50000000  -7.2879e-01   4.2159e-01   1.0000e+00        34105        80896           79           79
   -5.00000000  -2.2879e-01   3.7521e-01   1.0000e+00        30353        80896           79           79
   -4.50000000   2.7121e-01   3.2052e-01   1.0000e+00        25929        80896           79           79
   -4.00000000   7.7121e-01   2.3498e-01   1.0000e+00        19009        80896           79           79
   -3.50000000   1.2712e+00   1.5029e-01   1.0000e+00        12158        80896           79           79
   -3.00000000   1.7712e+00   7.7408e-02   9.8734e-01         6262        80896           78           79
   -2.50000000   2.2712e+00   3.8716e-02   9.7468e-01         3132        80896           77           79
   -2.00000000   2.7712e+00   1.2238e-02   7.3418e-01          990        80896           58           79
   -1.50000000   3.2712e+00   4.9698e-03   4.9505e-01          514       103424           50          101
   -1.00000000   3.7712e+00   1.4591e-03   2.2781e-01          505       346112           77          338
   -0.50000000   4.2712e+00   4.0335e-04   6.4303e-02          501      1242112           78         1213
    0.00000000   4.7712e+00   9.4245e-05   2.0845e-02          500      5305344          108         5181
    0.50000000   5.2712e+00   1.6921e-05   5.2222e-03          501     29608960          151        28915
    1.00000000   5.7712e+00   4.8711e-06   1.4209e-03          502    103056384          143       100641
