# data/ber/ber_v615.dat : auto-generated file
# invoked as: ./src/simulate_ber -c v615 -s-9.75 -d0.25 -e150 -n50000 -t3000000 -o data/ber/ber_v615.dat 
#
#  modulation scheme   :   bpsk
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/6 K=15
#  fec (outer)         :   none
#  frame length        :   128 bytes
#  asymptotic rate     :   0.16666667   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   150
#  min packet trials   :   0
#  min bit trials      :   50000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   3000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.75000000  -1.9685e+00   4.9544e-01   1.0000e+00        24859        50176           49           49
   -9.50000000  -1.7185e+00   4.8469e-01   1.0000e+00        24320        50176           49           49
   -9.25000000  -1.4685e+00   4.7967e-01   1.0000e+00        24068        50176           49           49
   -9.00000000  -1.2185e+00   4.7718e-01   1.0000e+00        23943        50176           49           49
   -8.75000000  -9.6849e-01   4.7090e-01   1.0000e+00        23628        50176           49           49
   -8.50000000  -7.1849e-01   4.5677e-01   1.0000e+00        22919        50176           49           49
   -8.25000000  -4.6849e-01   4.3068e-01   1.0000e+00        21610        50176           49           49
   -8.00000000  -2.1849e-01   3.6783e-01   1.0000e+00        18456        50176           49           49
   -7.75000000   3.1512e-02   3.2816e-01   1.0000e+00        16466        50176           49           49
   -7.50000000   2.8151e-01   3.0479e-01   1.0000e+00        15293        50176           49           49
   -7.25000000   5.3151e-01   2.3342e-01   1.0000e+00        11712        50176           49           49
   -7.00000000   7.8151e-01   1.7726e-01   1.0000e+00         8894        50176           49           49
   -6.75000000   1.0315e+00   1.2297e-01   1.0000e+00         6170        50176           49           49
   -6.50000000   1.2815e+00   6.4473e-02   9.1837e-01         3235        50176           45           49
   -6.25000000   1.5315e+00   3.7647e-02   8.5714e-01         1889        50176           42           49
   -6.00000000   1.7815e+00   2.2242e-02   6.9388e-01         1116        50176           34           49
   -5.75000000   2.0315e+00   9.7656e-03   3.8776e-01          490        50176           19           49
   -5.50000000   2.2815e+00   4.0458e-03   2.2449e-01          203        50176           11           49
   -5.25000000   2.5315e+00   1.8205e-03   1.6049e-01          151        82944           13           81
   -5.00000000   2.7815e+00   7.6467e-04   7.5472e-02          166       217088           16          212
   -4.75000000   3.0315e+00   2.4725e-04   2.5478e-02          159       643072           16          628
   -4.50000000   3.2815e+00   1.2865e-04   8.5543e-03          154      1197056           10         1169
