# data/ber/fec_snr_req.dat : auto-generated file (do not edit)
# invoked as : ./src/estimate_snr_fec -odata/ber/fec_snr_req.dat -B -e1e-5 -n1024 -x4000000
#
# options:
#  min. packet errors  :   0
#  min. bit errors     :   50
#  min. packet trials  :   0
#  min. bit trials     :   5000
#  max. packet trials  :   18446744073709551615
#  max. bit trials     :   4000000
#  estimate on BER|PER :   BER
#  estimate SNR|Eb/N0  :   Eb/N0
#  target error rate   :   1.0000e-05  
#  BPSK Eb/N0 for BER  :   9.58781719  
#  frame length        :   1024 bytes
#  fec (inner)         :   none
#  fec (outer)         :   none
#
# scheme         id   rate [b/s]     SNR [dB]   Eb/N0 [dB]    BPSK gain
 "none"           1     1.000000     9.561304     9.561304     0.026513
 "r3"             2     0.333333     6.308565    11.079778    -1.491961
 "r5"             3     0.200000     4.401227    11.390927    -1.803110
 "h74"            4     0.571429     6.715031     9.145411     0.442406
 "h84"            5     0.500000     6.615690     9.625990    -0.038173
 "h128"           6     0.666667     7.055894     8.816807     0.771010
 "v27"            7     0.500000     3.427685     6.437985     3.149832
 "v29"            8     0.500000     2.775945     5.786245     3.801572
 "v39"            9     0.333333     0.639634     5.410846     4.176971
 "v615"          10     0.166667    -3.975872     3.805641     5.782176
 "v27p23"        11     0.666667     5.103645     6.864557     2.723260
 "v27p34"        12     0.750000     6.076650     7.326037     2.261780
 "v27p45"        13     0.800000     6.761858     7.730958     1.856859
 "v27p56"        14     0.833333     7.559168     8.350981     1.236836
 "v27p67"        15     0.857143     7.539455     8.208923     1.378894
 "v27p78"        16     0.875000     7.800310     8.380229     1.207588
 "v29p23"        17     0.666667     4.622401     6.383314     3.204504
 "v29p34"        18     0.750000     5.471324     6.720711     2.867106
 "v29p45"        19     0.800000     6.628693     7.597793     1.990024
 "v29p56"        20     0.833333     6.901041     7.692853     1.894964
 "v29p67"        21     0.857143     8.256528     8.925996     0.661821
 "v29p78"        22     0.875000     7.285276     7.865195     1.722622
 "rs8"           23     0.874510     5.554855     6.137208     3.450609
