# data/ber-fec-hard/ber_h84.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c h84 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_h84.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(8,4)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   3.3081e-01   1.0000e+00      1323839      4001792         1954         1954
   -8.50000000  -5.4897e+00   3.1933e-01   1.0000e+00      1277891      4001792         1954         1954
   -8.00000000  -4.9897e+00   3.0626e-01   1.0000e+00      1225575      4001792         1954         1954
   -7.50000000  -4.4897e+00   2.9325e-01   1.0000e+00      1173529      4001792         1954         1954
   -7.00000000  -3.9897e+00   2.7890e-01   1.0000e+00      1116112      4001792         1954         1954
   -6.50000000  -3.4897e+00   2.6373e-01   1.0000e+00      1055409      4001792         1954         1954
   -6.00000000  -2.9897e+00   2.4797e-01   1.0000e+00       992306      4001792         1954         1954
   -5.50000000  -2.4897e+00   2.3123e-01   1.0000e+00       925318      4001792         1954         1954
   -5.00000000  -1.9897e+00   2.1395e-01   1.0000e+00       856203      4001792         1954         1954
   -4.50000000  -1.4897e+00   1.9618e-01   1.0000e+00       785079      4001792         1954         1954
   -4.00000000  -9.8970e-01   1.7768e-01   1.0000e+00       711038      4001792         1954         1954
   -3.50000000  -4.8970e-01   1.5894e-01   1.0000e+00       636064      4001792         1954         1954
   -3.00000000   1.0300e-02   1.4037e-01   1.0000e+00       561747      4001792         1954         1954
   -2.50000000   5.1030e-01   1.2188e-01   1.0000e+00       487752      4001792         1954         1954
   -2.00000000   1.0103e+00   1.0371e-01   1.0000e+00       415027      4001792         1954         1954
   -1.50000000   1.5103e+00   8.6941e-02   1.0000e+00       347919      4001792         1954         1954
   -1.00000000   2.0103e+00   7.1064e-02   1.0000e+00       284383      4001792         1954         1954
   -0.50000000   2.5103e+00   5.6778e-02   1.0000e+00       227213      4001792         1954         1954
    0.00000000   3.0103e+00   4.4125e-02   1.0000e+00       176579      4001792         1954         1954
    0.50000000   3.5103e+00   3.3370e-02   1.0000e+00       133538      4001792         1954         1954
    1.00000000   4.0103e+00   2.4151e-02   1.0000e+00        96647      4001792         1954         1954
    1.50000000   4.5103e+00   1.7019e-02   1.0000e+00        68105      4001792         1954         1954
    2.00000000   5.0103e+00   1.1274e-02   1.0000e+00        45116      4001792         1954         1954
    2.50000000   5.5103e+00   7.2652e-03   1.0000e+00        29074      4001792         1954         1954
    3.00000000   6.0103e+00   4.4907e-03   9.9539e-01        17971      4001792         1945         1954
    3.50000000   6.5103e+00   2.5401e-03   9.5394e-01        10165      4001792         1864         1954
    4.00000000   7.0103e+00   1.3609e-03   8.0297e-01         5446      4001792         1569         1954
    4.50000000   7.5103e+00   6.7045e-04   5.5937e-01         2683      4001792         1093         1954
    5.00000000   8.0103e+00   3.1736e-04   3.0809e-01         1270      4001792          602         1954
    5.50000000   8.5103e+00   1.2962e-04   1.4999e-01         1000      7714816          565         3767
    6.00000000   9.0103e+00   4.9296e-05   5.7287e-02         1001     20305920          568         9915
    6.50000000   9.5103e+00   1.7596e-05   2.0793e-02         1000     56832000          577        27750
    7.00000000   1.0010e+01   5.3942e-06   6.4075e-03         1000    185382912          580        90519
