# data/ber-fec-hard/ber_none.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c none -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_none.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   none
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   1.00000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -9.0000e+00   3.0761e-01   1.0000e+00      1230978      4001792         1954         1954
   -8.50000000  -8.5000e+00   2.9744e-01   1.0000e+00      1190282      4001792         1954         1954
   -8.00000000  -8.0000e+00   2.8634e-01   1.0000e+00      1145862      4001792         1954         1954
   -7.50000000  -7.5000e+00   2.7524e-01   1.0000e+00      1101467      4001792         1954         1954
   -7.00000000  -7.0000e+00   2.6419e-01   1.0000e+00      1057218      4001792         1954         1954
   -6.50000000  -6.5000e+00   2.5142e-01   1.0000e+00      1006139      4001792         1954         1954
   -6.00000000  -6.0000e+00   2.3904e-01   1.0000e+00       956583      4001792         1954         1954
   -5.50000000  -5.5000e+00   2.2643e-01   1.0000e+00       906127      4001792         1954         1954
   -5.00000000  -5.0000e+00   2.1351e-01   1.0000e+00       854428      4001792         1954         1954
   -4.50000000  -4.5000e+00   1.9970e-01   1.0000e+00       799150      4001792         1954         1954
   -4.00000000  -4.0000e+00   1.8606e-01   1.0000e+00       744569      4001792         1954         1954
   -3.50000000  -3.5000e+00   1.7231e-01   1.0000e+00       689560      4001792         1954         1954
   -3.00000000  -3.0000e+00   1.5816e-01   1.0000e+00       632942      4001792         1954         1954
   -2.50000000  -2.5000e+00   1.4447e-01   1.0000e+00       578132      4001792         1954         1954
   -2.00000000  -2.0000e+00   1.3073e-01   1.0000e+00       523146      4001792         1954         1954
   -1.50000000  -1.5000e+00   1.1705e-01   1.0000e+00       468408      4001792         1954         1954
   -1.00000000  -1.0000e+00   1.0378e-01   1.0000e+00       415315      4001792         1954         1954
   -0.50000000  -5.0000e-01   9.1069e-02   1.0000e+00       364441      4001792         1954         1954
    0.00000000   0.0000e+00   7.8584e-02   1.0000e+00       314476      4001792         1954         1954
    0.50000000   5.0000e-01   6.7090e-02   1.0000e+00       268482      4001792         1954         1954
    1.00000000   1.0000e+00   5.6272e-02   1.0000e+00       225190      4001792         1954         1954
    1.50000000   1.5000e+00   4.6412e-02   1.0000e+00       185730      4001792         1954         1954
    2.00000000   2.0000e+00   3.7595e-02   1.0000e+00       150448      4001792         1954         1954
    2.50000000   2.5000e+00   2.9664e-02   1.0000e+00       118711      4001792         1954         1954
    3.00000000   3.0000e+00   2.2755e-02   1.0000e+00        91059      4001792         1954         1954
    3.50000000   3.5000e+00   1.7131e-02   1.0000e+00        68556      4001792         1954         1954
    4.00000000   4.0000e+00   1.2568e-02   1.0000e+00        50295      4001792         1954         1954
    4.50000000   4.5000e+00   8.7831e-03   1.0000e+00        35148      4001792         1954         1954
    5.00000000   5.0000e+00   5.9468e-03   1.0000e+00        23798      4001792         1954         1954
    5.50000000   5.5000e+00   3.8535e-03   1.0000e+00        15421      4001792         1954         1954
    6.00000000   6.0000e+00   2.4127e-03   9.9130e-01         9655      4001792         1937         1954
    6.50000000   6.5000e+00   1.3931e-03   9.5241e-01         5575      4001792         1861         1954
    7.00000000   7.0000e+00   7.5816e-04   7.8557e-01         3034      4001792         1535         1954
    7.50000000   7.5000e+00   4.0457e-04   5.6499e-01         1619      4001792         1104         1954
    8.00000000   8.0000e+00   1.8644e-04   3.1997e-01         1000      5363712          838         2619
    8.50000000   8.5000e+00   8.4172e-05   1.5911e-01         1000     11880448          923         5801
    9.00000000   9.0000e+00   3.2713e-05   6.5322e-02         1000     30568448          975        14926
    9.50000000   9.5000e+00   1.1972e-05   2.4199e-02         1000     83529728          987        40786
   10.00000000   1.0000e+01   3.9230e-06   8.0264e-03         1000    254904320          999       124465
