# data/ber-fec-hard/ber_rep3.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c rep3 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_rep3.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(3)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -4.2288e+00   2.2613e-01   1.0000e+00       904913      4001792         1954         1954
   -8.50000000  -3.7288e+00   2.1313e-01   1.0000e+00       852912      4001792         1954         1954
   -8.00000000  -3.2288e+00   1.9949e-01   1.0000e+00       798327      4001792         1954         1954
   -7.50000000  -2.7288e+00   1.8592e-01   1.0000e+00       744016      4001792         1954         1954
   -7.00000000  -2.2288e+00   1.7211e-01   1.0000e+00       688754      4001792         1954         1954
   -6.50000000  -1.7288e+00   1.5848e-01   1.0000e+00       634202      4001792         1954         1954
   -6.00000000  -1.2288e+00   1.4462e-01   1.0000e+00       578722      4001792         1954         1954
   -5.50000000  -7.2879e-01   1.3055e-01   1.0000e+00       522450      4001792         1954         1954
   -5.00000000  -2.2879e-01   1.1708e-01   1.0000e+00       468536      4001792         1954         1954
   -4.50000000   2.7121e-01   1.0383e-01   1.0000e+00       415502      4001792         1954         1954
   -4.00000000   7.7121e-01   9.1021e-02   1.0000e+00       364246      4001792         1954         1954
   -3.50000000   1.2712e+00   7.8930e-02   1.0000e+00       315860      4001792         1954         1954
   -3.00000000   1.7712e+00   6.7385e-02   1.0000e+00       269660      4001792         1954         1954
   -2.50000000   2.2712e+00   5.6575e-02   1.0000e+00       226403      4001792         1954         1954
   -2.00000000   2.7712e+00   4.6735e-02   1.0000e+00       187023      4001792         1954         1954
   -1.50000000   3.2712e+00   3.7865e-02   1.0000e+00       151526      4001792         1954         1954
   -1.00000000   3.7712e+00   2.9990e-02   1.0000e+00       120015      4001792         1954         1954
   -0.50000000   4.2712e+00   2.3307e-02   1.0000e+00        93269      4001792         1954         1954
    0.00000000   4.7712e+00   1.7550e-02   1.0000e+00        70231      4001792         1954         1954
    0.50000000   5.2712e+00   1.2829e-02   1.0000e+00        51337      4001792         1954         1954
    1.00000000   5.7712e+00   9.1801e-03   1.0000e+00        36737      4001792         1954         1954
    1.50000000   6.2712e+00   6.1710e-03   1.0000e+00        24695      4001792         1954         1954
    2.00000000   6.7712e+00   4.1589e-03   1.0000e+00        16643      4001792         1954         1954
    2.50000000   7.2712e+00   2.5806e-03   9.9284e-01        10327      4001792         1940         1954
    3.00000000   7.7712e+00   1.5491e-03   9.5855e-01         6199      4001792         1873         1954
    3.50000000   8.2712e+00   8.7436e-04   8.5005e-01         3499      4001792         1661         1954
    4.00000000   8.7712e+00   4.6404e-04   6.0850e-01         1857      4001792         1189         1954
    4.50000000   9.2712e+00   2.0728e-04   3.4182e-01         1001      4829184          806         2358
    5.00000000   9.7712e+00   1.0222e-04   1.9071e-01         1000      9783296          911         4777
    5.50000000   1.0271e+01   4.3831e-05   8.5189e-02         1000     22814720          949        11140
    6.00000000   1.0771e+01   1.6631e-05   3.3413e-02         1000     60129280          981        29360
    6.50000000   1.1271e+01   5.9160e-06   1.2043e-02         1000    169033728          994        82536
