# data/ber-fec-hard/ber_rs8.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c rs8 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_rs8.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Reed-Solomon, 223/255
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87450981   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4176e+00   3.0813e-01   1.0000e+00      1233075      4001792         1954         1954
   -8.50000000  -7.9176e+00   2.9752e-01   1.0000e+00      1190605      4001792         1954         1954
   -8.00000000  -7.4176e+00   2.8647e-01   1.0000e+00      1146374      4001792         1954         1954
   -7.50000000  -6.9176e+00   2.7553e-01   1.0000e+00      1102605      4001792         1954         1954
   -7.00000000  -6.4176e+00   2.6390e-01   1.0000e+00      1056060      4001792         1954         1954
   -6.50000000  -5.9176e+00   2.5159e-01   1.0000e+00      1006791      4001792         1954         1954
   -6.00000000  -5.4176e+00   2.3921e-01   1.0000e+00       957278      4001792         1954         1954
   -5.50000000  -4.9176e+00   2.2620e-01   1.0000e+00       905220      4001792         1954         1954
   -5.00000000  -4.4176e+00   2.1389e-01   1.0000e+00       855963      4001792         1954         1954
   -4.50000000  -3.9176e+00   1.9983e-01   1.0000e+00       799676      4001792         1954         1954
   -4.00000000  -3.4176e+00   1.8633e-01   1.0000e+00       745665      4001792         1954         1954
   -3.50000000  -2.9176e+00   1.7236e-01   1.0000e+00       689766      4001792         1954         1954
   -3.00000000  -2.4176e+00   1.5855e-01   1.0000e+00       634484      4001792         1954         1954
   -2.50000000  -1.9176e+00   1.4442e-01   1.0000e+00       577941      4001792         1954         1954
   -2.00000000  -1.4176e+00   1.3059e-01   1.0000e+00       522604      4001792         1954         1954
   -1.50000000  -9.1765e-01   1.1720e-01   1.0000e+00       469005      4001792         1954         1954
   -1.00000000  -4.1765e-01   1.0384e-01   1.0000e+00       415554      4001792         1954         1954
   -0.50000000   8.2353e-02   9.0774e-02   1.0000e+00       363260      4001792         1954         1954
    0.00000000   5.8235e-01   7.8699e-02   1.0000e+00       314936      4001792         1954         1954
    0.50000000   1.0824e+00   6.7101e-02   1.0000e+00       268524      4001792         1954         1954
    1.00000000   1.5824e+00   5.6290e-02   1.0000e+00       225262      4001792         1954         1954
    1.50000000   2.0824e+00   4.6386e-02   1.0000e+00       185628      4001792         1954         1954
    2.00000000   2.5824e+00   3.7391e-02   1.0000e+00       149630      4001792         1954         1954
    2.50000000   3.0824e+00   2.9452e-02   1.0000e+00       117862      4001792         1954         1954
    3.00000000   3.5824e+00   2.2808e-02   9.9949e-01        91271      4001792         1953         1954
    3.50000000   4.0824e+00   1.5313e-02   9.7799e-01        61278      4001792         1911         1954
    4.00000000   4.5824e+00   5.7869e-03   6.0235e-01        23158      4001792         1177         1954
    4.50000000   5.0824e+00   6.8619e-04   9.1607e-02         2746      4001792          179         1954
    5.00000000   5.5824e+00   2.1636e-05   3.0996e-03         1015     46911488           71        22906
