# data/ber-fec-hard/ber_secded2216.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c secded2216 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_secded2216.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   SEC-DEC(22,16)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.66666669   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.2391e+00   3.1397e-01   1.0000e+00      1256432      4001792         1954         1954
   -8.50000000  -6.7391e+00   3.0405e-01   1.0000e+00      1216748      4001792         1954         1954
   -8.00000000  -6.2391e+00   2.9327e-01   1.0000e+00      1173588      4001792         1954         1954
   -7.50000000  -5.7391e+00   2.8229e-01   1.0000e+00      1129676      4001792         1954         1954
   -7.00000000  -5.2391e+00   2.7066e-01   1.0000e+00      1083139      4001792         1954         1954
   -6.50000000  -4.7391e+00   2.5901e-01   1.0000e+00      1036523      4001792         1954         1954
   -6.00000000  -4.2391e+00   2.4643e-01   1.0000e+00       986173      4001792         1954         1954
   -5.50000000  -3.7391e+00   2.3393e-01   1.0000e+00       936120      4001792         1954         1954
   -5.00000000  -3.2391e+00   2.2074e-01   1.0000e+00       883338      4001792         1954         1954
   -4.50000000  -2.7391e+00   2.0708e-01   1.0000e+00       828698      4001792         1954         1954
   -4.00000000  -2.2391e+00   1.9338e-01   1.0000e+00       773872      4001792         1954         1954
   -3.50000000  -1.7391e+00   1.7840e-01   1.0000e+00       713936      4001792         1954         1954
   -3.00000000  -1.2391e+00   1.6356e-01   1.0000e+00       654537      4001792         1954         1954
   -2.50000000  -7.3909e-01   1.4834e-01   1.0000e+00       593612      4001792         1954         1954
   -2.00000000  -2.3909e-01   1.3284e-01   1.0000e+00       531600      4001792         1954         1954
   -1.50000000   2.6091e-01   1.1648e-01   1.0000e+00       466134      4001792         1954         1954
   -1.00000000   7.6091e-01   1.0081e-01   1.0000e+00       403430      4001792         1954         1954
   -0.50000000   1.2609e+00   8.4742e-02   1.0000e+00       339119      4001792         1954         1954
    0.00000000   1.7609e+00   6.9559e-02   1.0000e+00       278362      4001792         1954         1954
    0.50000000   2.2609e+00   5.5185e-02   1.0000e+00       220838      4001792         1954         1954
    1.00000000   2.7609e+00   4.2381e-02   1.0000e+00       169598      4001792         1954         1954
    1.50000000   3.2609e+00   3.1253e-02   1.0000e+00       125069      4001792         1954         1954
    2.00000000   3.7609e+00   2.2093e-02   1.0000e+00        88411      4001792         1954         1954
    2.50000000   4.2609e+00   1.4427e-02   1.0000e+00        57734      4001792         1954         1954
    3.00000000   4.7609e+00   9.2284e-03   1.0000e+00        36930      4001792         1954         1954
    3.50000000   5.2609e+00   5.3913e-03   1.0000e+00        21575      4001792         1954         1954
    4.00000000   5.7609e+00   2.9582e-03   9.7595e-01        11838      4001792         1907         1954
    4.50000000   6.2609e+00   1.5018e-03   8.4647e-01         6010      4001792         1654         1954
    5.00000000   6.7609e+00   6.6995e-04   5.7830e-01         2681      4001792         1130         1954
    5.50000000   7.2609e+00   3.1836e-04   3.2702e-01         1274      4001792          639         1954
    6.00000000   7.7609e+00   1.0455e-04   1.2684e-01         1001      9574400          593         4675
    6.50000000   8.2609e+00   4.1726e-05   5.2641e-02         1000     23965696          616        11702
    7.00000000   8.7609e+00   1.2732e-05   1.6271e-02         1000     78542848          624        38351
    7.50000000   9.2609e+00   3.3831e-06   4.3443e-03         1000    295583744          627       144328
