# data/ber-fec-hard/ber_v27p67.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c v27p67 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_v27p67.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r6/7 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.85714287   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.3305e+00   4.9982e-01   1.0000e+00      2000156      4001792         1954         1954
   -8.50000000  -7.8305e+00   4.9982e-01   1.0000e+00      2000178      4001792         1954         1954
   -8.00000000  -7.3305e+00   4.9986e-01   1.0000e+00      2000331      4001792         1954         1954
   -7.50000000  -6.8305e+00   4.9914e-01   1.0000e+00      1997464      4001792         1954         1954
   -7.00000000  -6.3305e+00   4.9911e-01   1.0000e+00      1997319      4001792         1954         1954
   -6.50000000  -5.8305e+00   4.9908e-01   1.0000e+00      1997207      4001792         1954         1954
   -6.00000000  -5.3305e+00   4.9854e-01   1.0000e+00      1995038      4001792         1954         1954
   -5.50000000  -4.8305e+00   4.9832e-01   1.0000e+00      1994161      4001792         1954         1954
   -5.00000000  -4.3305e+00   4.9775e-01   1.0000e+00      1991885      4001792         1954         1954
   -4.50000000  -3.8305e+00   4.9711e-01   1.0000e+00      1989343      4001792         1954         1954
   -4.00000000  -3.3305e+00   4.9615e-01   1.0000e+00      1985506      4001792         1954         1954
   -3.50000000  -2.8305e+00   4.9497e-01   1.0000e+00      1980760      4001792         1954         1954
   -3.00000000  -2.3305e+00   4.9263e-01   1.0000e+00      1971421      4001792         1954         1954
   -2.50000000  -1.8305e+00   4.8975e-01   1.0000e+00      1959861      4001792         1954         1954
   -2.00000000  -1.3305e+00   4.8614e-01   1.0000e+00      1945439      4001792         1954         1954
   -1.50000000  -8.3053e-01   4.8101e-01   1.0000e+00      1924892      4001792         1954         1954
   -1.00000000  -3.3053e-01   4.7328e-01   1.0000e+00      1893977      4001792         1954         1954
   -0.50000000   1.6947e-01   4.6311e-01   1.0000e+00      1853278      4001792         1954         1954
    0.00000000   6.6947e-01   4.4725e-01   1.0000e+00      1789803      4001792         1954         1954
    0.50000000   1.1695e+00   4.2294e-01   1.0000e+00      1692504      4001792         1954         1954
    1.00000000   1.6695e+00   3.8931e-01   1.0000e+00      1557932      4001792         1954         1954
    1.50000000   2.1695e+00   3.4161e-01   1.0000e+00      1367047      4001792         1954         1954
    2.00000000   2.6695e+00   2.7374e-01   1.0000e+00      1095442      4001792         1954         1954
    2.50000000   3.1695e+00   2.0221e-01   1.0000e+00       809197      4001792         1954         1954
    3.00000000   3.6695e+00   1.3057e-01   1.0000e+00       522495      4001792         1954         1954
    3.50000000   4.1695e+00   7.2549e-02   9.9795e-01       290326      4001792         1950         1954
    4.00000000   4.6695e+00   3.4494e-02   9.7032e-01       138039      4001792         1896         1954
    4.50000000   5.1695e+00   1.4417e-02   8.3623e-01        57692      4001792         1634         1954
    5.00000000   5.6695e+00   5.1972e-03   5.2917e-01        20798      4001792         1034         1954
    5.50000000   6.1695e+00   1.8344e-03   2.5793e-01         7341      4001792          504         1954
    6.00000000   6.6695e+00   5.3701e-04   1.0184e-01         2149      4001792          199         1954
    6.50000000   7.1695e+00   1.7534e-04   3.5981e-02         1008      5748736          101         2807
    7.00000000   7.6695e+00   5.4987e-05   1.2275e-02         1000     18186240          109         8880
    7.50000000   8.1695e+00   1.2239e-05   2.7962e-03         1004     82032640          112        40055
    8.00000000   8.6695e+00   2.7519e-06   7.3192e-04         1001    363753472          130       177614
