# data/ber-fec-hard/ber_v39.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c v39 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-hard/ber_v39.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/3 K=9
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.33333334   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -4.2288e+00   4.9597e-01   1.0000e+00      1984757      4001792         1954         1954
   -8.50000000  -3.7288e+00   4.9405e-01   1.0000e+00      1977089      4001792         1954         1954
   -8.00000000  -3.2288e+00   4.9115e-01   1.0000e+00      1965484      4001792         1954         1954
   -7.50000000  -2.7288e+00   4.8669e-01   1.0000e+00      1947634      4001792         1954         1954
   -7.00000000  -2.2288e+00   4.7887e-01   1.0000e+00      1916333      4001792         1954         1954
   -6.50000000  -1.7288e+00   4.6748e-01   1.0000e+00      1870767      4001792         1954         1954
   -6.00000000  -1.2288e+00   4.4806e-01   1.0000e+00      1793023      4001792         1954         1954
   -5.50000000  -7.2879e-01   4.1940e-01   1.0000e+00      1678336      4001792         1954         1954
   -5.00000000  -2.2879e-01   3.7315e-01   1.0000e+00      1493264      4001792         1954         1954
   -4.50000000   2.7121e-01   3.1044e-01   1.0000e+00      1242330      4001792         1954         1954
   -4.00000000   7.7121e-01   2.3073e-01   1.0000e+00       923316      4001792         1954         1954
   -3.50000000   1.2712e+00   1.5120e-01   1.0000e+00       605090      4001792         1954         1954
   -3.00000000   1.7712e+00   8.2080e-02   1.0000e+00       328468      4001792         1954         1954
   -2.50000000   2.2712e+00   3.8003e-02   9.9846e-01       152079      4001792         1951         1954
   -2.00000000   2.7712e+00   1.4708e-02   9.5599e-01        58860      4001792         1868         1954
   -1.50000000   3.2712e+00   4.9195e-03   7.0880e-01        19687      4001792         1385         1954
   -1.00000000   3.7712e+00   1.4776e-03   3.6745e-01         5913      4001792          718         1954
   -0.50000000   4.2712e+00   4.0707e-04   1.3460e-01         1629      4001792          263         1954
    0.00000000   4.7712e+00   8.5106e-05   3.5206e-02         1005     11808768          203         5766
    0.50000000   5.2712e+00   1.7791e-05   9.0998e-03         1001     56264704          250        27473
    1.00000000   5.7712e+00   3.4187e-06   1.9076e-03         1002    293095424          273       143113
