# data/ber-fec-hard/ber_v615.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c v615 -s-9.75 -d0.25 -e400 -n400000 -t6000000 -o data/ber-fec-hard/ber_v615.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/6 K=15
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.16666667   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   400
#  min packet trials   :   0
#  min bit trials      :   400000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   6000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.75000000  -1.9685e+00   4.9000e-01   1.0000e+00       196691       401408          196          196
   -9.50000000  -1.7185e+00   4.9036e-01   1.0000e+00       196834       401408          196          196
   -9.25000000  -1.4685e+00   4.8356e-01   1.0000e+00       194106       401408          196          196
   -9.00000000  -1.2185e+00   4.7583e-01   1.0000e+00       191002       401408          196          196
   -8.75000000  -9.6849e-01   4.6435e-01   1.0000e+00       186394       401408          196          196
   -8.50000000  -7.1849e-01   4.4697e-01   1.0000e+00       179416       401408          196          196
   -8.25000000  -4.6849e-01   4.2777e-01   1.0000e+00       171712       401408          196          196
   -8.00000000  -2.1849e-01   3.8850e-01   1.0000e+00       155947       401408          196          196
   -7.75000000   3.1512e-02   3.4180e-01   1.0000e+00       137201       401408          196          196
   -7.50000000   2.8151e-01   2.9414e-01   1.0000e+00       118069       401408          196          196
   -7.25000000   5.3151e-01   2.2455e-01   1.0000e+00        90136       401408          196          196
   -7.00000000   7.8151e-01   1.7015e-01   1.0000e+00        68299       401408          196          196
   -6.75000000   1.0315e+00   1.1219e-01   9.9490e-01        45032       401408          195          196
   -6.50000000   1.2815e+00   7.0400e-02   1.0000e+00        28259       401408          196          196
   -6.25000000   1.5315e+00   3.7446e-02   9.6939e-01        15031       401408          190          196
   -6.00000000   1.7815e+00   2.1492e-02   8.7245e-01         8627       401408          171          196
   -5.75000000   2.0315e+00   1.0491e-02   7.1429e-01         4211       401408          140          196
   -5.50000000   2.2815e+00   4.3472e-03   4.2347e-01         1745       401408           83          196
   -5.25000000   2.5315e+00   1.8510e-03   2.4490e-01          743       401408           48          196
   -5.00000000   2.7815e+00   7.3424e-04   1.4925e-01          403       548864           40          268
   -4.75000000   3.0315e+00   3.0357e-04   6.5116e-02          401      1320960           42          645
   -4.50000000   3.2815e+00   8.4689e-05   2.1577e-02          418      4935680           52         2410
