# data/ber-fec-hard/fec_snr_req.dat : auto-generated file (do not edit)
# invoked as : ./src/estimate_snr_fec -odata/ber-fec-hard/fec_snr_req.dat -B -H -E1e-5 -n1024 -x4000000
#
# NOTE: Modified to add the following codecs:
#         * Golay(24,12)
#         * SEC-DED(22,16)
#         * SEC-DED(39,32)
#         * SEC-DED(72,64)
#
# options:
#  min. packet errors  :   0
#  min. bit errors     :   50
#  min. packet trials  :   0
#  min. bit trials     :   5000
#  max. packet trials  :   18446744073709551615
#  max. bit trials     :   4000000
#  estimate on BER|PER :   BER
#  estimate SNR|Eb/N0  :   Eb/N0
#  target error rate   :   1.0000e-05  
#  BPSK Eb/N0 for BER  :   9.58781719  
#  frame length        :   1024 bytes
#  fec (inner)         :   none
#  fec (outer)         :   none
#
# scheme         id   rate [b/s]     SNR [dB]   Eb/N0 [dB]    BPSK gain
 "none"           1     1.000000     9.523293     9.523293     0.064524
 "r3"             2     0.333333     6.163990    10.935203    -1.347385
 "r5"             3     0.200000     4.243871    11.233571    -1.645754
 "h74"            4     0.571429     6.812975     9.243356     0.344461
 "h84"            5     0.500000     6.753567     9.763867    -0.176050
 "h128"           6     0.666667     6.979117     8.740029     0.847788
 "g2412"          7     0.500000     4.4487       7.4590       2.1288
 "secded2216"     8     0.66667      7.0761       8.8370       0.75082
 "secded3932"     9     0.80000      7.3207       8.2898       1.2980
 "secded7264"    10     0.88889      7.5394       8.0509       1.5369
 "v27"           11     0.500000     3.442792     6.453092     3.134725
 "v29"           12     0.500000     2.735062     5.745362     3.842455
 "v39"           13     0.333333     0.492922     5.264135     4.323682
 "v615"          14     0.166667    -3.701953     4.079559     5.508258
 "v27p23"        15     0.666667     4.983467     6.744380     2.843438
 "v27p34"        16     0.750000     5.848359     7.097747     2.490070
 "v27p45"        17     0.800000     6.773965     7.743065     1.844752
 "v27p56"        18     0.833333     7.514216     8.306028     1.281789
 "v27p67"        19     0.857143     7.683785     8.353253     1.234564
 "v27p78"        20     0.875000     7.679342     8.259261     1.328556
 "v29p23"        21     0.666667     4.494437     6.255350     3.332468
 "v29p34"        22     0.750000     5.504104     6.753491     2.834326
 "v29p45"        23     0.800000     6.525519     7.494619     2.093198
 "v29p56"        24     0.833333     6.770667     7.562479     2.025338
 "v29p67"        25     0.857143     7.526232     8.195700     1.392118
 "v29p78"        26     0.875000     7.356465     7.936385     1.651433
 "rs8"           27     0.874510     5.463381     6.045734     3.542083
