# data/ber-fec-soft/ber_g2412.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c g2412 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_g2412.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Golay(24,12)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   3.3136e-01   1.0000e+00      1326025      4001792         1954         1954
   -8.50000000  -5.4897e+00   3.2134e-01   1.0000e+00      1285933      4001792         1954         1954
   -8.00000000  -4.9897e+00   3.1058e-01   1.0000e+00      1242887      4001792         1954         1954
   -7.50000000  -4.4897e+00   2.9890e-01   1.0000e+00      1196117      4001792         1954         1954
   -7.00000000  -3.9897e+00   2.8704e-01   1.0000e+00      1148675      4001792         1954         1954
   -6.50000000  -3.4897e+00   2.7342e-01   1.0000e+00      1094161      4001792         1954         1954
   -6.00000000  -2.9897e+00   2.5796e-01   1.0000e+00      1032303      4001792         1954         1954
   -5.50000000  -2.4897e+00   2.4206e-01   1.0000e+00       968693      4001792         1954         1954
   -5.00000000  -1.9897e+00   2.2410e-01   1.0000e+00       896799      4001792         1954         1954
   -4.50000000  -1.4897e+00   2.0460e-01   1.0000e+00       818778      4001792         1954         1954
   -4.00000000  -9.8970e-01   1.8396e-01   1.0000e+00       736188      4001792         1954         1954
   -3.50000000  -4.8970e-01   1.6204e-01   1.0000e+00       648439      4001792         1954         1954
   -3.00000000   1.0300e-02   1.3905e-01   1.0000e+00       556434      4001792         1954         1954
   -2.50000000   5.1030e-01   1.1581e-01   1.0000e+00       463464      4001792         1954         1954
   -2.00000000   1.0103e+00   9.3541e-02   1.0000e+00       374330      4001792         1954         1954
   -1.50000000   1.5103e+00   7.2324e-02   1.0000e+00       289425      4001792         1954         1954
   -1.00000000   2.0103e+00   5.3240e-02   1.0000e+00       213057      4001792         1954         1954
   -0.50000000   2.5103e+00   3.7020e-02   1.0000e+00       148148      4001792         1954         1954
    0.00000000   3.0103e+00   2.4858e-02   1.0000e+00        99478      4001792         1954         1954
    0.50000000   3.5103e+00   1.5226e-02   1.0000e+00        60933      4001792         1954         1954
    1.00000000   4.0103e+00   8.7406e-03   9.9898e-01        34978      4001792         1952         1954
    1.50000000   4.5103e+00   4.5332e-03   9.7697e-01        18141      4001792         1909         1954
    2.00000000   5.0103e+00   2.2045e-03   8.5517e-01         8822      4001792         1671         1954
    2.50000000   5.5103e+00   9.1409e-04   5.5220e-01         3658      4001792         1079         1954
    3.00000000   6.0103e+00   3.4035e-04   2.7380e-01         1362      4001792          535         1954
    3.50000000   6.5103e+00   1.4033e-04   1.2403e-01         1001      7133184          432         3483
    4.00000000   7.0103e+00   3.8480e-05   3.3853e-02         1001     26013696          430        12702
    4.50000000   7.5103e+00   1.0277e-05   9.3875e-03         1000     97300480          446        47510
