# data/ber-fec-soft/ber_h84.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c h84 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_h84.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Hamming(8,4)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   3.1826e-01   1.0000e+00      1273609      4001792         1954         1954
   -8.50000000  -5.4897e+00   3.0342e-01   1.0000e+00      1214204      4001792         1954         1954
   -8.00000000  -4.9897e+00   2.8824e-01   1.0000e+00      1153475      4001792         1954         1954
   -7.50000000  -4.4897e+00   2.7140e-01   1.0000e+00      1086071      4001792         1954         1954
   -7.00000000  -3.9897e+00   2.5431e-01   1.0000e+00      1017683      4001792         1954         1954
   -6.50000000  -3.4897e+00   2.3547e-01   1.0000e+00       942312      4001792         1954         1954
   -6.00000000  -2.9897e+00   2.1483e-01   1.0000e+00       859685      4001792         1954         1954
   -5.50000000  -2.4897e+00   1.9484e-01   1.0000e+00       779707      4001792         1954         1954
   -5.00000000  -1.9897e+00   1.7370e-01   1.0000e+00       695125      4001792         1954         1954
   -4.50000000  -1.4897e+00   1.5226e-01   1.0000e+00       609326      4001792         1954         1954
   -4.00000000  -9.8970e-01   1.3165e-01   1.0000e+00       526849      4001792         1954         1954
   -3.50000000  -4.8970e-01   1.1090e-01   1.0000e+00       443798      4001792         1954         1954
   -3.00000000   1.0300e-02   9.0457e-02   1.0000e+00       361989      4001792         1954         1954
   -2.50000000   5.1030e-01   7.2637e-02   1.0000e+00       290677      4001792         1954         1954
   -2.00000000   1.0103e+00   5.6399e-02   1.0000e+00       225697      4001792         1954         1954
   -1.50000000   1.5103e+00   4.1998e-02   1.0000e+00       168067      4001792         1954         1954
   -1.00000000   2.0103e+00   3.0381e-02   1.0000e+00       121579      4001792         1954         1954
   -0.50000000   2.5103e+00   2.0567e-02   1.0000e+00        82306      4001792         1954         1954
    0.00000000   3.0103e+00   1.3125e-02   1.0000e+00        52522      4001792         1954         1954
    0.50000000   3.5103e+00   8.1848e-03   1.0000e+00        32754      4001792         1954         1954
    1.00000000   4.0103e+00   4.6574e-03   9.9079e-01        18638      4001792         1936         1954
    1.50000000   4.5103e+00   2.5336e-03   9.2784e-01        10139      4001792         1813         1954
    2.00000000   5.0103e+00   1.2000e-03   7.0061e-01         4802      4001792         1369         1954
    2.50000000   5.5103e+00   5.6525e-04   4.3961e-01         2262      4001792          859         1954
    3.00000000   6.0103e+00   2.4173e-04   2.1520e-01         1003      4149248          436         2026
    3.50000000   6.5103e+00   7.5189e-05   7.4842e-02         1002     13326336          487         6507
    4.00000000   7.0103e+00   2.6367e-05   2.6568e-02         1002     38002688          493        18556
    4.50000000   7.5103e+00   7.0317e-06   7.2437e-03         1000    142213120          503        69440
