# data/ber-fec-soft/ber_rep5.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c rep5 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_rep5.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   repeat(5)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.20000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -2.0103e+00   1.5701e-01   1.0000e+00       628322      4001792         1954         1954
   -8.50000000  -1.5103e+00   1.4178e-01   1.0000e+00       567365      4001792         1954         1954
   -8.00000000  -1.0103e+00   1.2662e-01   1.0000e+00       506702      4001792         1954         1954
   -7.50000000  -5.1030e-01   1.1190e-01   1.0000e+00       447820      4001792         1954         1954
   -7.00000000  -1.0300e-02   9.7702e-02   1.0000e+00       390983      4001792         1954         1954
   -6.50000000   4.8970e-01   8.4194e-02   1.0000e+00       336926      4001792         1954         1954
   -6.00000000   9.8970e-01   7.1069e-02   1.0000e+00       284404      4001792         1954         1954
   -5.50000000   1.4897e+00   5.9220e-02   1.0000e+00       236985      4001792         1954         1954
   -5.00000000   1.9897e+00   4.8316e-02   1.0000e+00       193352      4001792         1954         1954
   -4.50000000   2.4897e+00   3.8188e-02   1.0000e+00       152822      4001792         1954         1954
   -4.00000000   2.9897e+00   2.9690e-02   1.0000e+00       118812      4001792         1954         1954
   -3.50000000   3.4897e+00   2.2250e-02   1.0000e+00        89041      4001792         1954         1954
   -3.00000000   3.9897e+00   1.6254e-02   1.0000e+00        65047      4001792         1954         1954
   -2.50000000   4.4897e+00   1.1538e-02   1.0000e+00        46171      4001792         1954         1954
   -2.00000000   4.9897e+00   7.7053e-03   1.0000e+00        30835      4001792         1954         1954
   -1.50000000   5.4897e+00   5.0200e-03   1.0000e+00        20089      4001792         1954         1954
   -1.00000000   5.9897e+00   3.0989e-03   9.9949e-01        12401      4001792         1953         1954
   -0.50000000   6.4897e+00   1.7667e-03   9.7288e-01         7070      4001792         1901         1954
    0.00000000   6.9897e+00   9.5657e-04   8.7359e-01         3828      4001792         1707         1954
    0.50000000   7.4897e+00   5.0003e-04   6.4176e-01         2001      4001792         1254         1954
    1.00000000   7.9897e+00   2.2074e-04   3.6121e-01         1000      4530176          799         2212
    1.50000000   8.4897e+00   9.8265e-05   1.8354e-01         1000     10176512          912         4969
    2.00000000   8.9897e+00   3.8767e-05   7.6301e-02         1001     25821184          962        12608
    2.50000000   9.4897e+00   1.4007e-05   2.8428e-02         1000     71393280          991        34860
    3.00000000   9.9897e+00   4.5807e-06   9.3343e-03         1000    218308608          995       106596
