# data/ber-fec-soft/ber_rs8.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c rs8 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_rs8.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   Reed-Solomon, 223/255
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87450981   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4176e+00   3.0770e-01   1.0000e+00      1231368      4001792         1954         1954
   -8.50000000  -7.9176e+00   2.9771e-01   1.0000e+00      1191380      4001792         1954         1954
   -8.00000000  -7.4176e+00   2.8639e-01   1.0000e+00      1146090      4001792         1954         1954
   -7.50000000  -6.9176e+00   2.7552e-01   1.0000e+00      1102571      4001792         1954         1954
   -7.00000000  -6.4176e+00   2.6395e-01   1.0000e+00      1056259      4001792         1954         1954
   -6.50000000  -5.9176e+00   2.5151e-01   1.0000e+00      1006506      4001792         1954         1954
   -6.00000000  -5.4176e+00   2.3940e-01   1.0000e+00       958029      4001792         1954         1954
   -5.50000000  -4.9176e+00   2.2627e-01   1.0000e+00       905485      4001792         1954         1954
   -5.00000000  -4.4176e+00   2.1310e-01   1.0000e+00       852799      4001792         1954         1954
   -4.50000000  -3.9176e+00   1.9988e-01   1.0000e+00       799888      4001792         1954         1954
   -4.00000000  -3.4176e+00   1.8623e-01   1.0000e+00       745239      4001792         1954         1954
   -3.50000000  -2.9176e+00   1.7238e-01   1.0000e+00       689829      4001792         1954         1954
   -3.00000000  -2.4176e+00   1.5840e-01   1.0000e+00       633880      4001792         1954         1954
   -2.50000000  -1.9176e+00   1.4454e-01   1.0000e+00       578417      4001792         1954         1954
   -2.00000000  -1.4176e+00   1.3065e-01   1.0000e+00       522830      4001792         1954         1954
   -1.50000000  -9.1765e-01   1.1719e-01   1.0000e+00       468973      4001792         1954         1954
   -1.00000000  -4.1765e-01   1.0349e-01   1.0000e+00       414152      4001792         1954         1954
   -0.50000000   8.2353e-02   9.1088e-02   1.0000e+00       364515      4001792         1954         1954
    0.00000000   5.8235e-01   7.8697e-02   1.0000e+00       314931      4001792         1954         1954
    0.50000000   1.0824e+00   6.7083e-02   1.0000e+00       268453      4001792         1954         1954
    1.00000000   1.5824e+00   5.6186e-02   1.0000e+00       224845      4001792         1954         1954
    1.50000000   2.0824e+00   4.6408e-02   1.0000e+00       185717      4001792         1954         1954
    2.00000000   2.5824e+00   3.7554e-02   1.0000e+00       150284      4001792         1954         1954
    2.50000000   3.0824e+00   2.9689e-02   1.0000e+00       118810      4001792         1954         1954
    3.00000000   3.5824e+00   2.2658e-02   1.0000e+00        90673      4001792         1954         1954
    3.50000000   4.0824e+00   1.5171e-02   9.7083e-01        60712      4001792         1897         1954
    4.00000000   4.5824e+00   5.7507e-03   5.9468e-01        23013      4001792         1162         1954
    4.50000000   5.0824e+00   7.2817e-04   9.7236e-02         2914      4001792          190         1954
    5.00000000   5.5824e+00   2.4044e-05   3.4789e-03         1005     41797632           71        20409
