# data/ber-fec-soft/ber_secded2216.dat : auto-generated file
# invoked as: ./src/simulate_ber -H -c secded2216 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_secded2216.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   SEC-DEC(22,16)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.66666669   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -7.2391e+00   3.1415e-01   1.0000e+00      1257171      4001792         1954         1954
   -8.50000000  -6.7391e+00   3.0383e-01   1.0000e+00      1215864      4001792         1954         1954
   -8.00000000  -6.2391e+00   2.9335e-01   1.0000e+00      1173930      4001792         1954         1954
   -7.50000000  -5.7391e+00   2.8203e-01   1.0000e+00      1128634      4001792         1954         1954
   -7.00000000  -5.2391e+00   2.7091e-01   1.0000e+00      1084142      4001792         1954         1954
   -6.50000000  -4.7391e+00   2.5920e-01   1.0000e+00      1037279      4001792         1954         1954
   -6.00000000  -4.2391e+00   2.4690e-01   1.0000e+00       988038      4001792         1954         1954
   -5.50000000  -3.7391e+00   2.3422e-01   1.0000e+00       937302      4001792         1954         1954
   -5.00000000  -3.2391e+00   2.2068e-01   1.0000e+00       883120      4001792         1954         1954
   -4.50000000  -2.7391e+00   2.0739e-01   1.0000e+00       829921      4001792         1954         1954
   -4.00000000  -2.2391e+00   1.9318e-01   1.0000e+00       773085      4001792         1954         1954
   -3.50000000  -1.7391e+00   1.7866e-01   1.0000e+00       714980      4001792         1954         1954
   -3.00000000  -1.2391e+00   1.6355e-01   1.0000e+00       654478      4001792         1954         1954
   -2.50000000  -7.3909e-01   1.4810e-01   1.0000e+00       592663      4001792         1954         1954
   -2.00000000  -2.3909e-01   1.3260e-01   1.0000e+00       530641      4001792         1954         1954
   -1.50000000   2.6091e-01   1.1661e-01   1.0000e+00       466654      4001792         1954         1954
   -1.00000000   7.6091e-01   1.0063e-01   1.0000e+00       402713      4001792         1954         1954
   -0.50000000   1.2609e+00   8.4922e-02   1.0000e+00       339839      4001792         1954         1954
    0.00000000   1.7609e+00   6.9698e-02   1.0000e+00       278915      4001792         1954         1954
    0.50000000   2.2609e+00   5.5424e-02   1.0000e+00       221797      4001792         1954         1954
    1.00000000   2.7609e+00   4.2243e-02   1.0000e+00       169049      4001792         1954         1954
    1.50000000   3.2609e+00   3.1140e-02   1.0000e+00       124614      4001792         1954         1954
    2.00000000   3.7609e+00   2.1672e-02   1.0000e+00        86725      4001792         1954         1954
    2.50000000   4.2609e+00   1.4507e-02   1.0000e+00        58054      4001792         1954         1954
    3.00000000   4.7609e+00   9.1057e-03   1.0000e+00        36439      4001792         1954         1954
    3.50000000   5.2609e+00   5.4131e-03   9.9744e-01        21662      4001792         1949         1954
    4.00000000   5.7609e+00   3.0409e-03   9.7799e-01        12169      4001792         1911         1954
    4.50000000   6.2609e+00   1.4494e-03   8.3982e-01         5800      4001792         1641         1954
    5.00000000   6.7609e+00   7.4242e-04   6.1361e-01         2971      4001792         1199         1954
    5.50000000   7.2609e+00   2.9337e-04   3.1372e-01         1174      4001792          613         1954
    6.00000000   7.7609e+00   1.2845e-04   1.5532e-01         1001      7792640          591         3805
    6.50000000   8.2609e+00   4.0704e-05   5.1601e-02         1000     24567808          619        11996
    7.00000000   8.7609e+00   1.2292e-05   1.5936e-02         1000     81350656          633        39722
    7.50000000   9.2609e+00   3.4120e-06   4.4023e-03         1000    293081088          630       143106
