# data/ber-fec-soft/ber_v27p78.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v27p78 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_v27p78.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r7/8 K=7 (punctured)
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.87500000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -8.4201e+00   4.9953e-01   1.0000e+00      1999030      4001792         1954         1954
   -8.50000000  -7.9201e+00   4.9981e-01   1.0000e+00      2000132      4001792         1954         1954
   -8.00000000  -7.4201e+00   4.9964e-01   1.0000e+00      1999472      4001792         1954         1954
   -7.50000000  -6.9201e+00   4.9913e-01   1.0000e+00      1997403      4001792         1954         1954
   -7.00000000  -6.4201e+00   4.9889e-01   1.0000e+00      1996459      4001792         1954         1954
   -6.50000000  -5.9201e+00   4.9919e-01   1.0000e+00      1997643      4001792         1954         1954
   -6.00000000  -5.4201e+00   4.9911e-01   1.0000e+00      1997350      4001792         1954         1954
   -5.50000000  -4.9201e+00   4.9816e-01   1.0000e+00      1993533      4001792         1954         1954
   -5.00000000  -4.4201e+00   4.9777e-01   1.0000e+00      1991974      4001792         1954         1954
   -4.50000000  -3.9201e+00   4.9751e-01   1.0000e+00      1990950      4001792         1954         1954
   -4.00000000  -3.4201e+00   4.9629e-01   1.0000e+00      1986032      4001792         1954         1954
   -3.50000000  -2.9201e+00   4.9571e-01   1.0000e+00      1983733      4001792         1954         1954
   -3.00000000  -2.4201e+00   4.9445e-01   1.0000e+00      1978682      4001792         1954         1954
   -2.50000000  -1.9201e+00   4.9126e-01   1.0000e+00      1965912      4001792         1954         1954
   -2.00000000  -1.4201e+00   4.8833e-01   1.0000e+00      1954199      4001792         1954         1954
   -1.50000000  -9.2008e-01   4.8400e-01   1.0000e+00      1936853      4001792         1954         1954
   -1.00000000  -4.2008e-01   4.7677e-01   1.0000e+00      1907953      4001792         1954         1954
   -0.50000000   7.9919e-02   4.6647e-01   1.0000e+00      1866721      4001792         1954         1954
    0.00000000   5.7992e-01   4.4437e-01   1.0000e+00      1778271      4001792         1954         1954
    0.50000000   1.0799e+00   4.0987e-01   1.0000e+00      1640204      4001792         1954         1954
    1.00000000   1.5799e+00   3.4532e-01   1.0000e+00      1381905      4001792         1954         1954
    1.50000000   2.0799e+00   2.5863e-01   1.0000e+00      1034972      4001792         1954         1954
    2.00000000   2.5799e+00   1.5211e-01   1.0000e+00       608701      4001792         1954         1954
    2.50000000   3.0799e+00   6.6692e-02   9.8669e-01       266887      4001792         1928         1954
    3.00000000   3.5799e+00   2.1227e-02   8.1423e-01        84948      4001792         1591         1954
    3.50000000   4.0799e+00   5.3598e-03   4.3756e-01        21449      4001792          855         1954
    4.00000000   4.5799e+00   1.3157e-03   1.5916e-01         5265      4001792          311         1954
    4.50000000   5.0799e+00   3.0711e-04   4.8618e-02         1229      4001792           95         1954
    5.00000000   5.5799e+00   4.5488e-05   1.0248e-02         1009     22181888          111        10831
    5.50000000   6.0799e+00   1.0939e-05   2.9797e-03         1015     92786688          135        45306
    6.00000000   6.5799e+00   2.5152e-06   8.4824e-04         1002    398379008          165       194521
