# data/ber-fec-soft/ber_v29.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v29 -b 1e-5 -e 1000 -n4000000 -t400000000 -s-9 -d0.5 -x40 -o data/ber-fec-soft/ber_v29.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/2 K=9
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.50000000   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   1000
#  min packet trials   :   0
#  min bit trials      :   4000000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   400000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.00000000  -5.9897e+00   4.9759e-01   1.0000e+00      1991242      4001792         1954         1954
   -8.50000000  -5.4897e+00   4.9684e-01   1.0000e+00      1988247      4001792         1954         1954
   -8.00000000  -4.9897e+00   4.9541e-01   1.0000e+00      1982541      4001792         1954         1954
   -7.50000000  -4.4897e+00   4.9494e-01   1.0000e+00      1980654      4001792         1954         1954
   -7.00000000  -3.9897e+00   4.9222e-01   1.0000e+00      1969758      4001792         1954         1954
   -6.50000000  -3.4897e+00   4.8845e-01   1.0000e+00      1954675      4001792         1954         1954
   -6.00000000  -2.9897e+00   4.8276e-01   1.0000e+00      1931898      4001792         1954         1954
   -5.50000000  -2.4897e+00   4.7385e-01   1.0000e+00      1896244      4001792         1954         1954
   -5.00000000  -1.9897e+00   4.5803e-01   1.0000e+00      1832926      4001792         1954         1954
   -4.50000000  -1.4897e+00   4.3216e-01   1.0000e+00      1729403      4001792         1954         1954
   -4.00000000  -9.8970e-01   3.8627e-01   1.0000e+00      1545753      4001792         1954         1954
   -3.50000000  -4.8970e-01   3.1234e-01   1.0000e+00      1249901      4001792         1954         1954
   -3.00000000   1.0300e-02   2.1795e-01   1.0000e+00       872203      4001792         1954         1954
   -2.50000000   5.1030e-01   1.2142e-01   1.0000e+00       485913      4001792         1954         1954
   -2.00000000   1.0103e+00   5.0498e-02   9.9949e-01       202083      4001792         1953         1954
   -1.50000000   1.5103e+00   1.5740e-02   9.1198e-01        62989      4001792         1782         1954
   -1.00000000   2.0103e+00   3.9392e-03   5.3685e-01        15764      4001792         1049         1954
   -0.50000000   2.5103e+00   9.0584e-04   2.0010e-01         3625      4001792          391         1954
    0.00000000   3.0103e+00   1.8315e-04   6.1140e-02         1000      5459968          163         2666
    0.50000000   3.5103e+00   2.9103e-05   1.0994e-02         1003     34463744          185        16828
    1.00000000   4.0103e+00   4.1783e-06   2.3789e-03         1000    239329280          278       116860
