# data/ber-fec-soft/ber_v615.dat : auto-generated file
# invoked as: ./src/simulate_ber -S -c v615 -s-9.75 -d0.25 -e200 -n200000 -t4000000 -o data/ber-fec-soft/ber_v615.dat 
#
#  modulation scheme   :   binary phase-shift keying
#  modulation depth    :   1 bits/symbol
#  fec (inner)         :   convolutional r1/6 K=15
#  fec (outer)         :   none
#  frame length        :   256 bytes
#  asymptotic rate     :   0.16666667   bits/second/Hz
#  min packet errors   :   0
#  min bit errors      :   200
#  min packet trials   :   0
#  min bit trials      :   200000
#  max packet trials   :   18446744073709551615
#  max bit trials      :   4000000
#
#     SNR [dB]   Eb/N0 [dB]          BER          PER     bit errs         bits  packet errs      packets
   -9.75000000  -1.9685e+00   4.6995e-01   1.0000e+00        94321       200704           98           98
   -9.50000000  -1.7185e+00   4.5998e-01   1.0000e+00        92319       200704           98           98
   -9.25000000  -1.4685e+00   4.3599e-01   1.0000e+00        87504       200704           98           98
   -9.00000000  -1.2185e+00   4.0332e-01   1.0000e+00        80948       200704           98           98
   -8.75000000  -9.6849e-01   3.6290e-01   1.0000e+00        72835       200704           98           98
   -8.50000000  -7.1849e-01   3.0138e-01   1.0000e+00        60488       200704           98           98
   -8.25000000  -4.6849e-01   2.3066e-01   1.0000e+00        46295       200704           98           98
   -8.00000000  -2.1849e-01   1.7491e-01   1.0000e+00        35106       200704           98           98
   -7.75000000   3.1512e-02   1.0849e-01   1.0000e+00        21775       200704           98           98
   -7.50000000   2.8151e-01   6.0801e-02   9.8980e-01        12203       200704           97           98
   -7.25000000   5.3151e-01   3.0049e-02   9.6939e-01         6031       200704           95           98
   -7.00000000   7.8151e-01   1.4325e-02   7.9592e-01         2875       200704           78           98
   -6.75000000   1.0315e+00   7.4388e-03   6.4286e-01         1493       200704           63           98
   -6.50000000   1.2815e+00   2.0279e-03   2.3469e-01          407       200704           23           98
   -6.25000000   1.5315e+00   5.9501e-04   1.1475e-01          223       374784           21          183
   -6.00000000   1.7815e+00   2.9531e-04   5.3892e-02          202       684032           18          334
   -5.75000000   2.0315e+00   6.4644e-05   1.6710e-02          206      3186688           26         1556
