# data/ber-fec-soft/fec_snr_req.dat : auto-generated file (do not edit)
# invoked as : ./src/estimate_snr_fec -odata/ber-fec-soft/fec_snr_req.dat -B -S -E1e-5 -n1024 -x4000000
#
# NOTE: Modified to add the following codecs:
#         * Golay(24,12)
#         * SEC-DED(22,16)
#         * SEC-DED(39,32)
#         * SEC-DED(72,64)
#
# options:
#  min. packet errors  :   0
#  min. bit errors     :   50
#  min. packet trials  :   0
#  min. bit trials     :   5000
#  max. packet trials  :   18446744073709551615
#  max. bit trials     :   4000000
#  estimate on BER|PER :   BER
#  estimate SNR|Eb/N0  :   Eb/N0
#  target error rate   :   1.0000e-05  
#  BPSK Eb/N0 for BER  :   9.58781719  
#  frame length        :   1024 bytes
#  fec (inner)         :   none
#  fec (outer)         :   none
#
# scheme         id   rate [b/s]     SNR [dB]   Eb/N0 [dB]    BPSK gain
 "none"           1     1.000000     9.581951     9.581951     0.005866
 "r3"             2     0.333333     4.787938     9.559151     0.028666
 "r5"             3     0.200000     2.650503     9.640203    -0.052386
 "h74"            4     0.571429     5.355231     7.785611     1.802206
 "h84"            5     0.500000     4.370967     7.381268     2.206550
 "h128"           6     0.666667     6.376155     8.137068     1.450749
 "g2412"          7     0.500000     4.4487       7.4590       2.1288
 "secded2216"     8     0.66667      7.0761       8.8370       0.75082
 "secded3932"     9     0.80000      7.3207       8.2898       1.2980
 "secded7264"    10     0.88889      7.5394       8.0509       1.5369
 "v27"           11     0.500000     1.281815     4.292115     5.295702
 "v29"           12     0.500000     0.767587     3.777888     5.809930
 "v39"           13     0.333333    -1.193040     3.578173     6.009645
 "v615"          14     0.166667    -5.777698     2.003814     7.584002
 "v27p23"        15     0.666667     2.890230     4.651143     4.936675
 "v27p34"        16     0.750000     4.037642     5.287029     4.300788
 "v27p45"        17     0.800000     4.532656     5.501756     4.086061
 "v27p56"        18     0.833333     4.929437     5.721250     3.866568
 "v27p67"        19     0.857143     5.240525     5.909993     3.677824
 "v27p78"        20     0.875000     5.394022     5.973941     3.613876
 "v29p23"        21     0.666667     2.600714     4.361627     5.226191
 "v29p34"        22     0.750000     3.530219     4.779606     4.808211
 "v29p45"        23     0.800000     3.985246     4.954346     4.633471
 "v29p56"        24     0.833333     4.929730     5.721542     3.866275
 "v29p67"        25     0.857143     6.254591     6.924059     2.663758
 "v29p78"        26     0.875000     5.449047     6.028966     3.558851
 "rs8"           27     0.874510     5.378109     5.960462     3.627356
