# data/framing/gmskframe_performance.dat : auto-generated file
# invoked as: ./src/gmskframe_fer -o data/framing/gmskframe_performance.dat -cnone -kh128 -f 64 -s-6 -x10 -d0.5 -n32000 
#
#  k (samples/symbol)  :   4
#  m (filter delay)    :   3
#  BT                  :   0.500000
#  check               :   CRC (32-bit)
#  fec (inner)         :   none
#  fec (outer)         :   Hamming(12,8)
#  payload length      :   64 bytes
#  frame trials        :   32000
#
# SNR [dB]  FER (frame) HER (header) PER (packet)       frames      headers      packets   num trials
     -6.00 0.9813437462 1.0000000000 1.0000000000        31403        32000        32000        32000
     -5.50 0.9672499895 1.0000000000 1.0000000000        30952        32000        32000        32000
     -5.00 0.9409687519 1.0000000000 1.0000000000        30111        32000        32000        32000
     -4.50 0.9014999866 1.0000000000 1.0000000000        28848        32000        32000        32000
     -4.00 0.8397812247 1.0000000000 1.0000000000        26873        32000        32000        32000
     -3.50 0.7490937710 1.0000000000 1.0000000000        23971        32000        32000        32000
     -3.00 0.6408749819 1.0000000000 1.0000000000        20508        32000        32000        32000
     -2.50 0.5115937591 1.0000000000 1.0000000000        16371        32000        32000        32000
     -2.00 0.3856875002 1.0000000000 1.0000000000        12342        32000        32000        32000
     -1.50 0.2700937390 0.9999687672 1.0000000000         8643        31999        32000        32000
     -1.00 0.1748124957 0.9996250272 1.0000000000         5594        31988        32000        32000
     -0.50 0.1080000028 0.9979375005 1.0000000000         3456        31934        32000        32000
      0.00 0.0673749968 0.9880937338 1.0000000000         2156        31619        32000        32000
      0.50 0.0413437486 0.9579687715 1.0000000000         1323        30655        32000        32000
      1.00 0.0156328119 0.8868710995 0.9999531507         4002       227039       255988       256000
      1.50 0.0083945310 0.7589609623 0.9979296923         2149       194294       255470       256000
      2.00 0.0051250001 0.5879804492 0.9772890806         1312       150523       250186       256000
      2.50 0.0028750000 0.4055937529 0.8841719031          736       103832       226348       256000
      3.00 0.0018398437 0.2540273368 0.6798788905          471        65031       174049       256000
      3.50 0.0010468750 0.1431523412 0.4308203161          268        36647       110290       256000
      4.00 0.0007421875 0.0747695342 0.2281914055          190        19141        58417       256000
      4.50 0.0005429687 0.0362890624 0.1054765657          139         9290        27002       256000
      5.00 0.0003828125 0.0166953132 0.0433359370           98         4274        11094       256000
      5.50 0.0003867187 0.0076054689 0.0168281253           99         1947         4308       256000
      6.00 0.0002304688 0.0031406251 0.0061210939           59          804         1567       256000
      6.50 0.0002265625 0.0014062501 0.0021640626           58          360          554       256000
      7.00 0.0002500000 0.0007343750 0.0009531250           64          188          244       256000
      7.50 0.0001914062 0.0004140625 0.0004726562           49          106          121       256000
      8.00 0.0001640625 0.0003007812 0.0003164063           42           77           81       256000
      8.50 0.0001484375 0.0002148437 0.0002148437           38           55           55       256000
      9.00 0.0001640625 0.0002382813 0.0002382813           42           61           61       256000
      9.50 0.0001289062 0.0002109375 0.0002109375           33           54           54       256000
     10.00 0.0001289062 0.0001875000 0.0001875000           33           48           48       256000
